model,task,n_blocks,k_units,pct_L_in_S,pct_S_in_L,auc_L_in_S,auc_S_in_L,jaccard,asymmetry,recall_L_in_S0.05,recall_S_in_L0.05,recall_L_in_S0.1,recall_S_in_L0.1,recall_L_in_S0.2,recall_S_in_L0.2,recall_L_in_S0.3,recall_S_in_L0.3,recall_L_in_S0.5,recall_S_in_L0.5
gemma-3-12b-it,bias,768,38,0.5614149454470596,0.496809167638784,0.5645277577505408,0.496647440519106,0.10144927536231885,0.06788031723143478,0.18421052631578946,0.18421052631578946,0.2894736842105263,0.2631578947368421,0.39473684210526316,0.2894736842105263,0.4473684210526316,0.34210526315789475,0.631578947368421,0.5263157894736842
gemma-3-12b-it,factual recall,768,38,0.5242571879503192,0.5420640911274275,0.5254866618601298,0.544196106705119,0.0410958904109589,-0.018709444844989154,0.07894736842105263,0.07894736842105263,0.23684210526315788,0.18421052631578946,0.3684210526315789,0.3157894736842105,0.5,0.39473684210526316,0.5526315789473685,0.47368421052631576
gemma-3-12b-it,persona,768,38,0.42345433335620664,0.5267961298291359,0.4195746214852199,0.5281542898341745,0.0410958904109589,-0.10857966834895455,0.07894736842105263,0.07894736842105263,0.18421052631578946,0.23684210526315788,0.2631578947368421,0.34210526315789475,0.3684210526315789,0.39473684210526316,0.39473684210526316,0.5
gemma-3-12b-it,summarization,768,38,0.4753997117957868,0.5588073835174638,0.4741528478731074,0.5617880317231435,0.08571428571428572,-0.0876351838500361,0.15789473684210525,0.15789473684210525,0.2631578947368421,0.2631578947368421,0.34210526315789475,0.3684210526315789,0.39473684210526316,0.4473684210526316,0.42105263157894735,0.5789473684210527
gemma-3-12b-it,verse,768,38,0.5588760035682427,0.6216633500308791,0.561860129776496,0.627829848594088,0.10144927536231885,-0.06596971881759195,0.18421052631578946,0.18421052631578946,0.21052631578947367,0.3157894736842105,0.42105263157894735,0.47368421052631576,0.5,0.5789473684210527,0.5789473684210527,0.6842105263157895
Qwen1.5-14B-Chat,bias,1600,80,0.4397904940587867,0.5629065040650406,0.4366611842105263,0.5661759868421052,0.08108108108108109,-0.12951480263157894,0.15,0.15,0.225,0.3,0.3,0.4,0.3625,0.475,0.4125,0.575
Qwen1.5-14B-Chat,factual recall,1600,80,0.5026266416510319,0.5757191994996873,0.5027631578947368,0.5796546052631579,0.0457516339869281,-0.07689144736842113,0.0875,0.0875,0.15,0.225,0.2875,0.3875,0.4125,0.4625,0.525,0.6
Qwen1.5-14B-Chat,persona,1600,80,0.526031894934334,0.5231629143214509,0.5273848684210526,0.5243667763157894,0.08108108108108109,0.0030180921052631593,0.15,0.15,0.275,0.2125,0.3625,0.35,0.425,0.4375,0.5375,0.5125
Qwen1.5-14B-Chat,summarization,1600,80,0.4154549718574108,0.5795731707317072,0.4110608552631579,0.5837088815789474,0.0738255033557047,-0.17264802631578952,0.1375,0.1375,0.1625,0.25,0.1875,0.3625,0.2375,0.45,0.35,0.5875
Qwen1.5-14B-Chat,verse,1600,80,0.46574421513445896,0.4297529706066291,0.4639638157894737,0.42610197368421054,0.03225806451612903,0.037861842105263166,0.0625,0.0625,0.1375,0.125,0.25,0.25,0.3375,0.3375,0.4375,0.4
Falcon3-10B-Instruct,persona,480,24,0.5728079331941545,0.5360125260960334,0.5764802631578947,0.537828947368421,0.09090909090909091,0.03865131578947367,0.16666666666666666,0.16666666666666666,0.25,0.25,0.4583333333333333,0.3333333333333333,0.4583333333333333,0.375,0.5833333333333334,0.5416666666666666
Falcon3-10B-Instruct,summarization,480,24,0.4390222686151705,0.4958246346555324,0.4359466374269006,0.4956140350877193,0.043478260869565216,-0.05966739766081869,0.08333333333333333,0.08333333333333333,0.125,0.125,0.2916666666666667,0.25,0.375,0.2916666666666667,0.375,0.4583333333333333
Falcon3-10B-Instruct,verse,480,24,0.40344467640918574,0.490866388308977,0.3985745614035088,0.49040570175438597,0.02127659574468085,-0.0918311403508772,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.2916666666666667,0.20833333333333334,0.2916666666666667,0.375,0.4583333333333333
OLMo-2-1124-13B-DPO,bias,1600,80,0.4628205128205128,0.5597091932457786,0.46088815789473686,0.5628125,0.06666666666666667,-0.10192434210526319,0.125,0.125,0.2,0.2625,0.2875,0.45,0.325,0.4875,0.425,0.55
OLMo-2-1124-13B-DPO,persona,1600,80,0.540556597873671,0.554135397123202,0.5426644736842106,0.5569490131578947,0.059602649006622516,-0.014284539473684132,0.1125,0.1125,0.2375,0.2375,0.4125,0.4,0.4625,0.5125,0.525,0.5875
OLMo-2-1124-13B-DPO,summarization,1600,80,0.504979674796748,0.500234521575985,0.5052384868421053,0.5002467105263158,0.05263157894736842,0.004991776315789509,0.1,0.1,0.1875,0.2375,0.2875,0.35,0.4,0.425,0.55,0.5125
OLMo-2-1124-13B-DPO,verse,1600,80,0.5299405878674172,0.5551438398999374,0.5314967105263158,0.5580098684210526,0.08108108108108109,-0.02651315789473685,0.15,0.15,0.2375,0.2375,0.3125,0.3875,0.4125,0.475,0.5625,0.625
Qwen1.5-32B-Chat,bias,2560,128,0.4970355851895272,0.527937548847206,0.4968807822779605,0.5293964586759868,0.04918032786885246,-0.03251567639802633,0.09375,0.09375,0.203125,0.1953125,0.3125,0.34375,0.40625,0.4296875,0.46875,0.5546875
