model,task,group,part,value,control,excess
gemma-3-12b-it,verse,LF-only,A_contrast,-0.10233795431266726,-0.08698793330520609,-0.015350021007461176
gemma-3-12b-it,verse,ST-only,A_contrast,-0.0828588355611333,-0.07826110276369658,-0.004597732797436721
gemma-3-12b-it,verse,LF-only,B_capture_2nd,0.15804828949629876,0.14903846153846154,0.009009827957837224
gemma-3-12b-it,verse,LF-only,B_capture_1st,0.14856904487197214,0.14903846153846154,-0.00046941666648939173
gemma-3-12b-it,verse,ST-only,B_capture_2nd,0.1310581217117547,0.12916666666666668,0.0018914550450880308
gemma-3-12b-it,verse,ST-only,B_capture_1st,0.1317187358935674,0.12916666666666668,0.0025520692269007106
gemma-3-12b-it,summarization,LF-only,A_contrast,-0.03383973218745429,-0.03564524823261756,0.001805516045163269
gemma-3-12b-it,summarization,ST-only,A_contrast,0.025244126492850395,0.02692694376115326,-0.0016828172683028657
gemma-3-12b-it,summarization,LF-only,B_capture_2nd,0.1720712372143661,0.16666666666666666,0.005404570547699439
gemma-3-12b-it,summarization,LF-only,B_capture_1st,0.15892619794855514,0.16666666666666666,-0.007740468718111515
gemma-3-12b-it,summarization,ST-only,B_capture_2nd,0.14480700580703437,0.14285714285714285,0.0019498629498915232
gemma-3-12b-it,summarization,ST-only,B_capture_1st,0.15103990691048758,0.14285714285714285,0.008182764053344727
gemma-3-12b-it,bias,LF-only,A_contrast,-0.07178201264957254,-0.06705299586694002,-0.004729016782632517
gemma-3-12b-it,bias,ST-only,A_contrast,0.11563012427137942,0.10465151181899847,0.01097861245238095
gemma-3-12b-it,bias,LF-only,B_capture_2nd,0.17007267560407163,0.16145833333333334,0.00861434227073829
gemma-3-12b-it,bias,LF-only,B_capture_1st,0.16525156113008657,0.16145833333333334,0.003793227796753229
gemma-3-12b-it,bias,ST-only,B_capture_2nd,0.1076867745837477,0.11397058823529412,-0.006283813651546413
gemma-3-12b-it,bias,ST-only,B_capture_1st,0.11170850869487314,0.11397058823529412,-0.002262079540420972
gemma-3-12b-it,factual recall,LF-only,A_contrast,-0.07019733116274145,-0.0753778002951175,0.005180469132376048
gemma-3-12b-it,factual recall,ST-only,A_contrast,-0.014214433507616545,0.003045416133092562,-0.017259849640709108
gemma-3-12b-it,factual recall,LF-only,B_capture_2nd,0.1356706097310397,0.14583333333333334,-0.010162723602293644
gemma-3-12b-it,factual recall,LF-only,B_capture_1st,0.14891149948040644,0.14583333333333334,0.003078166147073097
gemma-3-12b-it,factual recall,ST-only,B_capture_2nd,0.11783199312841752,0.12152777777777778,-0.0036957846493602536
gemma-3-12b-it,factual recall,ST-only,B_capture_1st,0.12433089067538579,0.12152777777777778,0.002803112897608012
gemma-3-12b-it,persona,LF-only,A_contrast,-0.09256601137329097,-0.08843513631016318,-0.004130875063127787
gemma-3-12b-it,persona,ST-only,A_contrast,0.10149937380224691,0.10447076474481305,-0.0029713909425661406
gemma-3-12b-it,persona,LF-only,B_capture_2nd,0.20550094622597076,0.19886363636363635,0.006637309862334406
gemma-3-12b-it,persona,LF-only,B_capture_1st,0.19648509506474843,0.19886363636363635,-0.002378541298887926
gemma-3-12b-it,persona,ST-only,B_capture_2nd,0.11222372961541456,0.11513157894736842,-0.0029078493319538573
gemma-3-12b-it,persona,ST-only,B_capture_1st,0.12351371034195549,0.11513157894736842,0.008382131394587072
Qwen1.5-14B-Chat,verse,LF-only,A_contrast,-0.05563917508462754,-0.05748273305411935,0.0018435579694918089
Qwen1.5-14B-Chat,verse,ST-only,A_contrast,-0.04770594517357821,-0.047564136519387894,-0.00014180865419031324
Qwen1.5-14B-Chat,verse,LF-only,B_capture_2nd,0.10243553263564444,0.10416666666666667,-0.0017311340310222356
Qwen1.5-14B-Chat,verse,LF-only,B_capture_1st,0.10751716937455866,0.10416666666666667,0.0033505027078919863
Qwen1.5-14B-Chat,verse,ST-only,B_capture_2nd,0.08005039560901088,0.08152173913043478,-0.001471343521423904
Qwen1.5-14B-Chat,verse,ST-only,B_capture_1st,0.08291614379571832,0.08152173913043478,0.0013944046652835385
Qwen1.5-14B-Chat,summarization,LF-only,A_contrast,-0.024626558769668443,-0.022236180862895184,-0.0023903779067732597
Qwen1.5-14B-Chat,summarization,ST-only,A_contrast,-0.013642980594667732,-0.013858701471040067,0.00021572087637233492
Qwen1.5-14B-Chat,summarization,LF-only,B_capture_2nd,0.10276440442310637,0.10147058823529412,0.001293816187812255
Qwen1.5-14B-Chat,summarization,LF-only,B_capture_1st,0.10889319122275885,0.10147058823529412,0.007422602987464735
Qwen1.5-14B-Chat,summarization,ST-only,B_capture_2nd,0.08579997897966633,0.08625000000000001,-0.0004500210203336741
Qwen1.5-14B-Chat,summarization,ST-only,B_capture_1st,0.08702990747988223,0.08625000000000001,0.0007799074798822275
Qwen1.5-14B-Chat,bias,LF-only,A_contrast,0.07196728476646132,0.06858501667074592,0.0033822680957154017
Qwen1.5-14B-Chat,bias,ST-only,A_contrast,0.06079700916335614,0.06131968114307202,-0.0005226719797158802
Qwen1.5-14B-Chat,bias,LF-only,B_capture_2nd,0.11642839668986,0.10625,0.010178396689860009
Qwen1.5-14B-Chat,bias,LF-only,B_capture_1st,0.11253148887772113,0.10625,0.006281488877721134
Qwen1.5-14B-Chat,bias,ST-only,B_capture_2nd,0.09582393618509326,0.09444444444444444,0.0013794917406488166
