model,task,margin,topk,arm,n_units,baseline,d_ablate,d_control,control_sd,excess
Falcon3-10B-Instruct,verse,long,0.05,long,24,0.788333589831988,-0.15560080111026764,-0.2763707935810089,0.1618930250406265,0.12076999247074127
Falcon3-10B-Instruct,verse,long,0.05,single,24,0.788333589831988,-0.22773679097493482,-0.18845429830253124,0.062540827319026,-0.03928249267240358
Falcon3-10B-Instruct,verse,long,0.1,long,48,0.788333589831988,-0.40446376800537104,-0.5947471658388773,0.06538168092568719,0.19028339783350628
Falcon3-10B-Instruct,verse,long,0.1,single,48,0.788333589831988,-0.5591590404510498,-0.27777286867300666,0.007688420514265659,-0.28138617177804315
Falcon3-10B-Instruct,verse,long,0.2,long,96,0.788333589831988,-0.8293367847800255,-0.9536002961297829,0.1227104129890601,0.12426351134975744
Falcon3-10B-Instruct,verse,long,0.2,single,96,0.788333589831988,-0.8397791907191277,-0.6954699183503786,0.04428521543741226,-0.14430927236874902
Falcon3-10B-Instruct,verse,long,0.3,long,144,0.788333589831988,-1.0454239522417386,-1.1735458423693974,0.011561043560504913,0.12812189012765884
Falcon3-10B-Instruct,verse,long,0.3,single,144,0.788333589831988,-1.0927117466926575,-0.8785231051345666,0.031416576355695724,-0.21418864155809092
Falcon3-10B-Instruct,verse,long,0.5,long,240,0.788333589831988,-1.1903797537088394,-1.7795394857724507,0.357558195789655,0.5891597320636113
Falcon3-10B-Instruct,verse,long,0.5,single,240,0.788333589831988,-1.9378851155440011,-1.757249355316162,0.040089428424835205,-0.180635760227839
Falcon3-10B-Instruct,summarization,long,0.05,long,24,0.5747995860874653,-0.12467593451340991,-0.1386192546536525,0.002100178971886635,0.013943320140242577
Falcon3-10B-Instruct,summarization,long,0.05,single,24,0.5747995860874653,-0.1288073758284251,-0.15367988497018814,0.017448571821053804,0.024872509141763033
Falcon3-10B-Instruct,summarization,long,0.1,long,48,0.5747995860874653,-0.26168058440089226,-0.2726191723098358,0.05865209735929969,0.010938587908943531
Falcon3-10B-Instruct,summarization,long,0.1,single,48,0.5747995860874653,-0.2501046769320965,-0.20601994668444,0.0019803779820601053,-0.044084730247656495
Falcon3-10B-Instruct,summarization,long,0.2,long,96,0.5747995860874653,-0.4387993700802326,-0.4895640338460604,0.008001678933699935,0.05076466376582778
Falcon3-10B-Instruct,summarization,long,0.2,single,96,0.5747995860874653,-0.3845073841512203,-0.3362398029615482,0.04778798110783103,-0.048267581189672115
Falcon3-10B-Instruct,summarization,long,0.3,long,144,0.5747995860874653,-0.5631621889770031,-0.616660974919796,0.031470250338315964,0.05349878594279289
Falcon3-10B-Instruct,summarization,long,0.3,single,144,0.5747995860874653,-0.49957146868109703,-0.4171188858648141,0.048177371422449766,-0.08245258281628293
Falcon3-10B-Instruct,summarization,long,0.5,long,240,0.5747995860874653,-0.5138478763401508,-0.628282563139995,0.0023325011134147644,0.11443468679984414
Falcon3-10B-Instruct,summarization,long,0.5,single,240,0.5747995860874653,-0.7172442066172758,-0.5128877249856789,0.06633180876572925,-0.20435648163159692
