model,task,margin,topk,arm,n_units,baseline,d_ablate,d_control,control_sd,excess
OLMo-2-1124-13B-DPO,verse,long,0.05,long,80,0.24708391229311624,-0.015119778613249452,-0.136050080259641,0.03936285773913066,0.12093030164639154
OLMo-2-1124-13B-DPO,verse,long,0.05,single,80,0.24708391229311624,-0.19680151591698328,-0.11971211433410643,0.020075174669424697,-0.07708940158287685
OLMo-2-1124-13B-DPO,verse,long,0.1,long,160,0.24708391229311624,-0.09839933862288791,-0.26875445743401843,0.09057198961575824,0.17035511881113052
OLMo-2-1124-13B-DPO,verse,long,0.1,single,160,0.24708391229311624,-0.26713288078705466,-0.12143907447655995,0.035035063823064164,-0.14569380631049472
OLMo-2-1124-13B-DPO,verse,long,0.2,long,320,0.24708391229311624,-0.142453263203303,-0.4005213988324006,0.024220097810029984,0.2580681356290976
OLMo-2-1124-13B-DPO,verse,long,0.2,single,320,0.24708391229311624,-0.41970185190439224,-0.2669489545126756,0.005936559289693832,-0.15275289739171666
OLMo-2-1124-13B-DPO,verse,long,0.3,long,480,0.24708391229311624,-0.3325392554203669,-0.5615000662704308,0.019680275271336256,0.22896081085006392
OLMo-2-1124-13B-DPO,verse,long,0.3,single,480,0.24708391229311624,-0.5474310467640559,-0.4029438147942225,0.10686053335666656,-0.14448723196983337
OLMo-2-1124-13B-DPO,verse,long,0.5,long,800,0.24708391229311624,-0.7387483914693197,-1.2037669693430264,0.23313106844822568,0.4650185778737067
OLMo-2-1124-13B-DPO,verse,long,0.5,single,800,0.24708391229311624,-0.9776691397031148,-0.8731343795855839,0.0948255757490794,-0.10453476011753082
OLMo-2-1124-13B-DPO,summarization,long,0.05,long,80,0.6127725541591644,-0.1150153862933318,-0.08131749307115871,0.0004250680406888141,-0.03369789322217309
OLMo-2-1124-13B-DPO,summarization,long,0.05,single,80,0.6127725541591644,-0.09134816378355026,-0.06400803228219348,0.00441936900218326,-0.02734013150135678
OLMo-2-1124-13B-DPO,summarization,long,0.1,long,160,0.6127725541591644,-0.20392912129561108,-0.21520097988347212,0.04648356077571711,0.011271858587861033
OLMo-2-1124-13B-DPO,summarization,long,0.1,single,160,0.6127725541591644,-0.14335192119081813,-0.18026878188053766,0.007591656098763139,0.03691686068971953
OLMo-2-1124-13B-DPO,summarization,long,0.2,long,320,0.6127725541591644,-0.3866707434256872,-0.4021924026310444,0.04716729000210762,0.015521659205357197
OLMo-2-1124-13B-DPO,summarization,long,0.2,single,320,0.6127725541591644,-0.32807231197754544,-0.29993996024131775,0.0004286915063858032,-0.02813235173622769
OLMo-2-1124-13B-DPO,summarization,long,0.3,long,480,0.6127725541591644,-0.35562992841005325,-0.43051846263309324,0.053589748218655586,0.07488853422303998
OLMo-2-1124-13B-DPO,summarization,long,0.3,single,480,0.6127725541591644,-0.4207312067349752,-0.3798100079099337,0.0422361915310224,-0.04092119882504153
OLMo-2-1124-13B-DPO,summarization,long,0.5,long,800,0.6127725541591644,-0.4754862685998281,-0.5934570518632729,0.03247848773996037,0.11797078326344479
OLMo-2-1124-13B-DPO,summarization,long,0.5,single,800,0.6127725541591644,-0.5622387379407883,-0.6634551336367924,0.01406599829594296,0.10121639569600416
