model,task,margin,topk,arm,n_units,baseline,d_ablate,d_control,control_sd,excess
Qwen1.5-14B-Chat,verse,long,0.05,long,80,1.3260652298728626,-0.15817613154649734,-0.507396824657917,0.019377651313940703,0.3492206931114197
Qwen1.5-14B-Chat,verse,long,0.05,single,80,1.3260652298728626,-0.3129620850086212,-0.24673889453212428,0.03301159913341212,-0.06622319047649694
Qwen1.5-14B-Chat,verse,long,0.1,long,160,1.3260652298728626,-0.4636251231034597,-0.7420394420623779,0.022040401895840944,0.2784143189589182
Qwen1.5-14B-Chat,verse,long,0.1,single,160,1.3260652298728626,-0.6632188161214193,-0.5712588106592498,0.012679378191630064,-0.09196000546216954
Qwen1.5-14B-Chat,verse,long,0.2,long,320,1.3260652298728626,-0.9631805643439293,-1.2665560853978,0.07308618103464448,0.30337552105387067
Qwen1.5-14B-Chat,verse,long,0.2,single,320,1.3260652298728626,-1.0568885579705238,-1.2046529253323874,0.13452051331599557,0.1477643673618636
Qwen1.5-14B-Chat,verse,long,0.3,long,480,1.3260652298728626,-1.3525089398026466,-1.4579018925627074,0.0588688999414444,0.10539295276006078
Qwen1.5-14B-Chat,verse,long,0.3,single,480,1.3260652298728626,-1.3097768252094588,-1.3967478473981223,0.010541784266630772,0.08697102218866348
Qwen1.5-14B-Chat,verse,long,0.5,long,800,1.3260652298728626,-1.8653212959567707,-2.048231641451518,0.07141078263521206,0.18291034549474738
Qwen1.5-14B-Chat,verse,long,0.5,single,800,1.3260652298728626,-1.8223160033424697,-1.8389755214254062,0.032480329275131226,0.01665951808293653
Qwen1.5-14B-Chat,summarization,long,0.05,long,80,0.8122394817570845,-0.15445265918970108,-0.10494005866348738,0.024572291101018606,-0.0495126005262137
Qwen1.5-14B-Chat,summarization,long,0.05,single,80,0.8122394817570845,-0.038141343742609024,-0.10719521157443518,0.013981581355134665,0.06905386783182615
Qwen1.5-14B-Chat,summarization,long,0.1,long,160,0.8122394817570845,-0.3012260583539803,-0.247265571107467,0.006653024504582106,-0.05396048724651331
Qwen1.5-14B-Chat,summarization,long,0.1,single,160,0.8122394817570845,-0.17105200265844656,-0.19812495199342567,0.0030139045168955936,0.027072949334979113
Qwen1.5-14B-Chat,summarization,long,0.2,long,320,0.8122394817570845,-0.5548744934300581,-0.5324391834437847,0.027540678779284178,-0.02243530998627341
Qwen1.5-14B-Chat,summarization,long,0.2,single,320,0.8122394817570845,-0.3624885094662507,-0.36701674014329905,0.015952106565237045,0.004528230677048328
Qwen1.5-14B-Chat,summarization,long,0.3,long,480,0.8122394817570845,-0.6885246249536673,-0.7891999967396259,0.026679220298926054,0.10067537178595864
Qwen1.5-14B-Chat,summarization,long,0.3,single,480,0.8122394817570845,-0.5199895488719145,-0.5209038257598877,0.0536121837794781,0.0009142768879731866
Qwen1.5-14B-Chat,summarization,long,0.5,long,800,0.8122394817570845,-0.9630022632579008,-0.9788585926095644,0.03517606730262435,0.01585632935166359
Qwen1.5-14B-Chat,summarization,long,0.5,single,800,0.8122394817570845,-0.723979161431392,-0.6973051490883032,0.013769293824831608,-0.02667401234308875
Qwen1.5-14B-Chat,bias,long,0.05,long,80,0.7508353019754092,-0.24958944072326017,-0.08900092852612335,0.0005834059168894901,-0.16058851219713682
Qwen1.5-14B-Chat,bias,long,0.05,single,80,0.7508353019754092,-0.07938857128222776,-0.10401854912439978,0.001408232996861103,0.024629977842172024
Qwen1.5-14B-Chat,bias,long,0.1,long,160,0.7508353019754092,-0.37935191392898554,-0.15494779994090396,0.009031581381956755,-0.22440411398808158
Qwen1.5-14B-Chat,bias,long,0.1,single,160,0.7508353019754092,-0.12237882117430365,-0.15999899183710414,0.004701069245735823,0.03762017066280049
Qwen1.5-14B-Chat,bias,long,0.2,long,320,0.7508353019754092,-0.4824240679542223,-0.31065012887120247,0.003555358697970718,-0.17177393908301986
Qwen1.5-14B-Chat,bias,long,0.2,single,320,0.7508353019754092,-0.18883386999368668,-0.24684487655758855,0.025975131740172713,0.058011006563901873
Qwen1.5-14B-Chat,bias,long,0.3,long,480,0.7508353019754092,-0.5270546153187752,-0.4062408780058225,0.03169311583042145,-0.1208137373129527
Qwen1.5-14B-Chat,bias,long,0.3,single,480,0.7508353019754092,-0.26781078179677326,-0.3039588965475559,0.007669599105914443,0.03614811475078267
Qwen1.5-14B-Chat,bias,long,0.5,long,800,0.7508353019754092,-0.5625861510634422,-0.5384578903516133,0.015997178852558136,-0.02412826071182894
