n_layers_total,mean_depth,rel_depth,entropy,layers_used,top3_mass,peak_layer,model,task,arm,units_sel
40,18.0,0.46153846153846156,0.6705128349053788,15,0.43749999999999994,20,Falcon3-10B-Instruct,persona,long,48
40,22.395833333333336,0.5742521367521368,0.7856414946139029,20,0.2708333333333333,17,Falcon3-10B-Instruct,persona,single,48
40,13.3125,0.34134615384615385,0.667210580863342,16,0.4375,17,Falcon3-10B-Instruct,summarization,long,48
40,21.666666666666664,0.5555555555555555,0.7989899992716608,22,0.2916666666666667,19,Falcon3-10B-Instruct,summarization,single,48
40,15.395833333333334,0.3947649572649573,0.6982465439413016,17,0.4375,10,Falcon3-10B-Instruct,verse,long,48
40,22.416666666666664,0.5747863247863247,0.8463563909501682,26,0.25,32,Falcon3-10B-Instruct,verse,single,48
40,11.2875,0.2894230769230769,0.7879760408366826,28,0.33125,12,OLMo-2-1124-13B-DPO,bias,long,160
40,15.487499999999999,0.3971153846153846,0.8656903730308697,33,0.23750000000000002,15,OLMo-2-1124-13B-DPO,bias,single,160
40,13.3875,0.34326923076923077,0.7827054756251871,27,0.35,14,OLMo-2-1124-13B-DPO,persona,long,160
40,15.48125,0.3969551282051282,0.8243584640774887,26,0.23125,15,OLMo-2-1124-13B-DPO,persona,single,160
40,11.5375,0.29583333333333334,0.7573992720435775,22,0.35625,13,OLMo-2-1124-13B-DPO,summarization,long,160
40,15.4125,0.3951923076923077,0.7801243139324658,24,0.32499999999999996,17,OLMo-2-1124-13B-DPO,summarization,single,160
40,12.1,0.31025641025641026,0.774376868258094,24,0.31875,12,OLMo-2-1124-13B-DPO,verse,long,160
40,16.793750000000003,0.43060897435897444,0.8174379173323282,26,0.2625,14,OLMo-2-1124-13B-DPO,verse,single,160
40,18.143749999999997,0.4652243589743589,0.7691609915016729,24,0.33125000000000004,22,Qwen1.5-14B-Chat,bias,long,160
40,19.818749999999998,0.5081730769230769,0.8463685804733179,29,0.25,20,Qwen1.5-14B-Chat,bias,single,160
40,16.725,0.4288461538461539,0.7842148101043795,26,0.30625,17,Qwen1.5-14B-Chat,factual recall,long,160
40,22.85625,0.5860576923076923,0.8098145028177752,26,0.2375,20,Qwen1.5-14B-Chat,factual recall,single,160
40,17.34375,0.44471153846153844,0.7535586492081211,22,0.325,20,Qwen1.5-14B-Chat,persona,long,160
40,21.21875,0.5440705128205128,0.801034129034696,26,0.2625,17,Qwen1.5-14B-Chat,persona,single,160
40,17.4625,0.4477564102564102,0.7946729182182922,29,0.34375,19,Qwen1.5-14B-Chat,summarization,long,160
40,22.14375,0.5677884615384615,0.8715804826956522,31,0.2375,16,Qwen1.5-14B-Chat,summarization,single,160
40,15.85625,0.4065705128205128,0.7716943995825639,25,0.31875,15,Qwen1.5-14B-Chat,verse,long,160
40,18.05625,0.4629807692307692,0.8727988055626074,30,0.2125,17,Qwen1.5-14B-Chat,verse,single,160
64,34.15234375,0.5421006944444444,0.8112527394488568,41,0.21484375,43,Qwen1.5-32B-Chat,bias,long,256
64,32.91015625,0.5223834325396826,0.8632478679682508,48,0.16015625,40,Qwen1.5-32B-Chat,bias,single,256
64,36.1875,0.5744047619047619,0.8172348756226814,43,0.2109375,40,Qwen1.5-32B-Chat,factual recall,long,256
64,37.45703125,0.5945560515873016,0.8289760554604404,44,0.1953125,43,Qwen1.5-32B-Chat,factual recall,single,256
64,35.7265625,0.5670882936507936,0.762058357268458,39,0.27734375,44,Qwen1.5-32B-Chat,persona,long,256
64,37.13671875,0.5894717261904762,0.8452966359528962,44,0.18359375,47,Qwen1.5-32B-Chat,persona,single,256
64,36.84765625,0.5848834325396826,0.8285384417346559,47,0.25390625,44,Qwen1.5-32B-Chat,summarization,long,256
64,40.03125,0.6354166666666666,0.8767656008496685,45,0.140625,41,Qwen1.5-32B-Chat,summarization,single,256
64,31.69921875,0.5031622023809523,0.7929608822235558,40,0.2421875,41,Qwen1.5-32B-Chat,verse,long,256
64,36.8046875,0.5842013888888888,0.8810479482771106,49,0.1640625,38,Qwen1.5-32B-Chat,verse,single,256
48,19.355263157894733,0.41181410974244115,0.6806648811432866,17,0.35526315789473684,18,gemma-3-12b-it,bias,long,76
48,25.28947368421052,0.5380739081746919,0.7862418728055086,27,0.3026315789473684,18,gemma-3-12b-it,bias,single,76
48,23.921052631578945,0.5089585666293392,0.7331257867170854,21,0.30263157894736836,23,gemma-3-12b-it,factual recall,long,76
48,25.263157894736842,0.5375139977603584,0.7832703360841912,26,0.28947368421052627,18,gemma-3-12b-it,factual recall,single,76
48,23.092105263157897,0.4913213885778276,0.673064135050108,19,0.42105263157894735,23,gemma-3-12b-it,persona,long,76
48,27.421052631578945,0.5834266517357223,0.8518742351468026,32,0.21052631578947367,29,gemma-3-12b-it,persona,single,76
48,24.0,0.5106382978723404,0.7429759554467623,26,0.381578947368421,21,gemma-3-12b-it,summarization,long,76
48,26.605263157894733,0.5660694288913773,0.7928308335092421,26,0.2763157894736842,18,gemma-3-12b-it,summarization,single,76
48,24.631578947368418,0.5240761478163493,0.7567396841034532,23,0.30263157894736836,23,gemma-3-12b-it,verse,long,76
48,25.907894736842103,0.5512318029115341,0.7824050616054563,25,0.2631578947368421,29,gemma-3-12b-it,verse,single,76
