model,task,unit_jaccard,layer_jaccard,spearman,cosine
gemma-3-12b-it,bias,0.10144927536231885,0.38095238095238093,0.0182627089273857,0.023084277862574575
gemma-3-12b-it,factual recall,0.0410958904109589,0.43478260869565216,-0.04406854365631724,-0.03794348538128025
gemma-3-12b-it,persona,0.0410958904109589,0.42857142857142855,-0.0667021085318055,-0.11118509789237944
gemma-3-12b-it,summarization,0.08571428571428572,0.2857142857142857,0.010158052712423897,0.002893447018982503
gemma-3-12b-it,verse,0.10144927536231885,0.5789473684210527,0.0386791490219785,0.05722409543678782
Qwen1.5-14B-Chat,bias,0.08108108108108109,0.6666666666666666,0.022519658260285683,0.009896524444741962
Qwen1.5-14B-Chat,factual recall,0.0457516339869281,0.46153846153846156,0.02961935733826806,0.02094004014124607
Qwen1.5-14B-Chat,persona,0.08108108108108109,0.6842105263157895,-0.0007460847651885091,-0.014858696979067339
Qwen1.5-14B-Chat,summarization,0.0738255033557047,0.4074074074074074,-0.07686803838365859,-0.08824668129730444
Qwen1.5-14B-Chat,verse,0.03225806451612903,0.64,-0.03422058277854436,-0.08229554712987436
Falcon3-10B-Instruct,persona,0.09090909090909091,0.47368421052631576,-0.040442992374098846,0.04174293312995381
Falcon3-10B-Instruct,summarization,0.043478260869565216,0.1,0.004490308239464698,-0.021427858383966835
Falcon3-10B-Instruct,verse,0.02127659574468085,0.35,-0.10683857134796591,-0.06563422788483696
OLMo-2-1124-13B-DPO,bias,0.06666666666666667,0.37037037037037035,0.042759845835945526,0.024333391618270455
OLMo-2-1124-13B-DPO,persona,0.059602649006622516,0.6363636363636364,0.028284090274330584,0.04269823885310774
OLMo-2-1124-13B-DPO,summarization,0.05263157894736842,0.47619047619047616,-0.0035966586394100956,0.031632529016029025
OLMo-2-1124-13B-DPO,verse,0.08108108108108109,0.5909090909090909,0.024641901299498267,0.02503851397472522
Qwen1.5-32B-Chat,bias,0.04918032786885246,0.7352941176470589,0.0018566875913298342,-0.0030073768769510612
Qwen1.5-32B-Chat,factual recall,0.06666666666666667,0.6470588235294118,0.0004776242511540397,0.014793172440880685
Qwen1.5-32B-Chat,persona,0.0847457627118644,0.5555555555555556,-0.036008282472452656,-0.04914607310097496
Qwen1.5-32B-Chat,summarization,0.044897959183673466,0.6097560975609756,-0.05514767313034882,-0.08642100101686646
Qwen1.5-32B-Chat,verse,0.053497942386831275,0.6,-0.025839898485254024,-0.044483374158038
