model,task,unit_jaccard,layer_jaccard,spearman,cosine
gemma-3-12b-it,bias,0.11764705882352941,0.3333333333333333,0.04243537362056075,0.038828840357963905
gemma-3-12b-it,factual recall,0.0410958904109589,0.43478260869565216,-0.055284964726706146,-0.04828365503699792
gemma-3-12b-it,persona,0.0410958904109589,0.42857142857142855,-0.0667021085318055,-0.11118509789237942
gemma-3-12b-it,summarization,0.08571428571428572,0.2857142857142857,0.010158052712423897,0.0028934470189825043
gemma-3-12b-it,verse,0.10144927536231885,0.5789473684210527,0.0386791490219785,0.05722409543678782
Qwen1.5-14B-Chat,bias,0.08108108108108109,0.6666666666666666,0.022539342788805778,0.009973539482166643
Qwen1.5-14B-Chat,factual recall,0.05263157894736842,0.5,0.01959950132275406,0.01148368929879733
Qwen1.5-14B-Chat,persona,0.08108108108108109,0.6842105263157895,-0.0007460847651885091,-0.014858696979067332
Qwen1.5-14B-Chat,summarization,0.0738255033557047,0.4074074074074074,-0.07686803838365859,-0.08824668129730445
Qwen1.5-14B-Chat,verse,0.03225806451612903,0.64,-0.03422058277854436,-0.08229554712987434
Falcon3-10B-Instruct,persona,0.09090909090909091,0.47368421052631576,-0.040442992374098846,0.0417429331299538
Falcon3-10B-Instruct,summarization,0.043478260869565216,0.1,0.004490308239464698,-0.021427858383966835
Falcon3-10B-Instruct,verse,0.02127659574468085,0.35,-0.10683857134796591,-0.0656342278848369
OLMo-2-1124-13B-DPO,bias,0.06666666666666667,0.37037037037037035,0.042888309753408335,0.025191426138056056
OLMo-2-1124-13B-DPO,persona,0.059602649006622516,0.6363636363636364,0.028284090274330584,0.042698238853107764
OLMo-2-1124-13B-DPO,summarization,0.05263157894736842,0.47619047619047616,-0.0035966586394100956,0.03163252901602901
OLMo-2-1124-13B-DPO,verse,0.08108108108108109,0.5909090909090909,0.024641901299498267,0.025038513974725198
Qwen1.5-32B-Chat,bias,0.04065040650406504,0.7272727272727273,0.006070864895027263,-0.0033965991291853527
Qwen1.5-32B-Chat,factual recall,0.04918032786885246,0.6764705882352942,0.006362193966015341,0.015674205809226474
Qwen1.5-32B-Chat,persona,0.0847457627118644,0.5555555555555556,-0.036008282472452656,-0.04914607310097499
Qwen1.5-32B-Chat,summarization,0.044897959183673466,0.6097560975609756,-0.05514767313034882,-0.08642100101686649
Qwen1.5-32B-Chat,verse,0.053497942386831275,0.6,-0.025839898485254024,-0.044483374158037964
