model,task,n_samples,d_L,d_S,rho_mean,rho1,rho_perm,rho_excess,lab_L,lab_S,energy_L,energy_S,share_L,share_S,density_L,density_S,prfrac_L,prfrac_S,jaccard,peak_L,peak_S,peak,at_k_L,at_k_S,lab
Falcon3-10B-Instruct,summarization,640.0,6144.0,6144.0,0.9572998881340027,0.9825161695480347,0.31044033765792844,0.6468595504760742,0.13672246642619815,0.13951056289724512,0.05657561229845638,0.04429680487836479,0.05,0.05,1.1315122459691276,0.8859360975672959,0.9283065769474573,0.9053467510821925,0.043478260869565216,0.4,0.22,0.31,0.22,0.18,0.13811651466172165
Falcon3-10B-Instruct,verse,640.0,6144.0,6144.0,0.9826616048812866,0.9992240071296692,0.3227245926856995,0.6599370121955872,0.6262126762571624,0.6246646178663976,0.04077993086400061,0.04517519164029433,0.05,0.05,0.8155986172800123,0.9035038328058865,0.9069683407684285,0.9038816277820789,0.02127659574468085,0.88,0.88,0.88,0.14,0.04,0.62543864706178
OLMo-2-1124-13B-DPO,bias,640.0,10240.0,10240.0,0.9886693954467773,0.9966109991073608,0.3149678945541382,0.6737015008926391,0.30819405191254357,0.30632739051781405,0.06746169015731492,0.08248443306595045,0.05,0.05,1.3492338031462983,1.649688661319009,0.8356169766110529,0.8913789458153409,0.06666666666666667,0.84,0.76,0.8,0.26,0.72,0.3072607212151788
OLMo-2-1124-13B-DPO,persona,640.0,10240.0,10240.0,0.9976571202278137,0.9987165331840515,0.32138746976852417,0.6762696504592896,0.32353368873246974,0.32318394787850097,0.062256638862724555,0.05945607359464029,0.05,0.05,1.2451327772544911,1.1891214718928056,0.9322988688952485,0.9582350169417346,0.059602649006622516,0.24,0.22,0.22999999999999998,0.2,0.02,0.32335881830548535
OLMo-2-1124-13B-DPO,summarization,640.0,10240.0,10240.0,0.9877761602401733,0.9963411092758179,0.30930649638175967,0.6784696638584137,0.3080557232303136,0.30997454506538746,0.06555488822992708,0.059959931654651674,0.05,0.05,1.3110977645985415,1.1991986330930333,0.9092124300633456,0.9159431653937494,0.05263157894736842,0.7,0.76,0.73,0.22,0.06,0.30901513414785053
OLMo-2-1124-13B-DPO,verse,640.0,10240.0,10240.0,0.9956713914871216,0.9985421895980835,0.3116071164608002,0.6840642750263214,0.6470983008850802,0.6453142524928059,0.048970053420334704,0.04835036196702065,0.05,0.05,0.979401068406694,0.967007239340413,0.8913444200434684,0.8575419163448764,0.08108108108108109,0.68,0.56,0.6200000000000001,0.24,0.08,0.6462062766889431
Qwen1.5-14B-Chat,bias,640.0,10240.0,10240.0,0.9952232241630554,0.9982291460037231,0.3095958948135376,0.6856273293495179,0.5193049085567972,0.51440734803371,0.08006234091518295,0.0698419441449822,0.05,0.05,1.601246818303659,1.3968388828996439,0.8828195066793454,0.8637917639132435,0.08108108108108109,0.98,0.94,0.96,0.96,0.84,0.5168561282952536
Qwen1.5-14B-Chat,factual recall,640.0,10240.0,10240.0,0.9906051754951477,0.9990136623382568,0.3062529325485229,0.6843522429466248,0.20522904216024648,0.2021597093512757,0.07971285259452293,0.07584669638540625,0.05,0.05,1.5942570518904586,1.516933927708125,0.7991818993650283,0.8253678808581668,0.0457516339869281,0.4,0.4,0.4,0.4,0.2,0.2036943757557611
Qwen1.5-14B-Chat,persona,640.0,10240.0,10240.0,0.9939604997634888,0.9971460700035095,0.3106757938861847,0.683284705877304,0.3217697673115607,0.321641038337644,0.08935733151217799,0.0782102824589566,0.05,0.05,1.7871466302435597,1.5642056491791319,0.8789337723768534,0.8872802483447352,0.08108108108108109,0.06,0.22,0.14,0.0,0.02,0.32170540282460236
Qwen1.5-14B-Chat,summarization,640.0,10240.0,10240.0,0.9864789843559265,0.9952971339225769,0.30867087841033936,0.6778081059455872,0.3750709401011847,0.36948861818987855,0.06814435366994377,0.05448348649308741,0.05,0.05,1.3628870733988754,1.0896697298617481,0.9208099220554663,0.8696424263288177,0.0738255033557047,0.88,0.94,0.9099999999999999,0.88,0.94,0.3722797791455316
