model,task,margin,topk,arm,n_units,baseline,d_ablate,d_control,control_sd,excess
gemma-3-12b-it,verse,long,0.05,long,38,3.1488235130906106,-1.691197443008423,-0.8278110290567081,0.15563095605718114,-0.8633864139517148
gemma-3-12b-it,verse,long,0.05,single,38,3.1488235130906106,-0.033296357840299606,-0.33140028193593035,0.06483601558304046,0.29810392409563075
gemma-3-12b-it,verse,long,0.1,long,76,3.1488235130906106,-2.0301853314042093,-1.805953552822272,0.19639140392228224,-0.2242317785819372
gemma-3-12b-it,verse,long,0.1,single,76,3.1488235130906106,-0.45797799229621905,-1.081805144250393,0.09023381385330474,0.623827151954174
gemma-3-12b-it,verse,long,0.2,long,153,3.1488235130906106,-3.179892157018185,-2.1916306803623837,0.37685124913656876,-0.9882614766558011
gemma-3-12b-it,verse,long,0.2,single,153,3.1488235130906106,-1.099751131236553,-1.9438342665632566,0.4385496531582243,0.8440831353267035
gemma-3-12b-it,verse,long,0.3,long,230,3.1488235130906106,-4.079180209338665,-3.5186745847264924,0.13719409084838205,-0.5605056246121722
gemma-3-12b-it,verse,long,0.3,single,230,3.1488235130906106,-1.277650061249733,-2.327865189810594,0.14734040081301034,1.050215128560861
gemma-3-12b-it,verse,long,0.5,long,384,3.1488235130906106,-5.017835034430027,-4.40304622600476,0.6465238043140491,-0.6147888084252671
gemma-3-12b-it,verse,long,0.5,single,384,3.1488235130906106,-3.5652334943413737,-3.589368518690268,0.6121739764853652,0.024135024348894252
gemma-3-12b-it,summarization,long,0.05,long,38,2.707076061517,-0.9702734306454659,-0.43152541145682327,0.14245535817777563,-0.5387480191886427
gemma-3-12b-it,summarization,long,0.05,single,38,2.707076061517,-0.20385655015707016,-0.3904997769743203,0.07398404008427523,0.18664322681725015
gemma-3-12b-it,summarization,long,0.1,long,76,2.707076061517,-1.1806864738464355,-0.8278978506724041,0.2501174547554214,-0.3527886231740315
gemma-3-12b-it,summarization,long,0.1,single,76,2.707076061517,-0.8379069708287716,-0.5693749902149042,0.15310174822038136,-0.2685319806138674
gemma-3-12b-it,summarization,long,0.2,long,153,2.707076061517,-1.3985864035785198,-1.1547819284101326,0.2414988545818981,-0.2438044751683872
gemma-3-12b-it,summarization,long,0.2,single,153,2.707076061517,-1.37138105109334,-1.1094566461940605,0.14977781077666918,-0.2619244048992795
gemma-3-12b-it,summarization,long,0.3,long,230,2.707076061517,-1.736566176265478,-1.7570541736980279,0.14015455562893894,0.02048799743254981
gemma-3-12b-it,summarization,long,0.3,single,230,2.707076061517,-1.5320849396288394,-1.2191530344386896,0.17673712581153425,-0.3129319051901498
gemma-3-12b-it,summarization,long,0.5,long,384,2.707076061517,-2.804689044505358,-2.73263620013992,0.23269525966138577,-0.0720528443654378
gemma-3-12b-it,summarization,long,0.5,single,384,2.707076061517,-1.8127382226288318,-2.229067443559567,0.19864426659863144,0.4163292209307352
gemma-3-12b-it,bias,long,0.05,long,38,0.5839208498597145,-0.15803207457065582,-0.061032850046952546,0.011506467081517396,-0.09699922452370327
gemma-3-12b-it,bias,long,0.05,single,38,0.5839208498597145,-0.032265618443489075,-0.05663652320702869,0.034809540136481396,0.024370904763539612
gemma-3-12b-it,bias,long,0.1,long,76,0.5839208498597145,-0.20511041730642315,-0.1227682148416837,0.044861246902106564,-0.08234220246473946
gemma-3-12b-it,bias,long,0.1,single,76,0.5839208498597145,-0.0700416669249534,-0.056015343467394486,0.014648355059961055,-0.014026323457558908
gemma-3-12b-it,bias,long,0.2,long,153,0.5839208498597145,-0.2567566767334938,-0.16994865884383517,0.061078237526298845,-0.08680801788965861
gemma-3-12b-it,bias,long,0.2,single,153,0.5839208498597145,-0.12877459973096844,-0.11534063220024106,0.02572950999482551,-0.013433967530727384
gemma-3-12b-it,bias,long,0.3,long,230,0.5839208498597145,-0.33123499304056164,-0.2768779839078585,0.04380465760234311,-0.05435700913270314
gemma-3-12b-it,bias,long,0.3,single,230,0.5839208498597145,-0.21289758235216139,-0.19238190104564032,0.0435697151486082,-0.020515681306521066
gemma-3-12b-it,bias,long,0.5,long,384,0.5839208498597145,-0.4411126866936683,-0.35054956823587413,0.0608591659287551,-0.09056311845779419
gemma-3-12b-it,bias,long,0.5,single,384,0.5839208498597145,-0.24992401152849197,-0.32755217601855596,0.10487136446061798,0.07762816449006399
gemma-3-12b-it,factual recall,long,0.05,long,38,1.8389076352119447,-0.4539411395788193,-0.5924442847569785,0.06373654372573204,0.1385031451781592
gemma-3-12b-it,factual recall,long,0.05,single,38,1.8389076352119447,-0.39587461203336716,-0.2734042202432951,0.23497273479525968,-0.12247039179007208
gemma-3-12b-it,factual recall,long,0.1,long,76,1.8389076352119447,-1.1043389335274698,-1.1072166671355568,0.17266897133572826,0.002877733608086963
gemma-3-12b-it,factual recall,long,0.1,single,76,1.8389076352119447,-1.3139485746622086,-0.6127695947885515,0.12509718543287388,-0.7011789798736571
gemma-3-12b-it,factual recall,long,0.2,long,153,1.8389076352119447,-1.7651143848896027,-1.6830729444821675,0.08419351522250178,-0.08204144040743522
gemma-3-12b-it,factual recall,long,0.2,single,153,1.8389076352119447,-2.0293181896209718,-1.8387532805403073,0.7642162757559842,-0.19056490908066448
gemma-3-12b-it,factual recall,long,0.3,long,230,1.8389076352119447,-2.671060490608215,-2.5684107770522435,0.21298572592556103,-0.10264971355597163
gemma-3-12b-it,factual recall,long,0.3,single,230,1.8389076352119447,-2.8988018542528153,-2.2072585021456086,0.2782046612913103,-0.6915433521072067
gemma-3-12b-it,factual recall,long,0.5,long,384,1.8389076352119447,-2.483623522520065,-2.7988727152347566,0.2212619919017234,0.31524919271469143
gemma-3-12b-it,factual recall,long,0.5,single,384,1.8389076352119447,-2.762557858228684,-2.9295158873001736,0.3570842398997103,0.16695802907148982
gemma-3-12b-it,persona,long,0.05,long,38,1.728166614472866,0.08096329569816585,-0.007757813235123923,0.09583186266861864,0.08872110893328977
gemma-3-12b-it,persona,long,0.05,single,38,1.728166614472866,0.005813129246234894,-0.10333267947038009,0.060615997551468424,0.10914580871661499
gemma-3-12b-it,persona,long,0.1,long,76,1.728166614472866,-0.2901434823870659,-0.35653235713640846,0.1391047751379276,0.06638887474934257
gemma-3-12b-it,persona,long,0.1,single,76,1.728166614472866,-0.2783231571316718,-0.31599819560845693,0.13490586878449018,0.03767503847678516
gemma-3-12b-it,persona,long,0.2,long,153,1.728166614472866,-0.6341809615492819,-0.7913783028721809,0.13338696351784718,0.15719734132289898
gemma-3-12b-it,persona,long,0.2,single,153,1.728166614472866,-0.3642913118004798,-0.6925238107641537,0.030353283055261908,0.3282324989636739
gemma-3-12b-it,persona,long,0.3,long,230,1.728166614472866,-0.9501559898257255,-0.7333719427386919,0.07884903513373209,-0.21678404708703358
gemma-3-12b-it,persona,long,0.3,single,230,1.728166614472866,-0.3568475082516669,-0.7432027255495389,0.14445450060727463,0.38635521729787203
gemma-3-12b-it,persona,long,0.5,long,384,1.728166614472866,-1.1387094482779503,-1.0959037388364474,0.11756044232867086,-0.04280570944150286
gemma-3-12b-it,persona,long,0.5,single,384,1.728166614472866,-1.3883428797125816,-0.9844345405697821,0.10109048075519911,-0.40390833914279956
Qwen1.5-14B-Chat,verse,long,0.05,long,80,1.4063274271786212,-0.1720634661614895,-0.3853819149235884,0.04130631416091602,0.21331844876209893
Qwen1.5-14B-Chat,verse,long,0.05,single,80,1.4063274271786212,-0.327247004956007,-0.3918877122302849,0.02550123514393556,0.0646407072742779
Qwen1.5-14B-Chat,verse,long,0.1,long,160,1.4063274271786212,-0.4648868925869465,-0.850607999910911,0.09007499757031313,0.3857211073239645
Qwen1.5-14B-Chat,verse,long,0.1,single,160,1.4063274271786212,-0.7015448398888111,-0.7411734811961651,0.020349504782845734,0.039628641307353996
Qwen1.5-14B-Chat,verse,long,0.2,long,320,1.4063274271786212,-0.9780821062624454,-1.366468231131633,0.13361481057485225,0.38838612486918755
