layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.17407425,0.3860193,0.34142944,-0.017694702,0.13301758,0.10687744,0.08378265,-0.15899658,0.54622984,1.1335645,0.021975098,-0.056520995,0.9380176,-0.13669677,0.07546463,0.7590698,0.21713012,0.03903587,-0.18265869,-0.0077560423,-0.5450684,-0.46121094,0.3184857,0.8945386,0.73587584,0.25482178,-0.03894165,0.48362243,-0.25554505,-0.27673462,0.1264209,0.22077498,0.5431952,0.7066309,0.3203076,-0.16592102,-0.021828841,0.11857666,0.21007325,-0.37156114
1,0.0010116578,-0.03435547,0.107347414,-0.11168762,0.4041504,-0.011385117,-0.10964945,-0.0017895508,-0.009249496,0.20511581,-0.20784149,0.749585,0.005836792,0.058847655,0.077481076,0.086035155,-0.007719269,0.0131170275,-0.47468993,0.12084702,0.022578888,0.014808273,0.21119568,0.09251129,-0.071741946,-0.1699005,0.3738574,0.04864868,-0.09541687,0.028959503,0.09833008,-0.038065184,0.053644408,-0.047920533,-0.087440796,-0.0028306579,-0.22399414,-0.008658218,0.014443245,-0.022296447
2,0.07336954,-0.3565863,-0.05449768,0.16635315,-0.025078736,0.22532715,0.07766754,-0.07464996,0.12133972,0.4177124,-0.13677245,0.023685684,0.22640137,0.9105615,-0.10130188,0.48542967,-0.04256592,0.5706375,0.40888917,0.17229065,0.049107056,-0.1323645,0.22033447,-0.022513732,-0.32949707,-0.108508565,0.10684204,-0.2698709,0.17003602,0.68442625,0.20300354,0.024587212,-0.08045349,0.026314164,-0.44656983,-0.06988556,0.21897216,-0.116135255,0.48744568,-0.27501586
3,0.010158844,-0.023826446,-0.040857848,-0.031264648,-0.051071778,0.39634764,0.13235718,0.22660767,0.3877783,0.27954713,0.030725708,0.054766845,0.094091184,0.038337402,0.49432862,0.067977905,-0.25265014,-0.43023193,-0.08699905,0.003794403,0.02473877,0.02316101,0.27041993,0.03394518,0.11741608,-0.001248169,0.0019849776,-0.018987713,-0.014633789,0.0072457124,0.2679999,-0.053774644,0.09376083,0.015761718,0.23779052,-0.7094971,0.015856171,-2.0084863,0.3234961,-0.06598755
4,0.10212067,-0.068741605,0.049088135,-0.08931885,-0.030715484,1.4880273,0.013034191,-0.03339096,-0.0150354,-0.008852539,0.045223847,0.20835204,-0.019334335,-0.01820715,-0.30736694,-0.27198303,-0.009220152,-0.21869141,0.24578369,-0.4655304,0.11506531,-0.04164917,-0.13071899,-0.04977253,-0.042983856,-0.47624025,-0.4481392,-0.112887576,0.18966064,0.0038383103,0.12177734,0.10027649,0.25811586,0.28499085,0.12491089,0.05794983,0.14342682,0.060133744,-0.037600707,-0.17026855
5,0.017644653,0.112526245,-1.1856347,0.020771485,-0.055067137,0.19899659,0.057373047,0.07325012,0.09037475,0.2768115,-0.043377075,-0.019421387,-0.073805846,-0.023458404,0.15828857,0.7350708,-0.723797,0.64776367,0.32858154,-0.19664551,0.5567725,0.021926269,0.06338013,0.31557983,0.00567276,0.06408325,0.11392212,0.0020178223,0.19157226,0.19605194,0.059893493,0.08170898,-0.5267566,-0.041165162,-0.07423584,0.05654175,0.17614959,0.049629517,0.012831116,0.092442624
6,0.32323974,0.053903654,0.54115844,-0.1685405,0.07097656,-0.09275665,0.279917,-0.07858582,0.05676346,0.4329248,-0.7048877,0.033104476,-0.574375,0.046077423,-0.16871215,-0.011146336,-0.28874266,-0.66941404,-0.14213623,-0.76124024,-0.6514844,0.024821168,0.00013000489,0.41512206,-0.024265137,0.35483032,-1.5681446,-0.16645263,0.07290058,0.014691773,0.2939856,-0.02626953,0.46689942,0.2896704,0.14015014,0.05142578,-0.07316589,0.3549365,-0.15135804,-0.60203123
7,1.2309864,-0.12567444,0.16465943,0.23881225,-0.10940773,0.19970214,0.023648376,0.13726807,-0.28479248,0.28407836,0.15755859,-0.020708313,0.5367187,-0.0486084,-0.07600403,0.04397194,0.18556397,0.22650635,0.03074524,0.36100158,0.2161084,0.11663025,0.79451174,-0.27407715,0.200719,0.3217859,-0.12568496,0.24635132,0.056290284,0.60856444,0.116506346,0.4554236,0.22891358,-0.3926709,0.005539551,0.106037594,-0.23363891,-0.44569823,0.18451661,-0.023422852
8,-0.02418396,-0.4023767,-0.5729004,0.048791505,0.30326903,0.5316931,0.1039624,0.147854,-0.32614747,-0.004746208,0.20325989,0.034366682,0.0064050294,-0.12402344,-0.25971437,-0.1816626,0.58947754,-0.36370605,-0.57888913,-0.008746185,0.0004699707,-0.67885745,0.28527465,0.1879718,0.1589978,-0.07434082,0.84177065,-0.27962646,-0.21907777,-0.3854541,-0.110957034,0.008381348,-0.07163147,0.10523681,0.19974853,0.19205017,0.0026220703,0.02248291,-0.07431518,-0.010088806
9,1.0316651,1.1330615,-0.90049314,-0.09656189,0.06906693,-0.51059264,-0.07933876,-0.18797348,-0.34573546,0.03334839,0.18927246,-0.08664551,-0.34978026,-0.41904297,-0.87424314,0.063579105,0.23882568,0.2589209,1.1007227,0.038919676,-0.031237183,-0.19076538,-0.06359009,0.63790286,-0.0928125,-0.14533967,0.19250488,0.038857423,0.05942871,0.48653075,0.0409552,-0.0014788818,0.17604752,0.34775147,-0.017929688,0.22683227,0.012539063,-0.046931762,-0.18716308,0.047472533
