layer,neuron,value
0,9,1.1335645
0,12,0.9380176
0,23,0.8945386
2,13,0.9105615
4,5,1.4880273
7,0,1.2309864
8,26,0.84177065
9,0,1.0316651
9,1,1.1330615
9,18,1.1007227
10,30,0.8671338
11,5,1.6132032
11,7,0.8711365
11,10,1.072229
11,31,1.5270728
12,33,3.4204955
13,4,2.543236
13,25,1.1580453
13,35,0.8183789
14,4,0.9083472
14,9,7.0203123
14,15,0.87566406
14,22,2.4992578
15,3,11.841562
15,4,0.8587894
15,10,1.5486426
15,11,1.8008789
15,20,1.2992285
15,30,9.558125
15,32,0.8229785
15,34,1.008103
16,1,4.3578124
16,3,2.6094532
16,5,3.2665625
16,14,0.91376954
16,15,3.5393555
16,19,2.75542
17,3,1.2002734
17,8,2.1778932
17,18,1.0649048
17,28,1.0114746
17,30,15.483516
17,34,7.01
17,38,0.9113086
18,0,5.944609
18,3,1.1882813
18,9,0.887334
18,16,2.6144726
18,17,0.9207165
18,21,4.383516
18,22,1.3712549
18,23,1.6139941
18,28,2.0089843
18,37,2.3873632
18,38,2.2741015
19,0,3.07083
19,3,1.5987207
19,8,4.064961
19,9,2.5709858
19,10,0.9908789
19,15,2.6600928
19,21,1.0062305
19,29,9.068125
19,38,3.4898438
20,0,3.8449218
20,3,1.7877929
20,10,1.1184863
20,16,2.232461
20,17,1.7933838
20,18,1.0176368
20,24,4.4789844
20,27,2.5886524
20,33,4.8320312
21,4,5.356836
21,21,0.935415
21,29,0.9192999
21,34,8.478907
21,35,2.5196095
21,38,2.2539942
21,39,1.4470019
22,2,2.109038
22,9,2.0169165
22,17,2.5683985
22,19,0.8138452
22,35,1.1038891
22,36,3.4653516
23,11,1.5054053
23,15,1.9610938
23,24,1.3001953
23,27,1.452941
23,33,2.2895653
24,9,1.1162207
24,16,3.5480468
24,31,0.87595975
24,33,1.4186378
24,36,1.2161597
25,7,1.0771387
25,38,1.6043652
26,12,0.920293
26,15,0.96171385
26,23,1.6243457
26,39,0.8998865
27,33,1.2593848
27,37,1.3991797
28,33,1.0868164
28,34,0.8151514
30,21,1.7498388
31,15,1.322301
32,32,0.85127443
34,33,1.3146509
36,33,0.8639575
36,34,0.80654055
