layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.107604064,0.26249084,0.3396826,-0.00426651,0.2635028,0.056455385,0.0010574341,-0.17077911,0.6255188,1.1167114,0.13212113,-0.044052735,1.042528,-0.06334931,0.008629455,0.79131895,0.17575257,0.020611497,-0.2435437,-0.017284604,-0.52677184,-0.4725293,0.29609397,0.84911925,0.8003546,0.2690088,-0.017559357,0.5418164,-0.367052,-0.20386109,0.0913794,0.18887085,0.64704347,0.66010374,0.38257203,-0.17104034,-0.029974366,0.08888611,0.12170624,-0.39200255
1,-0.06699951,-0.063632816,0.04730438,-0.12982513,0.4693405,-0.027960187,-0.10384478,-0.00444191,-0.009108505,0.15398392,-0.22121476,0.70311093,0.011569185,0.23052245,0.038088072,0.025561715,-0.011651001,0.014838677,-0.3973165,0.15151124,0.021124763,0.016021881,0.16613723,0.0788205,-0.0625499,-0.15296234,0.42830077,-0.059748687,-0.060092382,0.0064930725,0.09863587,-0.07965784,0.040808793,-0.06115921,-0.11066559,-0.006320381,-0.1302893,-0.0031503106,0.016251221,0.01708477
2,0.055323638,-0.29914963,-0.034105185,0.04578064,-0.043411866,0.2121931,0.05868927,-0.07833801,0.12070404,0.3424082,-0.098528445,0.021996764,0.21856064,0.7284857,-0.0979419,0.5020453,-0.061981317,0.47646484,0.41336182,0.028452149,0.02543045,-0.07429779,0.28532714,-0.021526642,-0.34350282,-0.096131265,0.06333893,-0.2504078,0.18445861,0.6502832,0.14932862,0.020330582,-0.06920944,0.048032686,-0.4780661,-0.06085449,0.2467633,-0.017269898,0.32002747,-0.23463868
3,0.015628967,-0.048509218,-0.040127546,-0.07717194,-0.08458374,0.23806183,0.1970462,0.11102997,0.31148583,0.28997338,0.022470932,0.05421669,0.07113136,0.03721801,0.36068603,0.0824646,-0.25349176,-0.46124864,-0.07479267,0.020125275,-0.022157134,0.044324074,0.34780762,0.038862802,0.076340176,-0.014025116,-0.000107221604,-0.014067078,-0.01267395,-0.015796127,0.19595765,-0.05772041,0.17273942,0.0016085053,0.0685852,-0.77140504,0.093450814,-1.6991528,0.24454346,-0.02486084
4,0.085616454,-0.050941393,0.07699993,-0.22565795,-0.026117744,1.5779883,-0.00078525546,0.007980347,-0.035725173,-0.02651268,0.028687535,0.20041656,-0.059193384,-0.02213707,-0.3618347,-0.24906234,-0.013556748,-0.15627624,0.23846924,-0.5389026,0.080921024,-0.026517333,-0.11733669,-0.037931748,-0.031011276,-0.2513916,-0.42686662,-0.06725052,0.20946899,0.009395761,0.2885547,0.073115006,0.20426853,0.35811844,0.13049194,0.047983702,0.14382485,0.11440857,-0.04384846,-0.13248138
5,0.015039368,0.09021423,-1.4327246,0.015540161,-0.06735878,0.25054473,-0.38782716,0.0398666,0.09494751,0.3157306,-0.12909935,-0.0555188,-0.10181053,0.010332641,0.18450958,0.7632361,-0.84647155,0.61638427,0.34802887,-0.16219941,0.5456256,0.0144944005,0.09830932,0.45289162,0.0053666686,0.05455841,0.08658996,0.0049905395,0.2268586,0.09391495,0.034711685,0.13058014,-0.43618348,-0.055775538,-0.07190308,0.05953125,0.15226105,0.08700432,-0.017348632,0.122384645
6,0.34215942,0.09620026,0.4611209,-0.05497345,0.022194214,-0.1104773,0.27473146,-0.045269165,0.026007995,0.42064452,-0.6741785,0.037112426,-0.4681555,0.035195924,-0.13412414,-0.06569235,-0.22263916,-0.5548077,-0.120248415,-0.8122412,-0.5844888,-0.002224884,0.08241486,0.32992676,-0.0532045,0.29540694,-1.6311874,-0.15699035,0.05270256,0.02381134,0.31188354,-0.028285103,0.4283966,0.31445923,0.14118408,0.04940918,-0.050436858,-0.14674805,-0.10328507,-0.5439087
7,1.3643067,-0.080265194,0.18776283,0.2556793,-0.09094534,0.18362923,0.027362786,0.15775971,-0.30655274,0.2210434,0.123790056,-0.030827332,0.3499994,-0.050095826,-0.10201832,0.04699104,0.22532043,0.19678527,0.01600647,0.28936157,0.25084808,0.16896668,0.8564453,-0.19582596,0.2149881,0.26184097,-0.1358268,0.23441143,0.050708923,0.6066834,0.1322815,0.46591827,0.24626617,-0.30910033,0.007793274,0.12261078,-0.1943689,-0.49200806,0.30548707,-0.0026583862
8,-0.029946137,-0.2951262,-0.6580884,0.053370055,0.3993567,0.34726074,0.12564293,0.05035126,-0.27514312,-0.0068107606,0.15536994,0.05627697,-0.011403198,-0.15923798,-0.21762726,-0.17821212,0.597323,-0.41933763,-0.5978198,0.014334488,0.02992859,-0.74046755,0.26567933,0.12691337,0.21461976,-0.04716858,0.84030885,-0.22352234,-0.19466156,-0.39012817,-0.12497375,0.014971313,-0.07790222,0.14652161,0.3010022,0.16885719,-0.019050598,0.21227174,-0.06645287,-0.0014722634
9,1.0752606,1.2318481,-0.7284488,-0.09585938,0.06391052,-0.42096803,-0.0736509,-0.096270755,-0.31647828,-0.1437207,0.2777191,-0.6331299,-0.20681633,-0.319682,-1.0662793,0.12715942,0.21196412,0.21608116,1.0632739,0.0469339,-0.00013793945,-0.16979247,-0.018539429,0.59172606,-0.06414055,-0.089021534,0.07632248,0.05505524,0.088407286,0.4681958,0.038763963,-0.0055070114,0.18252273,0.2733252,0.016246337,0.27475953,-0.10152344,-0.032427978,-0.16114242,0.03522911
10,0.39871186,0.0982576,-0.017907333,0.04006714,-0.6008229,0.1933928,-0.077481076,0.37115693,0.42047334,0.053936005,0.056970824,0.045837097,-0.37066117,0.03411957,0.11690979,0.4700319,-0.016186772,0.14893906,-0.20625535,-0.25857866,0.3039006,0.037803344,0.5397992,0.28497666,0.014165649,0.24441254,-0.56210935,0.115253754,-0.104681246,0.05484749,0.7373706,0.6133679,-0.20328644,0.039776765,-0.013098449,-0.44178712,-1.5817578,0.7088272,0.18632385,-0.19321716
