layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.16038696,0.48873353,0.2253553,0.92648435,0.4372357,0.61764646,-0.13856423,-0.1368689,-0.25913635,0.21751648,0.37541625,-0.000769043,-0.25500792,0.31811965,-0.038350984,0.2889055,0.9973587,-0.21508545,0.6113464,0.6550122,0.22185135,-0.28907654,-0.048397828,0.65352964,0.26085877,0.57255614,0.12094093,0.4909265,0.337525,0.15916352,0.16277222,0.031223144,-0.5066354,0.22386962,-0.24605839,-1.0899423,0.25298706,0.1286859,0.17549561,0.05579708
1,0.027200852,0.08476761,0.06199116,0.072667085,0.01962246,0.040372923,-0.0464402,-0.06345596,-0.0014849853,-0.009137574,0.40374267,0.028144836,0.13053063,0.062124632,0.43561593,0.254319,0.02445408,-0.308385,0.10309997,0.17517334,0.11248779,-0.10219841,-0.017964935,-0.10484436,0.013409653,-0.22975188,-0.38744017,0.19938995,-0.01610962,-0.09747963,-0.14386475,0.0050404356,0.19931243,0.015518647,0.033272743,0.013465576,0.11290878,0.029815521,0.010221863,-0.16639969
2,-0.0063537597,-0.13875915,-0.044770814,-0.18153594,0.20657104,0.13688613,0.20971961,0.1481723,-0.06541321,-0.15543449,0.3464795,0.22738647,0.11583321,0.12308227,0.43205443,0.26158142,-0.26931152,-0.6062036,-0.013717728,0.51616853,0.03891098,-0.09206543,0.2582901,0.13819619,0.10624115,0.07886261,0.16374329,-0.15810883,0.0021142578,-0.06282959,0.3664319,0.037785035,0.19598359,-0.11987427,0.27101213,0.08036499,0.17290467,-0.111046754,0.06721863,0.18269013
3,-0.043157045,-0.3317923,0.30947387,-0.5093146,-0.118843384,-0.38817748,-0.09770172,0.08799675,-0.2567122,-0.1169159,-0.16522583,0.2136853,-0.03270691,0.065095216,-0.10554931,0.04908989,-0.09836945,-0.60712034,0.19010895,-0.13255912,0.15773986,0.45702636,0.15270142,0.14724335,-0.00056396483,-0.05092575,0.29756713,-0.12965882,-0.048706666,0.122526854,0.2054538,-0.08084473,-0.13103943,0.040921938,-0.009405975,0.022636566,0.05303757,-0.13112366,0.36089906,0.07499389
4,-0.5082602,0.24874511,0.09786545,-0.3020317,-0.2632431,-0.32635558,0.6598901,0.11159271,0.122239076,0.07021652,0.076078184,-0.3785144,0.25128633,0.037277833,0.007067947,-0.06580673,-0.18305176,-0.64223266,0.20292382,0.17812897,0.07569824,0.13105835,-0.17732666,0.38175797,0.36558074,-0.29175904,-0.3939569,0.3080127,0.0999704,0.37399352,-0.20700562,0.4537851,-0.030705871,-0.079091795,0.3403717,0.17127228,-0.05842102,-0.16884278,-0.09445923,0.37918746
5,0.39422303,0.044003297,0.077397004,0.14423218,0.4574988,0.43411377,0.1517305,0.06442749,-0.047658693,0.20681946,0.19686523,-0.64543515,-0.022705002,0.31234282,0.59246397,-0.56007123,0.21272308,-1.2367712,0.29541603,0.5582512,0.1746196,-0.3949768,0.08446899,0.1790335,-0.08598572,-0.29992005,0.6517419,0.07849701,-0.15527527,-0.17832825,-0.43989196,-0.26560807,0.6775061,-0.06181015,-0.025072021,-0.41581544,-0.28048888,-0.021064071,0.13514648,0.16583374
6,-0.124062344,0.2986476,0.16750275,-0.5588896,0.003144226,-0.100047,0.10005417,-0.22818726,0.12874268,0.13864487,-0.0048920442,-0.059749298,-0.42936873,-0.2442398,0.20115112,-0.5974622,0.044581298,-1.4688098,0.1693518,0.18470092,0.13113648,-0.49443328,-0.057786256,0.44228593,-0.2964099,-0.1587622,-0.04860565,0.028348388,0.11917984,-0.070341796,-0.014397583,-0.11371773,0.5586654,-0.06790771,-0.23183075,-0.075928956,-0.048604432,-0.024692994,-0.09132385,0.07729797
7,0.22046906,0.04351776,0.28559265,0.072634734,0.12231049,0.23994751,0.012228394,0.19406463,0.25133148,0.115918845,0.29554445,0.0799501,0.2454094,-0.004881592,0.39340332,0.05981018,-0.015527192,-0.4500061,-0.010982895,0.07755569,0.35098326,-0.10496422,-0.06063614,0.35016075,0.14541504,0.17790039,0.39326707,-0.32433534,0.2556195,0.39956176,0.2486737,0.03159378,0.35297975,0.1521334,0.05703125,0.14037734,-0.042978514,0.17294464,0.3648703,0.2910199
8,-0.064500734,0.21364623,-0.29520538,0.17741485,-0.16167969,0.24404877,0.09377014,0.13791808,0.15045296,-0.22346741,-0.3736452,-0.28676987,0.2183963,-0.15843369,0.7757263,0.11669067,0.18048874,-1.1043774,-0.011013794,0.4310425,0.3914299,-0.10165161,0.45109862,-0.31134644,-0.2866229,0.040058784,0.17168549,-0.17753479,-0.1539093,-0.07722809,0.12664856,0.120644376,-0.0041918945,-0.60534483,-0.085685425,-0.015238037,0.02294693,-0.092352144,-0.1294014,0.040270995
9,0.47659546,-0.4980387,0.55481076,-2.0405085,0.20479545,0.46828124,-0.35770753,0.019837342,0.3236682,-0.37668458,0.3930266,-0.86342895,0.6383716,-0.04740013,0.23269135,-0.73101896,-0.060141906,-1.6271826,0.43501222,-0.30601075,0.39702225,-0.47161102,-0.13355835,0.115180664,-0.38521302,0.49830687,4.3752346,0.46956053,-0.09593994,-0.32291076,0.045246582,-0.25171143,0.7812677,-0.7085448,-0.14850311,0.17032433,-0.020608215,-0.19832093,-0.08717346,0.8035779
