layer,neuron,value
0,0,0.16038696
0,1,0.48873353
0,2,0.2253553
0,3,0.92648435
0,4,0.4372357
0,5,0.61764646
0,6,-0.13856423
0,7,-0.1368689
0,8,-0.25913635
0,9,0.21751648
0,10,0.37541625
0,11,-0.000769043
0,12,-0.25500792
0,13,0.31811965
0,14,-0.038350984
0,15,0.2889055
0,16,0.9973587
0,17,-0.21508545
0,18,0.6113464
0,19,0.6550122
0,20,0.22185135
0,21,-0.28907654
0,22,-0.048397828
0,23,0.65352964
0,24,0.26085877
0,25,0.57255614
0,26,0.12094093
0,27,0.4909265
0,28,0.337525
0,29,0.15916352
0,30,0.16277222
0,31,0.031223144
0,32,-0.5066354
0,33,0.22386962
0,34,-0.24605839
0,35,-1.0899423
0,36,0.25298706
0,37,0.1286859
0,38,0.17549561
0,39,0.05579708
1,0,0.027200852
1,1,0.08476761
1,2,0.06199116
1,3,0.072667085
1,4,0.01962246
1,5,0.040372923
1,6,-0.0464402
1,7,-0.06345596
1,8,-0.0014849853
1,9,-0.009137574
1,10,0.40374267
1,11,0.028144836
1,12,0.13053063
1,13,0.062124632
1,14,0.43561593
1,15,0.254319
1,16,0.02445408
1,17,-0.308385
1,18,0.10309997
1,19,0.17517334
1,20,0.11248779
1,21,-0.10219841
1,22,-0.017964935
1,23,-0.10484436
1,24,0.013409653
1,25,-0.22975188
1,26,-0.38744017
1,27,0.19938995
1,28,-0.01610962
1,29,-0.09747963
1,30,-0.14386475
1,31,0.0050404356
1,32,0.19931243
1,33,0.015518647
1,34,0.033272743
1,35,0.013465576
1,36,0.11290878
1,37,0.029815521
1,38,0.010221863
1,39,-0.16639969
2,0,-0.0063537597
2,1,-0.13875915
2,2,-0.044770814
2,3,-0.18153594
2,4,0.20657104
2,5,0.13688613
2,6,0.20971961
2,7,0.1481723
2,8,-0.06541321
2,9,-0.15543449
2,10,0.3464795
2,11,0.22738647
2,12,0.11583321
2,13,0.12308227
2,14,0.43205443
2,15,0.26158142
2,16,-0.26931152
2,17,-0.6062036
2,18,-0.013717728
2,19,0.51616853
2,20,0.03891098
2,21,-0.09206543
2,22,0.2582901
2,23,0.13819619
2,24,0.10624115
2,25,0.07886261
2,26,0.16374329
2,27,-0.15810883
2,28,0.0021142578
2,29,-0.06282959
2,30,0.3664319
2,31,0.037785035
2,32,0.19598359
2,33,-0.11987427
2,34,0.27101213
2,35,0.08036499
2,36,0.17290467
2,37,-0.111046754
2,38,0.06721863
2,39,0.18269013
3,0,-0.043157045
3,1,-0.3317923
3,2,0.30947387
3,3,-0.5093146
3,4,-0.118843384
3,5,-0.38817748
3,6,-0.09770172
3,7,0.08799675
3,8,-0.2567122
3,9,-0.1169159
3,10,-0.16522583
3,11,0.2136853
3,12,-0.03270691
3,13,0.065095216
3,14,-0.10554931
3,15,0.04908989
3,16,-0.09836945
3,17,-0.60712034
3,18,0.19010895
3,19,-0.13255912
3,20,0.15773986
3,21,0.45702636
3,22,0.15270142
3,23,0.14724335
3,24,-0.00056396483
3,25,-0.05092575
3,26,0.29756713
3,27,-0.12965882
3,28,-0.048706666
3,29,0.122526854
3,30,0.2054538
3,31,-0.08084473
3,32,-0.13103943
3,33,0.040921938
3,34,-0.009405975
3,35,0.022636566
3,36,0.05303757
3,37,-0.13112366
3,38,0.36089906
3,39,0.07499389
4,0,-0.5082602
4,1,0.24874511
4,2,0.09786545
4,3,-0.3020317
4,4,-0.2632431
4,5,-0.32635558
4,6,0.6598901
4,7,0.11159271
4,8,0.122239076
4,9,0.07021652
4,10,0.076078184
4,11,-0.3785144
4,12,0.25128633
4,13,0.037277833
4,14,0.007067947
4,15,-0.06580673
4,16,-0.18305176
4,17,-0.64223266
4,18,0.20292382
4,19,0.17812897
4,20,0.07569824
4,21,0.13105835
4,22,-0.17732666
4,23,0.38175797
4,24,0.36558074
4,25,-0.29175904
4,26,-0.3939569
4,27,0.3080127
4,28,0.0999704
4,29,0.37399352
4,30,-0.20700562
4,31,0.4537851
4,32,-0.030705871
4,33,-0.079091795
4,34,0.3403717
4,35,0.17127228
4,36,-0.05842102
4,37,-0.16884278
4,38,-0.09445923
4,39,0.37918746
5,0,0.39422303
5,1,0.044003297
5,2,0.077397004
5,3,0.14423218
5,4,0.4574988
5,5,0.43411377
5,6,0.1517305
5,7,0.06442749
5,8,-0.047658693
5,9,0.20681946
5,10,0.19686523
5,11,-0.64543515
5,12,-0.022705002
5,13,0.31234282
5,14,0.59246397
5,15,-0.56007123
5,16,0.21272308
5,17,-1.2367712
5,18,0.29541603
5,19,0.5582512
5,20,0.1746196
5,21,-0.3949768
5,22,0.08446899
5,23,0.1790335
5,24,-0.08598572
5,25,-0.29992005
5,26,0.6517419
5,27,0.07849701
