layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.00059971755,-0.001035791,-0.002400434,-3.402337e-05,0.0007186745,0.0015138116,0.002330438,0.0004678908,-0.0024148524,-0.0049451888,-0.0024784831,-0.0006891898,-0.0002809635,-0.013978026,0.0003280226,0.0018934262,5.283557e-05,-0.00043628356,-0.00044688105,-5.1108702e-05,0.00066642254,-0.003828032,-0.0004001823,-0.0026558863,-0.0010138127,0.00041530968,0.0004131241,-0.00083156064,-0.0011895042,-0.0015006275,0.0006320444,0.0034487825,-0.0003941235,0.0016968944,-0.0019409913,-6.348634e-05,-0.0002064395,0.00049946137,9.560913e-05,-0.00039888266
1,-0.0004101237,-0.000275107,-0.0013306725,-0.00045581305,0.0010515243,0.00086108444,6.0637594e-05,0.0017506279,-0.0015446666,0.007136688,-0.0020368889,0.006254498,-0.00062726735,-0.0012452957,0.0011009257,0.00093469734,8.130296e-05,0.00026509925,0.0039665974,-0.0007904521,-0.0053864256,0.0006333913,-0.0022601874,-0.002289098,0.00034133752,4.7487607e-05,0.00734607,-3.234703e-05,0.004264021,-0.00032908213,-0.0058398847,-0.0011015481,0.00044271722,0.005054453,0.0018121001,-0.00022060174,0.0037108343,0.00050696783,-0.0001960658,-0.0005118161
2,-0.0010024518,-0.00024480664,-0.0005530414,0.0044416715,-0.0019844247,-0.002594475,-0.0021358377,-0.00066414644,-0.0038516647,0.00051688374,0.0016187633,0.00017024718,-0.016171424,0.012267005,-0.0004991635,0.0026747794,-0.0017216408,0.0006435636,0.0011075157,-0.008825373,0.0032579259,0.0027294713,-0.0015950144,-0.0015568042,-0.0020021177,8.643251e-05,0.0006760225,0.0025797074,-0.0024056307,-0.0003897029,0.004024746,0.00074632524,0.0002643799,0.0005277905,0.0028102284,-0.0002679508,0.0017754852,-0.000860467,-0.018027376,0.00063304947
3,-5.274389e-05,0.0019737454,-0.00044255136,0.00469871,0.0014249384,0.0135294525,0.029813562,0.02357348,-0.00035810738,-0.009222028,-0.00041195817,-0.001207037,-0.00025722705,0.00026772087,0.0009615861,-0.0008407517,-0.009556342,-0.005115432,-0.0011617114,-0.0001923582,0.0012739238,0.00040908367,0.0027485741,0.0004589045,0.0008639589,0.00060151203,0.0006116176,-0.00011634784,-0.033469204,0.0005559081,-0.0003633801,2.3394226e-05,-0.0016218504,0.0006922543,0.0025338577,0.0018304359,0.0013854589,0.0053407634,-0.00033717553,0.0010591616
4,-0.0022472716,-0.000118509306,0.0008789876,0.0008396706,0.000299558,-0.027364235,6.7859887e-06,-0.00555814,-0.00024342611,-0.0009952768,5.547799e-05,-0.0005022049,0.0019691328,-0.0005404848,0.0043190215,-0.05853793,-0.019986363,8.028105e-05,0.022115238,0.010668363,0.00015696358,-0.0010480142,0.0049160887,0.0011900193,-0.004424687,-0.004983891,0.003223394,0.0008852226,0.0011025155,-0.0024937885,-0.006400449,-0.01554704,0.00087255496,-0.0023245898,0.0014443338,0.0027109515,0.0006686271,0.00039009406,-0.0018871191,-0.0010375588
5,0.0006447549,0.00035810232,-0.018216142,-0.0003681968,-0.0015074359,-0.005561432,-0.00081582664,0.00027924537,0.00080815615,-0.019049698,-0.0015393157,0.0011438084,0.00029584637,0.00026577964,0.005292364,-0.02087228,0.0052040983,-0.01636304,0.0014839243,-0.0017458051,0.012531612,0.0010598159,-0.00022397145,0.028573828,0.00026827902,-0.0010323165,0.00026880667,0.00060928875,-0.0022653253,-0.0004798609,-0.00090598804,-0.0033940852,0.0019044649,0.0025204993,-0.0051878486,-0.0020543383,0.0041053905,-0.016606804,3.1230375e-05,0.0013655665
6,0.0002531179,-0.001085251,0.00013992398,0.0018753251,-0.0039492026,-0.0019508079,-0.00026333035,-0.00044190593,-0.0037111552,-0.013084339,0.0010843549,0.0009202601,0.0061754477,-0.009038473,0.0006919269,-0.0006718835,-0.00753425,-0.0008692354,0.00015256369,-0.001961332,-0.0020675794,0.0003944306,0.0011038914,0.011099198,0.0009038262,-0.0012721876,0.0078252945,0.00088832306,-0.00015588131,0.0003531771,0.0007219225,0.00027786483,-0.00092532544,0.0042881197,-0.0041807904,0.006864271,-0.002941419,0.0060914992,0.009373417,0.00023420334
7,-0.00035238444,-0.00024399742,0.005175172,-0.00051443843,0.008815395,0.0007370949,-0.000101322206,0.0012991582,-0.0030614876,-0.0013833651,0.0025397867,-0.0009009924,-0.006098269,-0.0025036556,-0.0027665952,-0.00076780823,-0.003973267,-1.02669e-05,-0.00010050654,-0.022794599,-0.0072730267,-0.0035489625,9.8056196e-05,-0.00013715922,-0.0016526773,0.0009867811,-0.0010483098,-0.0020711953,-0.0013083261,-0.00014667302,0.00014600664,-0.04104512,0.02691223,-0.00038049428,0.0009430547,0.0008530051,0.00013707593,-0.018358,0.003644746,-0.00043023974
8,0.0007505443,0.0061429106,-0.028462086,-0.0032385432,0.032802448,-0.0007518344,0.00010742247,-0.00046910436,0.0028945494,-0.00026559128,0.00069182605,-6.257549e-05,0.0003344077,-0.03031475,-0.00045603083,-3.2184125e-05,0.0011845839,-0.0008120979,0.00030957646,0.0030355975,-0.0023211895,-0.0005554252,0.0011830943,-0.002873795,0.0007197618,-0.0025262397,-0.01422192,-0.0005435255,0.0083522545,-0.013814931,-0.0021713027,-4.0053055e-05,0.0016283452,-0.0011762927,-0.017825026,-0.0033149365,0.0005229273,0.0009340489,0.00094579876,-5.0643237e-05
9,-0.000103655904,-0.009249109,0.0055657877,-0.0005292153,0.0064058346,0.007518873,-0.00041300553,-0.012194624,0.0010629577,-0.024623718,0.014010129,0.0021240544,0.0025073432,0.0015822821,-0.040558368,0.0017985129,-0.010227373,0.0028116948,0.007595605,-0.0027262426,-0.0053921114,-0.0009784878,0.0013408303,0.001983583,-0.00022036636,0.007183292,-0.0005462551,-0.0009062634,6.417394e-05,0.01611048,2.2792817e-06,1.5911683e-05,-0.0016741152,0.017856533,-0.003002017,-0.0040868204,-0.0081091095,-0.0012300458,-0.00028676464,-0.00017483786
