layer,neuron,value
3,6,0.029813562
3,7,0.02357348
4,18,0.022115238
5,23,0.028573828
7,32,0.02691223
8,4,0.032802448
10,0,0.029866332
10,15,0.02515528
11,11,0.026733648
11,31,0.03387578
11,38,0.043080818
12,0,0.03889039
12,37,0.023817806
14,29,0.032764114
16,11,0.027002677
16,29,0.022117293
17,1,0.03665849
17,4,0.056325212
17,8,0.031118779
18,10,0.031709407
18,19,0.024838232
19,29,0.056375932
19,38,0.05342187
20,5,0.03068235
20,26,0.032573126
20,31,0.030936591
21,18,0.022630792
21,22,0.027311172
22,7,0.026401548
22,37,0.04142694
23,9,0.036371566
23,11,0.028158445
24,7,0.024843656
24,8,0.034109615
24,27,0.025261488
24,35,0.021826934
25,6,0.031169094
25,18,0.03711739
25,22,0.029450417
26,15,0.024859576
26,16,0.028195357
27,4,0.022371827
27,18,0.07341408
31,4,0.026968412
31,14,0.026325455
32,32,0.02605967
34,20,0.029599248
35,1,0.03976703
