layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.00012621045,-0.009958553,-0.017960573,-6.739199e-05,0.023844061,-0.018590108,0.06426421,0.05604618,-0.017268447,0.08808239,0.08579484,-0.043115202,0.088938884,-0.01824234,-0.0011142158,0.05026058,-0.0028206469,0.0006610635,0.01233078,-0.00076595304,-0.055126037,-0.032396965,0.00025588035,0.07800084,-0.05003025,-0.006886425,-0.0012319065,0.08622692,-0.012810593,-0.050356597,-0.0011575461,0.0026683144,0.10664612,0.055976294,0.10388916,-0.009177208,0.0008343315,7.949829e-05,0.007939701,-0.0019191292
1,-0.00039546014,-0.0024406933,-0.0008384013,-0.0027169157,0.000502187,0.00038221478,0.0006934301,0.0008295074,-0.0006133592,0.0074045635,-0.0017150983,0.005040677,-0.0008311236,0.03611416,0.0014009097,0.0013305891,0.0003136921,-4.8487185e-05,0.003526435,0.00031629085,-0.004661599,0.0007475775,-0.0033344724,-0.0032311808,0.0013273049,0.00012649417,-0.0010947346,-0.00096190453,0.0048841927,-0.0011047733,-0.004580023,0.0001735735,-0.000110810695,0.0032480336,0.0013294541,-0.0003960207,-0.007125454,0.0005256027,-0.00031345844,0.004374695
2,0.00030706645,-0.00031179906,0.004185364,0.0047492315,-0.0014805985,-0.0043979976,-0.0027615118,-0.0022305108,-0.0028172142,-0.001611824,-2.7133972e-05,-0.00020308375,-0.016021837,0.0045155333,-0.006727581,0.008873139,-0.00085276604,0.008745993,0.0055459593,-0.0069939517,0.0028032053,-0.003974123,-0.002355696,-0.0035093785,0.00021991492,0.0005705333,0.00033828974,0.0020480538,-0.0037674236,-0.0048397826,0.013458137,0.0016703653,-0.0028230571,0.0014485765,0.0038088893,-0.0032452,-0.016353913,0.00264616,-0.017630443,0.0013556385
3,-0.0017802406,0.0037600326,-0.001947692,0.0015917677,-0.004619055,0.0055389404,0.02777247,0.023594398,0.003080966,-0.023020405,0.0015475929,-0.0021810746,-0.0045776176,0.0020042611,-0.016183395,0.0028552914,-0.011073682,0.00247169,-0.0024534797,-0.0012631894,-0.00023280621,0.0070286654,0.02263115,-0.00017395527,-0.0058721066,0.005785284,0.0007652569,-0.0012695107,-0.03848326,0.0014891702,-0.0009449387,-0.0044548986,-0.019465761,-0.0024762107,0.0052556945,0.0011091876,0.0013178921,0.011183815,-0.00069775584,-0.0022034538
4,0.0016028094,0.00048112898,-0.007996674,-0.023288917,-0.0008738458,0.14707291,0.00096349954,0.0018255615,0.003957319,-0.002444725,-0.0010319471,0.019985657,-0.0019778968,-0.012106128,0.0021709502,-0.045367662,-0.015956592,0.027743759,0.032026768,0.0074970005,-0.0011332702,-0.0018661404,0.001143539,0.003486067,0.010383396,0.0008908081,-0.025384672,-0.0019458813,0.0025446343,-0.0030881213,-0.015031833,-0.010134067,0.0021162583,-0.0044606207,-0.07831055,0.0013819694,-0.00023066133,-0.003667736,0.004004798,-0.011552725
5,0.0054272558,0.015939675,-0.014067421,-0.0024220825,0.0015037585,0.024833145,-0.0022051525,0.0117070535,-0.020858617,-0.06436447,-0.008124485,0.02545,0.00034784077,0.0030768586,0.0039310693,-0.051990736,0.004064865,-0.04748497,-0.0036506653,0.0041385554,-0.011447582,-0.012599802,-0.0120915985,0.027980328,0.001004634,0.016167412,-0.0016769218,0.0016656113,-0.004763743,-0.01106616,0.0020220184,0.020062027,0.0011140251,-0.00817874,-0.019422984,-0.0017429638,0.0040331553,-0.0030610275,-0.0037387656,-0.0030029775
6,0.009383735,-0.003741609,0.0015164136,-0.0012599945,-0.004374516,0.0023833467,0.0033047656,-0.0010244846,-0.0024338914,-0.019502,-0.015478478,-0.005982523,-0.0017530536,-0.014050722,-0.003974333,0.0014254951,-0.018336264,-0.020587863,-0.0025368119,-0.009009195,0.013674674,-0.00548681,-0.0013561249,0.011764345,-0.005266323,-0.0017281914,0.012825046,0.002653674,0.00017898202,0.0012366152,0.0019057596,0.001492939,0.005590782,0.0018315935,0.00069711683,0.0049262,0.015194664,0.012961044,0.031329423,0.00092071533
7,0.102004856,-0.0005130637,0.009763146,-0.006552687,0.0057199285,-0.002249918,0.0015136957,0.0046508242,-0.020479165,-0.003482344,0.01184042,-0.0015039826,-0.03827817,-0.0017466331,-0.008996487,-0.011385259,0.0072221756,0.012916336,-0.002154429,-0.015407142,0.08863113,-0.0048736953,0.032848712,-0.0107495785,-0.0070840456,-0.00866024,-0.0031959915,-0.016792525,-0.015013523,-0.0049743843,-0.02247794,-0.021776075,0.031863365,0.031437494,0.001463952,0.004368744,0.0020636749,0.032368965,0.005416994,-0.016334372
8,-0.0038588715,0.04111397,-0.012497406,-0.005871024,0.06431038,0.009913487,0.0088048605,-0.0031848145,0.016811896,0.00092438934,0.0020236755,0.0006753254,-0.001064198,-0.022414098,-0.0045477133,-0.007828331,0.007858772,-0.014706306,0.0018057632,0.001865859,0.0074858475,0.008502197,0.005875454,-0.015066929,0.0043333624,0.0025974845,0.017295761,-0.02133935,0.08247761,-0.004072876,0.012216806,0.0011777717,0.0016592384,0.010523376,-0.04162735,0.013369169,-0.0052170325,-0.011264229,-0.00039732456,-0.0025602449
9,0.0036342621,0.01733837,-0.027297992,0.054409295,0.0063759447,0.010497246,-0.0046694065,-0.024533654,-0.0041257287,-0.011412191,0.022297593,0.029585648,0.0024256753,0.0045758057,-0.08348892,-0.017617913,-0.008192293,0.007973766,0.237928,-0.0090688635,0.0457127,-0.00085998536,0.0124205975,0.005740547,0.00088909507,0.0025493396,-0.024475288,0.0015945339,-0.0071953963,0.008839951,-0.001018005,0.0028277682,-0.008089627,0.0413818,0.0047337725,-0.0017307663,-0.04682871,-0.0005599189,-0.0013353158,-0.0029644954
10,0.033033296,0.0061089518,-0.008733788,0.0064314557,0.016158829,0.010415299,-0.0047609424,0.0054064943,0.022689324,-0.023480909,0.0179176,-0.0020689296,0.028648771,0.06914528,-0.0098930355,0.016816253,-0.0026673125,-0.0061008646,0.063130744,0.0061600492,-0.004502754,-0.006806297,-0.021674385,-0.0005747679,0.01639206,0.03880806,-0.011322403,0.054656144,-0.005615692,-0.013194833,0.02749031,0.0045534517,-0.0068063163,0.0017396116,0.008797522,0.0052736998,0.042055435,0.0061596488,0.021913987,-0.032320894
11,-0.02311542,-0.0046417047,-0.0118853375,0.017404022,-0.077836454,-0.012286015,-0.028035965,-0.013270874,0.005009408,0.0026697158,0.1264942,0.017463548,0.00045954227,0.01902995,0.0055363844,-0.008625154,-0.015080796,0.012476006,0.042986736,0.04917734,0.034669496,0.00920397,-0.0037512016,0.05850312,0.001071403,-0.023228455,0.069501735,0.0032011128,0.027083673,0.19075866,-0.00032340526,0.023681354,0.01987258,0.013360939,-0.0176615,-0.00013349533,-0.032873116,-0.062057953,0.0028303908,0.0027872466
12,0.020998793,0.043164443,-0.018248215,-0.00032283782,-0.00030685173,-0.017218942,0.0036365557,0.006661377,0.045249175,0.013715058,0.0473678,0.02193306,-0.007315979,-0.007780075,-0.0052500917,0.009104785,0.00057491305,-0.0004332161,0.0070100403,-0.01809269,-0.0102830315,-0.04600028,-0.11116198,0.0039322283,-0.0015092182,-0.0017488771,0.015416813,0.011406555,0.0016049957,-0.0034703445,-0.022104016,-0.005388329,0.012728291,0.73289627,0.01195785,-0.09069794,0.093165286,-0.025918836,-0.02493154,-0.012605944
13,0.20111886,-0.07415573,-0.005446062,0.010530663,0.6288782,0.013464469,-0.03550209,0.07738632,0.004093857,0.14813867,-0.035857104,0.062309723,-0.058155317,0.013831482,0.017295847,0.007027435,0.03033987,0.01152853,-0.0004307461,-0.0033411025,0.0043254257,0.01953227,-0.05155853,0.022066826,-0.023143731,0.00760098,0.23070998,0.031608637,0.0046193693,0.005425224,0.23708801,0.02150636,0.056528166,-0.0039717867,-0.009825516,0.02847332,-0.02512558,0.039910965,0.010483885,-0.013781185
14,0.02565918,0.10360611,-0.012342396,0.004625473,-0.019844284,0.07427414,-0.049643822,-0.027383117,0.016180074,0.3995421,0.45087403,0.04457812,-2.3388862e-05,0.057604674,-0.12760453,0.004182386,0.008772011,0.024729567,-0.010086451,0.01327568,0.047398683,-0.007271843,0.058591116,-0.03467472,0.036411423,-0.029058132,-0.012454567,0.009087029,0.00059451105,0.015425594,0.001412648,-0.02186861,-0.004787674,-0.022626763,-0.0075524137,-0.0025856895,0.03629669,0.0268927,-0.095788114,-0.030955277
15,-0.04922579,0.14939453,-0.033967663,0.28219545,-0.012311611,0.002548523,0.024185468,-0.01765297,-0.0018975448,0.12010887,-0.01573883,-0.07895225,0.09109673,-0.049875412,-0.0023551942,0.2685785,0.09652336,0.050647773,-0.008089561,-0.0019218159,0.008639068,-0.031109266,-0.007067776,0.024245149,0.12882568,0.075405665,0.12854032,-0.008474179,0.054418955,0.014790879,0.324282,0.013334274,0.06992859,0.0013180805,-0.014035625,-0.03708802,-0.0059039686,0.020779267,0.0010436059,-0.21210073
16,0.10146839,-0.015358734,0.045757256,-0.08716808,-0.0074134064,1.011253,-0.021013994,-0.005736847,0.02135662,0.11651783,0.015479787,-0.044515077,-0.040133856,0.061515197,0.06914184,0.1602895,0.004599266,-0.03646368,0.32801083,0.10084519,0.024195157,-0.010080833,0.09002808,0.06084609,0.014709931,-0.0016298151,-0.017447377,0.0028580856,0.008084841,0.019901047,-0.44025192,-0.007969382,0.013824692,-0.0027498244,0.2815918,-0.055856515,0.1420169,0.0134947775,0.64016604,0.009558687
17,0.051636316,0.37159806,0.05347618,-0.04549103,0.009602776,0.8780237,-0.00011888027,-0.035803337,-0.002830963,0.024667053,-0.30152404,0.08215179,-0.019565545,0.018056478,0.0586018,0.0030903434,0.054828357,-0.018690797,0.21632813,0.031449318,-0.0108941365,0.28331003,0.043606225,0.011870117,0.18654114,0.009366722,-0.023816623,0.14493126,-0.023692397,-0.054678343,0.01123642,0.13783279,-0.009429703,0.0062195207,0.7880701,0.040483385,0.003237605,-0.038042374,-0.08084396,-0.021899894
18,-0.021952286,0.017057667,0.017846107,0.42309606,0.021412792,0.0049563884,0.14305726,0.09102051,0.03238252,0.023692388,0.05935397,-0.11714096,0.11764038,0.053051222,-0.029893264,1.3422924,0.010468292,-0.20109612,0.013119659,0.029646454,0.24505676,-0.015633335,0.44793823,0.051431514,0.009669648,4.547596e-05,-0.001459179,-0.0019512939,-0.10326157,0.06202774,-0.020262605,0.023001347,0.048522264,-0.24819458,0.05524826,0.01295928,-0.036769714,0.18062714,-0.014272308,-0.016464576
19,-0.03281396,0.38007814,0.047072906,0.019487992,-0.046492003,0.6474298,0.006077385,-0.19307634,0.16634123,0.057347335,-0.011923909,0.06620362,0.5094525,-0.47586548,-0.016988525,-0.27760115,0.051019363,0.7546378,0.14918618,-0.030251846,0.03171551,0.025907783,0.0038124847,-2.3870765e-05,-0.007044592,0.044225007,0.0125321485,0.034940146,0.02779724,-0.0033187484,0.523667,0.021089401,-0.07710953,-0.01366291,-0.028533706,-0.007788925,0.10603218,0.044185944,0.041925356,-0.05270878
20,0.099801175,-0.089069135,-0.012484017,0.09479336,0.01661623,0.040278014,-0.025324097,-0.09817446,-0.052811433,0.0064791488,0.226966,-0.011754895,0.020105056,0.0010050487,0.023677368,-0.0024068356,0.0061863232,0.07780197,0.8711203,0.02458931,0.020697765,-0.29433945,0.04106678,0.01915453,0.01886879,0.023507308,0.20746735,-0.028362617,0.005965891,0.00414053,0.5087085,0.23412675,-0.01601509,0.009439888,0.16813843,-0.0023959922,0.010611649,-0.014383469,0.24491684,-0.00496995
21,0.3803131,0.022947568,-0.00061098573,0.015445804,0.033794478,-0.08661774,0.0012092829,0.0011412239,0.0013202858,0.021919593,0.09191528,0.016826896,0.13953309,-0.0176058,-0.782854,0.006726971,0.0010436154,0.10002563,0.066269726,-0.24406616,-0.002154317,-0.027933683,0.011152077,0.007143593,0.011094665,-0.22790772,0.034168072,-0.0064982795,0.039331436,0.054397736,-0.0050468063,0.087673336,0.17848358,0.16208558,0.0050858306,0.036667556,0.11209259,0.0038232422,0.084158175,0.0796382
22,-0.25034425,0.11487213,0.40345642,0.016656762,0.015920486,-0.032631416,0.0039139795,0.08838596,0.002693882,-0.024041748,-0.0042816256,0.13601173,0.016664123,0.52868533,0.13144134,-0.01581983,0.015234642,0.029318467,0.014860592,0.042971343,-0.03450824,0.005505724,0.020421553,-0.0024827577,-0.015841179,0.012098694,0.46026275,-0.047544945,-0.00044335722,-0.00052303314,0.014180842,0.013929673,0.0069416524,0.2984517,0.0018890381,0.05623491,0.15677643,0.039174452,-0.018741798,0.03241874
23,0.16974488,-0.07265816,0.008528152,-0.059629556,0.021331863,-0.087749936,-0.00018749059,2.462135,0.015444985,0.1670565,-0.003421669,0.04275852,0.0014007842,0.0014309121,0.01871893,0.019612884,-0.009754963,-0.0018371248,-0.001988144,0.0041436483,3.644824e-05,0.009277096,-0.005817337,-0.0004314208,0.013160553,-0.024481162,-0.03877342,0.007665281,0.014096946,-0.0046151616,-0.021287747,0.022779064,0.010293406,0.007119198,0.17316239,-0.00010139465,-5.9189795e-05,-0.0016654968,0.003518858,0.06413115
24,0.17556389,0.011951089,-0.020121116,1.921582,-0.0028061462,0.045359354,0.0061155083,0.03484705,-0.0928141,0.019892132,0.113511965,0.028957343,-0.19943939,0.1059655,-0.00069412886,0.0111593045,-0.002096138,0.07495609,-0.0022906875,0.01611671,0.00054880144,0.004214344,0.014899988,-0.0030549623,-0.0019067669,0.011791256,0.014725609,0.03163065,0.0019951772,0.0022567045,-0.0018037439,-0.027328644,0.007222452,0.88588256,-0.013990364,0.03784336,-0.041648827,0.018454589,0.00027940332,0.033046685
25,0.0009811687,-0.0015089231,-0.0017865634,0.02171234,0.0032559966,0.10270477,0.029364014,-0.012945495,0.016367445,-0.0046120356,-0.006905671,-0.00552948,-0.0026235844,0.019100513,0.3652243,-0.13845725,-0.0044478606,0.018136196,0.0417926,-0.052539565,0.02388546,0.0008776927,0.030262984,0.07656387,-0.0062643243,0.32356545,-0.0004023242,-0.0027434493,0.3423529,-0.004650822,-0.014119749,0.0047105406,-0.0057331277,-0.02662571,0.054350737,-0.007659206,0.00702281,-0.006554761,-0.012312298,0.0017459297
26,-0.0031485367,0.0033402825,0.017354002,0.12371029,-0.018776359,-0.16031502,-0.0005693528,-0.0017286205,0.0002066338,-0.0027143336,-0.0021970319,-0.0005973792,-0.04102678,0.00013006925,0.00094604166,0.014266023,0.020468598,0.008751307,-0.000936234,0.12428658,-0.0014656723,0.031753767,0.0002751884,0.0113942055,-0.033634167,-0.011598096,-0.05002715,0.003416437,-0.0035045815,-6.541833e-05,0.00069119694,-0.0009090614,-0.003931627,0.015704326,0.0021895028,0.014646301,0.02153656,-0.09836933,-0.0003765285,0.007929344
27,-0.041283417,0.0028557777,-0.0002960515,-0.0007375908,0.019109925,0.0036640167,-0.0018146324,0.14068596,-0.05758352,-0.15655476,-0.03473345,0.0016407109,0.008152008,-0.029183198,8.173227e-05,-0.038556613,0.0048346017,0.00017124176,0.07924433,0.0013103235,-8.57234e-05,0.0047838152,0.0017096329,0.00096352695,0.0007653141,0.0030992795,0.0063389447,-0.000455215,0.013559962,0.0002938831,0.001237874,-0.0044162585,0.0024209213,0.0034380532,-0.00091747043,0.008433113,-0.005257822,0.23868209,0.0044290572,0.0018144416
28,-0.0038526964,0.0014971709,-0.00079328776,-0.00036740064,0.020724678,0.023511963,-0.08436456,-0.001308918,0.012755971,-0.00043412208,0.011788926,-0.003126123,-0.0064666914,0.04860898,0.009880858,-0.038363036,0.0035558557,0.0010357976,1.4678564,0.008570223,0.035110887,0.0062370896,0.0010050524,0.00011867643,-0.0012982559,-0.0063108443,0.0058094407,-0.0002546382,0.0018119705,4.75391e-05,0.005186424,-0.0010434156,-0.0013356793,-0.015599567,-0.0212004,0.00016542673,-0.011872599,-0.009323654,-0.0023530768,0.006427097
29,0.07572655,0.0014842462,-0.0016008663,-0.0011125106,-0.006375313,-0.0002685453,0.00657475,0.0012232136,0.011422665,-0.0030830766,0.013748178,0.011259499,-0.0023283004,0.00347332,0.00890842,-0.0032435227,0.0012513751,-0.006832937,0.0018891715,0.0010956204,-0.003733139,0.002140522,0.012986622,0.009653606,1.3303665,-0.00021429062,-0.009373914,0.019056626,-0.0002575147,0.0012754089,0.008624754,-0.0035067177,0.07606962,-0.0032084347,0.0087074805,-0.005620375,0.0015957737,-0.0423262,-0.015806157,-0.00038542747
30,0.032192156,-0.009954448,0.0012971568,0.0026567555,-0.01440113,-0.0049472046,0.005234418,-0.013428569,-0.0065363026,-0.0009799004,-0.0007732868,-0.001852913,0.0017654609,0.00080765126,0.0031056423,0.0039032411,0.041539703,-0.004016222,-0.003096676,0.0010518002,-0.0041052536,0.01202362,-0.0048152925,-0.0003942299,-0.012715132,-0.0023179483,-0.0012777662,-0.0010954088,-0.00070098875,-0.0042817877,0.00094668864,0.040589143,0.00025005342,-0.001002388,0.0019763422,-0.0030673218,-0.0005022621,0.0037742185,0.004876442,0.0012356568
31,-0.009616699,-0.005182972,0.0003429413,-0.0034781366,0.023340072,0.04514778,0.0027692032,-0.005704688,-0.0023194505,-0.0048058843,-0.00082251074,-0.0077499924,-0.005202179,0.13460732,0.017049285,0.009100971,-0.023516584,0.0005414867,0.00038304806,0.006016693,0.0018708039,-0.0009191203,0.0024507332,0.00364172,0.00011703968,0.005121498,-0.0040544607,0.0013670444,-0.0034129047,0.016528016,-0.02766386,0.0045331595,-0.000507381,0.0018365288,-0.004522438,-0.005811119,-0.0023643016,-0.0033366967,0.006516466,0.0017623401
32,-0.00066021504,0.00062324764,0.0004888582,-0.0040959264,0.00072716235,0.010478272,0.0013248539,0.09426348,0.0105093,-0.048512954,0.0018810725,-0.0027967738,0.0013016033,0.006064434,0.4499842,-0.00069362164,5.4296775e-05,0.0006139688,0.011620414,-0.010091809,-0.007639217,0.008682804,-0.012495518,-0.00032608034,0.00096374156,-0.0018152916,-0.07819435,0.067401774,-0.0046087266,0.00013884217,0.008802299,-0.004093006,0.021566391,0.0018678904,-0.0007723856,0.011684599,0.005328255,-0.007946196,-0.030521622,0.012028732
33,-0.005880928,0.003816955,-0.041260872,-0.00067639945,-0.0017726326,-0.022200394,0.008755932,-0.0022273639,-8.4877014e-05,0.008938725,-0.0011534166,0.013560596,0.006519785,0.00085175515,0.41414794,-0.0016306757,-0.020623656,-0.008792749,0.00036199094,0.0037217522,-0.020259704,0.0024040604,-0.047190934,0.002881912,0.012820251,-0.004600277,0.0014213467,-0.006623783,-0.045185316,0.00015048504,0.006707754,-0.0003276658,-0.0015579021,0.0017831838,0.00017755508,-0.002340647,-0.0011098576,0.033574678,-0.0016834163,0.008166331
34,-0.0025262272,0.0043842886,-0.00024388552,-0.0020123185,-0.00682394,-0.0044181035,1.5516282e-05,-0.0022066878,0.0014266253,0.042708777,-0.0019661284,-0.0033364105,0.011562772,0.0006037712,0.010272998,-0.03863556,0.026719894,0.0030455303,-0.0005692196,-0.0044434965,0.020909958,0.0033070445,0.008206749,8.777082e-05,-0.0012683964,-0.0019999885,-0.000108797845,0.0014203573,0.00080023764,0.017659836,-0.00803278,-0.0016859197,-0.00688406,-0.00728714,0.0059529115,-0.00088682235,-0.0003902483,0.02322483,0.0024596357,-0.0041335104
35,0.0030697251,0.043829154,0.019721506,0.0006046104,0.035417214,0.01759035,0.009535446,-0.002186551,0.000320549,0.0130784605,-0.0020240236,0.53211486,0.007475624,0.006848712,-0.0032377816,0.029228898,0.00010686934,0.0057283593,-0.0038163853,-0.0043664635,0.0013001263,-0.00020501502,-0.0007143974,-0.0014940047,-0.006049147,2.6791096e-05,-0.0019803143,0.002885437,0.010649223,0.00390646,0.0021243966,-0.0062406086,-0.010709543,0.001696887,0.00093375443,-0.0027682113,0.0017269516,0.0028093816,0.03899494,0.0043782354
36,0.0014372504,-0.0009134638,0.00035074473,0.00010480858,0.0010713213,-0.18220283,-0.018440017,0.0045829294,-0.0048537995,-0.00046860217,-0.003856864,0.0003866869,-0.011333981,0.14021854,0.0005687714,0.0010511398,0.0012181472,0.00086457253,0.00252105,0.0012482787,0.0052054212,-0.013084306,-0.0026364804,0.00012576103,-0.0001227045,0.00019788503,0.0023711086,0.0008601379,-0.00073235156,0.0018398985,0.0005221665,0.00018650651,0.023433667,-0.00095220807,0.0010897744,-0.0012510734,0.04615719,0.009214575,-0.0003865528,-0.16251165
37,0.0033240796,5.5549146e-05,0.001983719,0.0016621536,-0.007225761,0.0026200747,0.0011453963,-0.001008991,-0.005553303,0.035675623,0.0005084944,0.0016322493,0.0053414823,0.014323959,-0.0005663965,-0.0013421631,0.015065813,0.0073110964,-0.0009628391,-0.0031739878,-0.0031527614,0.003540038,0.0007154846,-0.00035128952,-0.0010285568,0.0058929827,0.006121354,0.035759736,0.005379391,-0.008144999,1.0604126,-0.02262805,0.003024938,0.0028583861,-0.0028574753,-0.00055977225,0.018957214,-0.0060291816,-0.0010329223,-0.0043356395
38,0.008610235,-0.0009968567,0.2343402,0.0023518216,0.000285798,0.001687218,0.0022270943,0.035537466,0.0011717987,0.022533856,0.006839514,0.008013496,0.019426651,0.00021945358,6.2012673e-06,0.0023222684,0.002755053,0.0010643196,0.27723816,0.0027868534,-0.014368377,0.000116631985,-0.0012289131,-0.0009109083,0.0020679664,0.023391986,-0.0014387155,0.0021993064,-0.00039371967,0.0035232925,-0.00087587954,0.0030345584,-0.10475336,0.011023827,9.667873e-06,-0.33999023,0.052194785,-0.00033551693,0.0014453221,0.01805521
39,-0.026856842,0.050148066,0.0017858124,-0.00064314844,-0.39168212,-0.0017041707,0.007313166,0.008412132,-0.0031598497,0.030936623,-0.00076708314,0.00022193193,0.0102228355,-0.026999436,-0.0019416142,-0.13357803,-0.00863564,-0.42581788,-0.0023332024,-0.011011848,0.023484431,-0.020226555,0.009285717,-0.00041447996,0.0016945314,-0.01494503,0.0073152273,0.0020240052,-0.00447917,-0.0041578305,-0.00042123318,-0.035913907,0.010456588,-0.0015893372,0.005001869,-0.0018288558,-0.0004920268,0.0022431754,-0.01372798,0.0007847071
