layer,neuron,value
9,18,0.237928
12,33,0.73289627
13,4,0.6288782
13,30,0.23708801
14,9,0.3995421
14,10,0.45087403
15,3,0.28219545
15,15,0.2685785
15,30,0.324282
16,5,1.011253
16,18,0.32801083
16,34,0.2815918
16,38,0.64016604
17,1,0.37159806
17,5,0.8780237
17,21,0.28331003
17,34,0.7880701
18,3,0.42309606
18,15,1.3422924
18,20,0.24505676
18,22,0.44793823
19,1,0.38007814
19,5,0.6474298
19,12,0.5094525
19,17,0.7546378
19,30,0.523667
20,18,0.8711203
20,30,0.5087085
20,38,0.24491684
21,0,0.3803131
22,2,0.40345642
22,13,0.52868533
22,26,0.46026275
22,33,0.2984517
23,7,2.462135
24,3,1.921582
24,33,0.88588256
25,14,0.3652243
25,25,0.32356545
25,28,0.3423529
27,37,0.23868209
28,18,1.4678564
29,24,1.3303665
32,14,0.4499842
33,14,0.41414794
35,11,0.53211486
37,30,1.0604126
38,18,0.27723816
