layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.014366303,-0.024933625,-0.061460685,0.069402106,0.014472509,0.048880283,0.044071883,0.0062250425,-0.058512002,-0.024340171,0.014605866,0.036888305,0.03636112,-0.027544394,0.016132278,0.015848761,0.052602347,0.0029865645,0.01028719,0.066246465,0.045525435,0.016281242,0.02141726,0.0037660217,0.026808443,0.055927392,0.011951656,0.017211981,0.021571541,0.062001724,0.009258538,-0.023521118,0.0061391066,0.009554806,0.03233468,0.00851593,-0.012606926,0.00471159,-0.020423431,0.012335548
1,0.0018911505,0.0017234635,0.008229065,-0.0005156589,-0.0019694995,-0.0029537964,0.008146245,0.0027013016,0.00032175065,0.0028582811,0.0044173407,0.0063127372,0.0066381074,-0.008784847,0.008839798,-0.00029582798,0.0019244265,-0.0031805038,0.0024437523,0.0068953508,0.0045828247,0.004778285,0.001355095,-0.00046679258,-0.0057928325,-0.0023765338,-0.004094992,0.00095253706,7.841587e-05,-0.0051144836,-2.7899741e-05,-0.0029228402,0.0030239963,-0.0054569817,-0.0010153151,-0.0009869576,0.003086729,0.0061185886,-0.0058796215,0.0021647085
2,0.0009975504,0.009162808,0.009624805,0.0073648095,-0.0032334768,0.0018324375,0.002115612,0.0008421183,-0.012153702,-0.0047055124,0.0016544819,0.004883709,-0.0023228335,-0.0034458637,-0.0073363306,0.0063720657,-0.013322268,0.009658193,0.002820444,0.012365665,-0.00023634911,0.003681612,0.0043729306,0.012589913,-0.007854805,-0.012246318,-0.004867363,0.008794213,-0.007963248,-0.015625153,-0.005364392,-0.0010988665,-0.00047991276,-0.0055058766,-0.010716307,-0.012493077,0.001965549,-0.006848669,-0.0022078229,0.001116001
3,0.0150884725,-0.014727316,0.0026753617,0.009192853,0.0024179267,-0.004196437,-0.009575088,-0.01207241,-0.0004781413,-0.0029229044,-0.0024724961,0.008487758,-0.0063586235,-0.0048928354,-0.000701313,-0.003482375,0.0015985108,0.008266067,0.00042721748,0.018289432,-0.008890667,0.0031808852,-0.0034474754,0.013870478,0.002787261,-0.015370097,0.0073164557,0.009166398,0.00067935465,0.0038608885,-0.006798246,-0.013998537,0.00050380826,-0.00050942897,-0.0051327418,-0.012368026,0.010422368,-0.0013587952,-0.003496313,0.00102458
4,-0.0012086487,-0.0023958301,-0.012194404,0.02676998,-0.0015824604,-0.0125485035,0.009904137,-0.010716782,-0.005636773,-0.016863994,0.0028914928,-0.01790835,0.0068668746,0.0060085966,-0.003836174,-0.013841843,-0.013982334,-0.0013879203,0.0046102335,0.026297264,-4.058838e-05,-0.01811432,-0.008314438,0.0066375113,-0.025298929,0.008743815,-0.0033083677,0.019481659,-0.023430137,0.009481678,0.018308364,-0.013382606,-0.02198908,0.028594742,0.025078392,0.0038263702,0.016460456,-0.0037500667,0.017761879,-0.0012616825
5,-0.0029277087,0.008179512,-0.011576214,0.009019595,-0.0075920676,-0.0130292345,0.0459906,-0.023899836,-0.029647637,-0.0068308734,0.006011233,-0.011074428,-0.011298447,0.0168783,0.008510399,0.01165164,0.0342786,-0.027442168,0.012808266,0.0037348557,-0.0012902451,-0.06082031,-0.0129611585,0.0042914297,-0.011533046,-0.013978329,-0.0142976,-0.0143117495,-0.0108235935,0.004360008,0.00201128,0.014455013,-0.017639618,-0.016297458,-0.008459291,-0.0036139393,0.009021082,0.0032806396,-0.0072190333,0.0108078765
6,0.0034078502,-0.0012815952,0.03205154,0.012382489,-0.012736168,-0.007312336,0.0019956005,0.0009915542,0.0056259916,-0.009430694,0.0008808231,0.0066790343,-0.001388998,0.0010228348,-0.018566301,-0.008383667,-0.009447365,0.015139236,0.019971166,0.010165293,0.012681007,0.005788784,0.00079734804,-0.0032009124,0.00036565663,0.0037179661,-0.0015247226,-0.0051988983,0.0025805854,0.010065002,-0.004926631,-0.008721199,-0.011334915,-0.0132986065,-0.014685574,-0.00997431,0.005097084,-0.0073494865,0.012086622,-0.01507761
7,0.007844429,0.018102111,0.008675308,0.031219177,0.0016787577,0.022305278,0.0048365784,-0.00092011335,0.0039789258,0.0050128745,-0.0028815079,-0.0070980596,-0.0075892447,0.0032817079,-0.012535905,0.010297425,-0.0017350006,0.04286518,0.01146761,0.009573808,0.013056809,-0.03423502,-0.008091068,-0.00026528595,0.0049395035,-0.0035806084,0.018034669,0.020644454,0.006070938,-0.0093659405,-0.002664318,0.02472309,-0.024278069,0.0004421997,0.0034967232,-0.019978676,0.014493447,-0.017777177,-0.00773118,0.015224243
8,0.019083442,0.026357537,-0.0097551355,0.011812777,0.0074007986,0.04700409,-0.039828528,-0.018531494,-0.0063874056,-0.008322106,0.008587265,-0.009882155,0.01155943,0.0047260094,0.032658044,0.0064786337,0.04922857,-0.016916122,-0.021500092,0.027626533,-0.009526558,0.027272778,0.009568367,0.0010745144,-0.016907597,0.015078993,0.0026148225,0.004318504,0.0029988862,0.010706634,0.011440201,-0.00952404,-0.015131474,-0.026119499,0.00015117646,0.0048464583,0.005182552,-0.0041950606,0.007834053,0.0036599494
9,0.015732085,0.0031296348,-0.007564926,0.052107316,0.03864625,0.020197067,0.011556454,-0.034674186,0.013775303,-0.012563705,0.004305744,-0.00799324,-0.0013339233,0.0037427521,0.0024952316,0.013426094,-0.0021928216,-0.0012808228,0.0050128843,-0.029092826,0.025651969,-0.030647088,-0.0023918343,0.028977318,0.029172478,0.02168373,-0.004367733,0.031111268,0.014983139,0.014718953,0.04426159,-0.028875818,0.02135068,0.0020678712,-0.001904006,-0.008405936,-0.0039792727,-0.013987046,0.0035013198,0.008219452
10,-0.002175312,-0.006415539,-0.025894755,0.032329332,0.022510681,0.025556793,-0.010158921,0.0015363311,0.014635162,-0.011257954,-0.0011643982,0.029774465,-0.024414787,0.053187028,0.018701324,0.01085227,0.0032923603,0.038705524,-5.4917335e-05,0.0028068924,0.012368279,0.009812871,0.034821205,0.013924165,0.021526013,0.009071541,-0.017142795,-0.026327096,-0.017261123,0.011566648,0.026003761,-0.0007602644,0.015717316,0.023479156,0.028178845,0.04217102,0.01671641,0.0012203169,0.004822321,-0.0121578695
11,-0.003181534,-0.0035453485,-0.0059031295,0.043640364,-0.0048317146,-0.011322251,0.009598246,0.017610721,0.008823013,0.053757425,0.049185485,0.057900086,-0.014488564,0.005016174,0.023432465,-0.0023257446,0.010697708,0.047502592,0.028299714,-0.0029190301,0.023774548,0.019808311,2.1972657e-05,0.0048291017,0.01822029,-0.0008468628,0.031374797,-0.017664833,-0.008774566,0.029515533,-0.021327037,-0.010068235,-0.01669497,-0.002123642,-0.0050556944,-0.0023038292,0.018193455,0.041585416,-0.010630112,0.02175232
12,0.028017197,-0.0010930109,0.025334816,0.056343842,-0.0018776703,-0.002623062,0.01067482,0.021409988,0.030280342,-0.016125651,-0.026818639,0.0472876,-0.004101944,0.009776535,0.01106926,-0.002230339,0.055801544,0.04235325,-0.034645222,0.05159874,0.029266968,-0.006650238,0.016346512,0.0630969,-0.009113726,0.030266423,0.07058991,0.016637497,-0.018132925,0.008113132,0.023384247,0.01193922,0.020149708,0.014335079,0.0015333557,-0.0004553032,0.04578064,0.039096452,0.032323416,-0.01631896
13,0.014305954,0.06484062,0.079617396,0.062222958,0.030707855,0.015376844,-0.0015081024,0.09333569,0.06428483,0.08389965,0.025652314,0.056316614,0.0052000047,0.0529393,0.030106887,0.025658073,0.063059844,0.010464897,0.04817234,0.05946865,0.046253033,0.04313675,0.027692337,0.009338761,0.04527298,0.039720993,-0.00041362763,0.04014904,0.0434342,0.027385445,0.053220343,0.019216366,0.013500672,0.021436233,0.0742021,0.071131095,0.03347429,0.026770882,0.062889785,0.024754334
14,0.033218764,0.008363076,0.05053829,0.041941833,-0.025028305,0.025566043,0.051883735,-0.008510628,0.07032959,0.041758526,0.04493393,0.037675742,0.0051249694,0.0333638,0.043354187,0.0189744,0.013980007,0.013616676,-0.00089611055,0.01593296,-0.00063072203,0.036463775,0.05679943,0.032533493,0.045837536,-0.045721818,0.048720922,0.027357178,0.023686904,-0.0039064027,-0.024163304,0.033611756,0.01896349,0.032776948,0.066662595,0.051621705,0.072205655,0.015618763,-0.02351822,-0.03664551
15,0.03376873,0.04078491,0.027217751,0.034108963,0.053955805,0.056286316,0.03753596,0.09204987,0.05134922,0.01812581,0.083918914,-0.013325615,-0.012457886,0.03646721,0.05626453,0.0056481934,0.026711406,0.03596342,0.056518096,0.041362457,0.016828537,0.033047102,0.01256813,0.025346031,0.02176033,0.046217345,0.037325744,0.07081375,0.02329875,0.01151207,0.03375847,0.017757444,0.007558098,0.056403197,0.054721106,0.019553604,0.0052104187,0.061376095,0.023650207,0.021661988
16,0.06898138,0.103557736,0.057356738,0.025880432,0.061471365,0.104934596,0.029416962,0.09642927,0.12634483,0.066201895,0.08558052,0.038758088,0.06844051,0.1009108,0.03947563,0.02281288,-0.0013491821,0.06988556,0.08630585,0.017118378,0.09582001,0.12671486,0.037016924,0.08640579,0.11121887,0.009258194,0.07568176,0.069929086,0.027984237,0.07989349,0.06026726,0.053969726,0.0814862,0.12131819,0.09354363,0.03594719,-0.011619296,0.07892303,0.03117074,0.031289063
17,0.008371077,0.119916,0.028640289,0.09694443,0.10336872,0.010883484,-0.015005932,0.07331863,0.11585953,0.09254524,0.058450013,0.032283477,0.053566944,0.13500732,0.120245054,0.07937111,0.06251541,0.06824799,0.047554474,0.02480071,0.055368043,0.0823703,0.05215698,0.11844711,0.062922575,0.04807701,0.024557648,0.06922546,0.077632524,0.063247375,0.13892516,0.10526123,0.14513808,0.04902275,0.09123176,0.014335632,0.05709854,0.14937763,0.048736878,0.06354919
18,0.042307664,0.11174499,0.04197235,0.16366544,0.10559767,0.014073181,0.06449479,0.14190994,0.06084183,0.09564331,0.08941473,0.059616853,0.017123632,0.04172821,0.04225975,0.048206788,0.051451415,0.127491,0.060194187,0.09971516,-0.023482056,0.0288311,0.059400577,0.082205966,0.09929416,0.04004484,0.05219656,0.05147789,0.11552872,0.04650879,0.07026406,0.0629662,0.047923356,0.10918896,0.0657481,0.077710494,0.10536781,0.049605865,0.065473445,0.020800477
