layer,neuron,value
0,3,0.069402106
12,26,0.07058991
13,2,0.079617396
13,7,0.09333569
13,9,0.08389965
13,34,0.0742021
13,35,0.071131095
14,8,0.07032959
14,36,0.072205655
15,7,0.09204987
15,10,0.083918914
15,27,0.07081375
16,0,0.06898138
16,1,0.103557736
16,5,0.104934596
16,7,0.09642927
16,8,0.12634483
16,10,0.08558052
16,12,0.06844051
16,13,0.1009108
16,17,0.06988556
16,18,0.08630585
16,20,0.09582001
16,21,0.12671486
16,23,0.08640579
16,24,0.11121887
16,26,0.07568176
16,27,0.069929086
16,29,0.07989349
16,32,0.0814862
16,33,0.12131819
16,34,0.09354363
16,37,0.07892303
17,1,0.119916
17,3,0.09694443
17,4,0.10336872
17,7,0.07331863
17,8,0.11585953
17,9,0.09254524
17,13,0.13500732
17,14,0.120245054
17,15,0.07937111
17,17,0.06824799
17,21,0.0823703
17,23,0.11844711
17,27,0.06922546
17,28,0.077632524
17,30,0.13892516
17,31,0.10526123
17,32,0.14513808
17,34,0.09123176
17,37,0.14937763
18,1,0.11174499
18,3,0.16366544
18,4,0.10559767
18,7,0.14190994
18,9,0.09564331
18,10,0.08941473
18,17,0.127491
18,19,0.09971516
18,23,0.082205966
18,24,0.09929416
18,28,0.11552872
18,30,0.07026406
18,33,0.10918896
18,35,0.077710494
18,36,0.10536781
19,2,0.102095716
19,4,0.073018186
19,7,0.10740799
19,9,0.07394333
19,13,0.10091301
19,16,0.0979742
19,19,0.12280404
19,20,0.10702911
19,21,0.07725052
19,22,0.071100235
19,28,0.12222229
19,30,0.09592743
19,33,0.09334122
19,37,0.085474856
19,39,0.099871084
20,2,0.08556953
20,5,0.11349502
20,7,0.075286865
20,11,0.15923977
20,16,0.095662616
20,17,0.08710892
20,19,0.09604492
20,24,0.07006935
20,27,0.12638038
20,36,0.06840751
22,4,0.07002655
22,11,0.09524689
22,14,0.09268829
22,18,0.083755665
22,19,0.068907775
22,21,0.07831034
22,27,0.08610146
22,33,0.07635054
23,0,0.08851242
23,1,0.085291
23,2,0.0833036
23,3,0.07639244
23,4,0.074838564
23,6,0.073640555
23,10,0.071340725
23,11,0.08712342
23,13,0.07164459
23,14,0.07166999
23,15,0.06737369
23,17,0.09048126
23,18,0.08365845
23,20,0.06775741
23,22,0.07127602
23,23,0.08666896
23,26,0.075912625
23,27,0.09017811
23,28,0.0705077
23,29,0.09928909
23,30,0.10429039
23,32,0.07281907
23,33,0.08804215
23,35,0.08888754
23,36,0.08273499
23,37,0.09770813
23,38,0.07484872
24,0,0.094237976
24,2,0.081539005
24,3,0.083655395
24,4,0.093742676
24,5,0.09154114
24,7,0.07742434
24,8,0.06966217
24,11,0.09321289
24,12,0.07929245
24,13,0.07157803
24,14,0.0686433
24,15,0.094599
24,16,0.09289259
24,17,0.086770326
24,18,0.10083404
24,19,0.08012878
24,21,0.07373241
24,22,0.08978302
24,23,0.08273285
24,24,0.07995329
24,25,0.096909106
24,26,0.08997022
24,27,0.079124756
24,28,0.0718827
24,29,0.090656206
24,30,0.0985141
24,31,0.08425385
24,32,0.08506256
24,33,0.10046051
24,34,0.078595124
24,35,0.07350067
24,36,0.08390785
24,37,0.07054335
