layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-0.062392578,-0.019364167,0.07551697,0.0947998,0.17602539,-0.07542114,0.07481201,-0.1906781,0.014415283,-0.17223006,-0.038354494,0.5360303,0.08866211,-0.021164054,0.058727074,0.019421997
1,-0.031574763,-0.012036438,-0.10767578,-0.0476947,0.060985718,-0.01493042,0.07469429,0.23661987,-0.0010837989,0.11498047,-0.66448855,0.014159241,-0.027649842,-0.18693909,0.07377228,-0.048687745
2,-1.0889648,2.6951433e-05,5.114487e-13,0.0,9.3714335e-11,0.26459044,0.506875,-0.27921692,-0.49815917,-0.24805541,2.5911127e-08,-5.3046097e-07,0.0,-3.3196295e-07,-0.030703735,0.0010058593
3,-3.2182874e-07,2.5409552e-08,-0.3823877,0.0894278,0.1261731,0.0032910155,0.1378479,-0.17627929,-0.010624695,0.104984134,-0.04187134,0.047670744,-0.18026978,0.24533814,0.07698242,-0.27226076
4,5.4142436e-08,-0.15641709,-0.08769043,-0.016048279,0.4168628,0.037820436,-0.17864624,-0.099816285,0.13743164,0.009025879,0.0,0.0,0.28959626,0.05402069,3.3287507e-12,-1.0877011e-08
5,-0.20353027,-0.10803223,0.36344177,0.22066101,0.04956482,-2.4328983e-11,0.46056396,0.22936158,0.10322563,0.011857605,0.1673262,0.00817688,-0.046978988,-0.14563721,-0.048779298,1.2401969e-06
6,-0.2455249,0.10829834,0.17962632,0.042403564,0.11735718,1.9953586e-07,-4.8734876e-07,-0.45698,0.0010296631,0.03363037,-0.020621642,-0.015197754,-0.41557372,-0.17793702,-0.089274906,0.53292483
7,-0.06222412,0.07174316,1.3242243e-11,-3.1742275e-10,0.26607665,1.371842,-2.738837,1.168711,-0.064151615,-0.23583984,-0.7480664,0.4342822,0.8432324,0.27969238,0.07609375,-0.2396753
8,0.09389892,-0.010410614,-0.51730466,-0.023694228,-0.43393555,-0.45135498,-1.4189746,0.20900574,-0.7716455,-0.08028549,0.12274414,-0.10984131,0.5605859,-0.1854834,-0.2770801,-0.8062427
9,0.52640134,-0.17679809,-0.19091797,0.279644,0.2611084,-0.4017688,-0.11233765,1.0577862,0.16681397,-0.3726172,-0.38734132,-0.2403711,-0.083359376,0.45911133,-0.8259241,-0.3766797
10,-0.041886903,-0.027410889,-0.05047989,1.4288574,0.4293164,0.14772645,0.89574736,0.34899658,-0.43275818,-0.19252442,0.23992676,-0.07974365,-0.08650879,0.22092408,0.28247496,-0.23777832
11,0.09786804,0.010111694,-0.11683655,-0.15571655,-0.49728942,0.1608429,0.6586328,0.3261499,0.13379882,0.33720702,-1.2929736,2.345547,0.0927124,-0.00434021,0.0031077575,-0.11949707
12,-0.4902002,-0.071075134,9.122734,-0.18145996,-1.6054101,3.5600977,0.2690039,0.6249829,1.2259839,-1.1788868,-1.220777,0.33762208,0.21014358,0.4700647,0.005864258,0.95628905
13,-0.27570313,-0.023518067,1.0202862,0.12642944,-0.34991577,1.6602832,4.0206347,-0.6714551,0.38685548,-0.3106372,0.44035462,-0.76225585,1.375625,-0.21712159,2.9516435,-2.0704687
14,-0.78271484,0.83444333,1.0617822,-0.41458252,-0.35598907,0.27079102,-3.8819337,-0.20905517,0.8196582,0.13598938,0.65712893,-1.2983594,0.38694337,0.7194531,0.5956592,0.215531
15,2.8924024,-0.149776,0.16599609,0.201922,0.8024463,-1.5047363,-1.9705176,-0.19191407,0.8943945,-1.15,-1.7135986,-0.1558252,-0.24191895,-0.44990236,0.77755374,-0.47152588
16,0.34925783,-0.9550391,0.2017456,0.188562,-0.25174317,1.3635156,-1.3884442,1.1901124,0.16699341,0.3738867,2.9288282,0.53988284,4.5934377,-1.6210108,-2.2221875,-1.321112
17,-3.440459,1.2016602,0.833584,-0.7175781,1.0129346,-0.41089845,0.51839846,1.0427954,2.0451367,1.8504785,0.7181781,-1.1741797,6.5872607,1.41875,1.1704688,0.42993468
18,6.9694533,1.6740674,5.6776075,0.80799806,6.6711717,3.239043,0.4205664,-0.015644532,0.5749853,-2.78875,-1.129411,0.48422852,2.8787696,-9.614062,-1.6398047,2.9113038
19,4.524082,-9.094482,-2.8316407,-0.4306543,1.4154493,-0.4375,5.271597,4.6884375,2.3566015,1.4415234,-1.2598779,-0.1719043,-0.031069336,-0.34384215,-4.685393,2.9103866
20,14.719063,-2.6126368,-1.7184131,-3.3421729,25.167187,-11.909687,0.44335938,2.3437133,2.491367,0.44680175,5.4014063,-5.7581835,-0.72972655,2.0577319,-2.3708692,1.7255615
21,5.9068394,-3.8071582,9.090196,17.579218,0.7595166,3.2922778,-14.698594,-12.689101,5.6716404,-10.026719,2.3689845,-6.957461,0.15316406,3.303203,10.126806,1.1349804
22,-3.1768165,-0.087705076,-2.5317872,3.4541454,0.9750513,10.870313,-1.4888574,-0.0016845703,0.7581714,1.129043,-0.38228515,2.810381,3.6735547,0.8821692,-29.895823,17.724688
23,-0.42799318,-3.0880017,-3.9779248,1.4517188,1.2337402,-0.44973695,22.959375,-1.6001123,3.691465,12.199688,1.9843116,-1.3677051,0.039326172,0.34833986,4.967383,0.7229767
24,2.1649218,-17.731094,3.258633,1.3400024,-14.79125,11.2764845,-2.2790575,-4.1735644,-9.299778,11.531953,-4.507534,4.4495215,18.4125,2.8814843,2.6566405,0.4222754
25,-4.4382615,2.849624,-0.3263965,2.4545898,-2.8296192,-0.6339673,-52.791092,35.156876,2.2583594,2.387461,0.28527343,3.690664,0.68737674,3.8183985,0.3703125,-4.5546875
26,1.1093946,0.69086915,0.5648975,-0.09192078,-6.1086183,5.8261523,2.1096094,0.28703126,12.704375,0.825083,-0.5445703,0.9988965,1.262461,-0.93546873,-0.3253711,-0.10095703
27,2.7405958,-2.8481348,-2.1282716,7.42508,0.08716797,-0.17013672,-0.6798584,0.66479003,-1.8256738,5.7031345,0.40157714,1.7807715,-1.0521045,0.36341798,0.50911134,0.42807618
