layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-0.06359619,-0.047451172,0.18062988,-0.27703246,-0.18276367,0.065402836,-0.35717285,0.002481613,-0.062054597,-0.082497254,-0.79145265,0.51462156,-0.11752686,0.15550873,0.0019796372,-0.04838356
1,-0.07955887,0.0039848615,0.010721893,0.033221435,-0.013384399,-0.032013092,-0.06632202,0.001741333,-6.545484e-05,-0.01935936,-0.30456543,-0.027879944,-0.00061592105,-0.0014809036,-0.022438126,0.0034535313
2,0.1769519,2.6464613e-06,0.0,0.0,0.0,-1.0240821,-0.029606324,-0.024539948,-0.08311279,0.21297927,-2.2407676e-11,-5.282782e-08,0.0,6.3371846e-07,0.006324072,-0.111434326
3,-2.0265855e-08,-9.631765e-10,-0.018290633,0.04381348,-0.052384797,-0.010987091,0.005897217,0.016585693,-0.068055265,-0.003017311,0.0055501554,0.0063742064,-0.048939973,-0.09978028,-0.023665695,-0.32290038
4,7.572118e-08,-0.17143081,-0.02462387,-0.05915039,-0.10916748,-0.03203125,-0.010522156,-0.012601929,0.06293335,0.13931152,0.0,0.0,-0.027125245,-0.029118652,0.0,-6.2627236e-13
5,0.08448349,-0.024343872,0.16221741,-0.015107422,0.004418144,-8.6384433e-10,-0.027319336,-0.093974724,0.034552,-0.0053497315,-0.0038171387,0.0049468996,-0.0165596,-0.0011158544,0.15940216,3.466761e-08
6,-0.06886295,0.0123709105,0.071178585,0.109480746,0.023601074,-1.4439458e-07,7.454725e-07,0.044562377,-0.00033534766,-0.030980874,0.0019873048,-0.000341568,-1.135177,-0.21890137,-0.035943605,0.028564187
7,0.012402344,0.2339978,-1.6760282e-12,3.446928e-11,-0.037788544,0.044990845,-0.16101074,0.007763977,-0.012366333,-0.018572235,0.11820617,-0.4881787,-0.028002929,-0.020891571,0.012143555,0.027653199
8,-0.028460389,-0.010627213,-0.0048132325,-0.08908295,-0.03961136,0.20815353,-0.07677856,-0.030458985,-0.25584716,-0.03807495,0.022867126,-0.17457275,-0.16612335,-0.04002014,0.07157063,-0.6902686
9,0.007802124,-0.005519714,-0.011071777,0.15254028,0.16873536,0.069544524,-0.006114044,0.09909302,-0.19637008,0.08198974,0.03430359,-0.031381834,0.15009765,-0.038247377,0.046817627,0.1491475
10,-0.09336426,0.020094909,0.043088987,-0.34932494,0.2575351,0.19523712,0.12348511,-0.03607666,0.26710936,-0.034608155,-0.11872497,-0.028217774,-0.21722412,0.03145386,0.087699585,0.05577011
11,0.29473388,-0.047178954,-0.08687797,-0.5594397,-0.82102907,0.5348755,0.058614504,-0.18239745,-0.45046386,-0.33011964,-0.26284972,0.004388428,0.018401489,0.0054004667,-0.03338997,0.011550598
12,-0.08204666,0.037531737,-0.04539673,0.20468993,0.13262573,0.043742675,-0.19261079,-0.06304199,-0.0064019775,-0.00784668,-0.100505374,-3.4179688e-05,-0.15194702,-0.086418,0.057335816,0.11195007
13,-0.055791322,-0.01479126,0.08226319,0.07817871,0.032683104,0.19030762,-0.31092042,-0.09604492,0.13906388,0.08552918,0.078686215,0.2195337,0.23100586,0.056442793,0.10513672,-0.030134277
14,0.21326172,0.42887697,0.1062207,-0.13216552,0.22482178,-0.0064215087,0.3651883,-0.0026708983,0.13624145,-0.090429686,0.17336425,-0.0040219114,-0.0032043457,0.18239014,0.20076111,0.105
15,-0.43183532,0.11822022,0.0038085938,0.1827002,-0.2292389,-0.114047855,-0.17612731,0.100827634,0.19506714,0.2288916,0.33813477,0.055390626,-0.26027527,-0.020248413,-0.09554687,-0.22036132
16,-0.36691895,-0.17824219,-0.15123779,-0.06866585,0.07863281,-0.4051124,0.25143555,0.31528014,-0.01784546,-0.23921815,0.30892885,0.5872974,0.33284515,0.44827852,-0.07544922,-0.3209918
17,1.2865381,-0.79929197,-0.165708,-0.10392578,-0.06357178,0.34082642,0.21152161,0.49614745,0.010908203,-0.27265626,0.67365235,0.17542115,-0.28102052,-0.41369873,0.120036624,0.23037109
18,-0.065480955,0.09327392,-0.21398437,0.21543945,0.08592651,0.07252319,0.3125,2.275332,-0.20780456,-0.9648731,0.08658081,0.09940674,0.28078368,-2.539199,0.27835694,0.2783481
19,-0.6518164,0.023222657,2.0989552,-0.4291211,-0.7775,-0.31567872,-0.43503663,-0.45613524,0.70272464,-0.0682251,0.09674439,-0.7387524,0.34913817,0.36048585,0.07800781,-0.5073926
20,-1.0502466,-0.16210938,0.6659375,0.36856568,0.349541,0.17525147,-0.21056153,-0.3293701,0.026445312,-1.1246606,0.15532105,0.3250879,0.18550538,0.3256604,-0.45922852,1.47625
21,-0.32136595,0.00049804687,0.07286499,-0.015563965,-0.490708,0.35440552,-0.23385742,0.27781737,-0.12436401,0.2721631,-0.2086255,-0.49538085,0.10290772,0.14460449,0.17280762,1.6715137
22,0.33946532,-0.53947264,0.5248096,-0.5424228,0.4768213,0.7361157,-0.60948366,0.0021166992,0.10779541,-0.11069336,0.25577393,0.1255957,0.07791748,0.13473144,-0.123168945,0.15250976
23,-1.2358704,1.043916,-1.1715064,0.15625,-0.33179444,0.009262085,0.29398438,0.22880615,0.45348632,0.13097169,0.59565306,-0.33310363,-1.0471863,0.3422705,-0.14714111,-0.026869202
24,0.7830371,-1.6039648,-0.4548639,-0.042498168,1.4682324,-0.18201295,-0.14161621,0.5517188,0.47367188,0.36547118,-0.10012451,0.3746356,-1.2453222,0.7112549,0.046336517,2.18583
25,-0.421875,-1.1387842,0.103726804,-0.17930664,-1.1235547,2.011543,1.1671972,0.028120117,-0.47254395,-0.28030425,-0.45994627,0.30920288,0.66885257,0.024472656,0.96298826,-0.6663306
26,0.020639343,-0.31816787,-0.93149537,0.8825977,0.23688903,-1.27375,0.10895142,-0.5432526,1.205039,-1.1970704,2.1781445,0.2817871,-0.23558106,0.31199706,-0.44343263,-0.31927735
27,0.39992675,0.5324829,0.057354126,0.17928162,-0.06806397,-0.06953247,-0.9211377,-0.16920166,-4.506328,2.3755517,0.37735963,-0.23616089,0.7145862,-0.49902588,-0.0959961,1.0047265
28,-0.24316712,-0.13644776,-0.72193235,0.7695117,0.36792114,-0.16411133,-0.83993167,1.7142872,0.8198401,0.27319947,0.6323828,-0.08907593,0.31123534,-0.09751953,-0.16820313,0.71902466
29,0.410083,-0.6305322,-0.73029053,0.9401386,1.0664428,0.63437957,-0.2359375,-0.509906,-0.391073,0.97547853,1.89729,-0.04119263,2.2806835,0.4424707,-0.6979419,0.6402832
30,0.07471649,-0.0023225783,0.11519409,-0.48090973,0.12052887,0.39206055,-0.08290222,-0.04981079,0.37734374,-0.013459854,-0.11196533,0.1580664,-0.11042969,0.7042822,-0.088616945,-0.22191224
31,-0.3888971,1.1872925,-0.27472594,0.080983356,-0.35928345,-1.1263574,-0.044268187,-0.06797958,0.99939454,0.32061034,0.028954772,-0.04302429,-0.054102782,-0.047426756,0.24152587,0.4335718
32,0.5230078,-0.13006103,-0.011065865,0.46541503,-0.010088043,0.022625428,-1.559082,0.39557862,-0.05094116,-0.13516358,-0.10131561,0.32966554,-1.0424609,-0.017142639,0.100686036,0.011620178
33,-0.34433717,-0.050411377,0.2729297,0.2837439,1.9601,-0.55970705,-0.78649414,0.14570801,0.037493896,-0.072295226,0.020466309,0.070733644,0.1651123,0.18303925,-0.013779297,-0.06609131
34,-0.010977783,0.18229797,0.14593445,0.089612424,-0.0077142334,-0.0013095855,0.35628295,-0.28868103,-0.000984993,-0.00545887,-0.10479271,0.036445312,-0.5936792,0.25820312,0.017576065,-0.04872772
35,0.060147095,0.020250244,-0.13237427,0.6449268,0.045819093,1.400498,-0.06181824,-0.32310426,-0.9210205,0.26462892,0.2647412,-0.0407605,-0.9666309,0.09770996,0.15893222,0.12184082
36,0.10152466,-0.556543,0.25850403,-0.08126358,-0.10151604,-0.17763977,-0.9556689,-0.2550537,-0.22162262,-0.67205566,0.004043884,0.012094727,-0.0045947265,-0.05912491,0.08387238,0.2500586
37,-0.0044236626,0.0005082321,0.034404375,-0.0062805177,-0.027177123,0.09064484,-0.0022989274,0.0017482233,-0.02343628,0.0005347824,-0.22914796,0.067564696,-0.002766409,-0.0012389374,0.24306977,0.044178467
38,-0.27584898,-0.30244142,-0.030552521,0.02230526,0.2628418,1.0248437,0.028764343,-0.15100586,-0.2362378,-0.32704255,-0.0634613,0.007875976,-0.41332245,0.03279541,-0.30456054,-0.026276246
39,-0.21851319,-0.035407715,0.19139251,-0.1851117,-0.039184265,-0.0035308837,-0.062592775,-0.042677,0.031364746,0.038544923,-0.38052613,0.3140625,-0.16560699,0.046382293,0.09779122,-0.0742041
40,-0.014961548,-0.014769287,0.017513199,0.01620369,-0.27009764,-0.2591388,-0.0007104826,-0.012624664,-0.00071594235,-0.091983795,-0.066910245,-0.15999024,-0.036036987,-0.071953125,0.004632845,-0.0034584808
41,0.1500943,-0.7509912,0.18770081,-0.012345734,-0.08887818,0.044743653,-0.20516998,0.0009182358,0.074390866,-0.23173828,-0.231203,0.15164062,-0.24313477,0.73358643,0.052852783,-0.29825807
42,-0.42865416,0.016860351,-0.20643066,-0.046982422,-0.14970642,0.1364325,0.26365447,-0.0006031799,-0.13125244,-0.077739865,0.13681488,0.009659958,-0.3934131,-0.6697998,-0.0042144777,0.0664119
43,-0.2201326,0.2029786,-0.1672168,0.13740478,0.08517191,0.23023804,-0.08043656,-0.08013977,0.87258303,0.28366393,-0.12431641,-0.13748215,0.14374878,0.0039738463,0.0028398896,-0.40030885
44,-0.33218017,0.10333191,-0.34453613,-0.08995697,0.1665039,0.15630859,0.14620483,-0.0048254393,0.07939072,0.09457031,0.1340625,-0.09124329,-0.35518554,-0.14895019,-0.07660828,0.27142578
45,-0.23147553,-0.03500946,0.38361573,-0.27208862,-0.05143133,-0.15558213,-0.02528492,-0.056338806,-0.011094055,-0.018071288,0.09982544,0.0878894,0.03127243,0.37639037,-0.011350708,0.18023193
46,-0.63602966,0.9473828,0.03149067,0.037494507,-0.12688889,0.040947266,-0.002380371,0.20827271,-0.2553917,0.09509277,-0.25627685,0.106268,-0.5302979,-0.6288159,-0.10276123,-0.004251976
47,-0.051273804,-0.03705032,-0.10997436,-0.18239014,-0.1853009,-0.43168944,-0.116304934,1.3054688,-0.221139,-0.40850404,0.18071899,-0.1387622,-0.18009643,0.40067506,-0.21054031,0.4123877
