layer,neuron,value
0,0,-0.06359619
0,1,-0.047451172
0,2,0.18062988
0,3,-0.27703246
0,4,-0.18276367
0,5,0.065402836
0,6,-0.35717285
0,7,0.002481613
0,8,-0.062054597
0,9,-0.082497254
0,10,-0.79145265
0,11,0.51462156
0,12,-0.11752686
0,13,0.15550873
0,14,0.0019796372
0,15,-0.04838356
1,0,-0.07955887
1,1,0.0039848615
1,2,0.010721893
1,3,0.033221435
1,4,-0.013384399
1,5,-0.032013092
1,6,-0.06632202
1,7,0.001741333
1,8,-6.545484e-05
1,9,-0.01935936
1,10,-0.30456543
1,11,-0.027879944
1,12,-0.00061592105
1,13,-0.0014809036
1,14,-0.022438126
1,15,0.0034535313
2,0,0.1769519
2,1,2.6464613e-06
2,2,0.0
2,3,0.0
2,4,0.0
2,5,-1.0240821
2,6,-0.029606324
2,7,-0.024539948
2,8,-0.08311279
2,9,0.21297927
2,10,-2.2407676e-11
2,11,-5.282782e-08
2,12,0.0
2,13,6.3371846e-07
2,14,0.006324072
2,15,-0.111434326
3,0,-2.0265855e-08
3,1,-9.631765e-10
3,2,-0.018290633
3,3,0.04381348
3,4,-0.052384797
3,5,-0.010987091
3,6,0.005897217
3,7,0.016585693
3,8,-0.068055265
3,9,-0.003017311
3,10,0.0055501554
3,11,0.0063742064
3,12,-0.048939973
3,13,-0.09978028
3,14,-0.023665695
3,15,-0.32290038
4,0,7.572118e-08
4,1,-0.17143081
4,2,-0.02462387
4,3,-0.05915039
4,4,-0.10916748
4,5,-0.03203125
4,6,-0.010522156
4,7,-0.012601929
4,8,0.06293335
4,9,0.13931152
4,10,0.0
4,11,0.0
4,12,-0.027125245
4,13,-0.029118652
4,14,0.0
4,15,-6.2627236e-13
5,0,0.08448349
5,1,-0.024343872
5,2,0.16221741
5,3,-0.015107422
5,4,0.004418144
5,5,-8.6384433e-10
5,6,-0.027319336
5,7,-0.093974724
5,8,0.034552
5,9,-0.0053497315
5,10,-0.0038171387
5,11,0.0049468996
5,12,-0.0165596
5,13,-0.0011158544
5,14,0.15940216
5,15,3.466761e-08
6,0,-0.06886295
6,1,0.0123709105
6,2,0.071178585
6,3,0.109480746
6,4,0.023601074
6,5,-1.4439458e-07
6,6,7.454725e-07
6,7,0.044562377
6,8,-0.00033534766
6,9,-0.030980874
6,10,0.0019873048
6,11,-0.000341568
6,12,-1.135177
6,13,-0.21890137
6,14,-0.035943605
6,15,0.028564187
7,0,0.012402344
