model,localization,topk,o_proj_in,o_proj_out,difference
Qwen1.5-14B-Chat,verse-long,0.01,0.92,0.04,0.88
Qwen1.5-14B-Chat,verse-long,0.03,0.96,0.62,0.33999999999999997
Qwen1.5-14B-Chat,verse-long,0.05,0.9,0.2,0.7
Qwen1.5-14B-Chat,verse-long,0.07,0.12,0.04,0.07999999999999999
Qwen1.5-14B-Chat,verse-long,0.09,0.12,0.12,0.0
Qwen1.5-14B-Chat,verse-long,0.1,0.08,0.86,-0.78
Qwen1.5-14B-Chat,verse-long,0.5,0.04,0.0,0.04
Qwen1.5-14B-Chat,verse-long,1.0,0.0,0.0,0.0
Qwen1.5-14B-Chat,verse-single,0.01,0.06,0.06,0.0
Qwen1.5-14B-Chat,verse-single,0.03,0.12,0.08,0.039999999999999994
Qwen1.5-14B-Chat,verse-single,0.05,0.06,0.12,-0.06
Qwen1.5-14B-Chat,verse-single,0.07,0.06,0.06,0.0
Qwen1.5-14B-Chat,verse-single,0.09,0.04,0.04,0.0
Qwen1.5-14B-Chat,verse-single,0.1,0.08,0.06,0.020000000000000004
Qwen1.5-14B-Chat,verse-single,0.5,0.0,0.0,0.0
Qwen1.5-14B-Chat,verse-single,1.0,0.0,0.0,0.0
gemma-3-12b-it,verse-long,0.01,0.86,0.12,0.74
gemma-3-12b-it,verse-long,0.03,0.86,0.28,0.58
gemma-3-12b-it,verse-long,0.05,0.82,0.72,0.09999999999999998
gemma-3-12b-it,verse-long,0.07,0.86,0.76,0.09999999999999998
gemma-3-12b-it,verse-long,0.09,0.64,0.74,-0.09999999999999998
gemma-3-12b-it,verse-long,0.1,0.68,0.66,0.020000000000000018
gemma-3-12b-it,verse-long,0.5,0.9,0.88,0.020000000000000018
gemma-3-12b-it,verse-long,1.0,0.36,0.8,-0.44000000000000006
gemma-3-12b-it,verse-single,0.01,0.12,0.08,0.039999999999999994
gemma-3-12b-it,verse-single,0.03,0.12,0.1,0.01999999999999999
gemma-3-12b-it,verse-single,0.05,0.24,0.12,0.12
gemma-3-12b-it,verse-single,0.07,0.1,0.2,-0.1
gemma-3-12b-it,verse-single,0.09,0.4,0.5,-0.09999999999999998
gemma-3-12b-it,verse-single,0.1,0.26,0.44,-0.18
gemma-3-12b-it,verse-single,0.5,0.54,0.88,-0.33999999999999997
gemma-3-12b-it,verse-single,1.0,0.38,0.8,-0.42000000000000004
