model,task,T,capture,mean_layer,jac_vs_LF,jac_vs_ST,rho_vs_LF,val_jaccard
gemma-3-12b-it,verse,1,0.34379830956459045,24.55263157894737,0.22580645161290322,0.02702702702702703,0.39434282876456445,0.9
gemma-3-12b-it,verse,4,0.3384462893009186,24.710526315789473,0.26666666666666666,0.08571428571428572,0.4885448617708309,0.9
gemma-3-12b-it,verse,16,0.3240123987197876,23.68421052631579,0.46153846153846156,0.0410958904109589,0.6308611988561055,0.9
gemma-3-12b-it,verse,all,0.3714996576309204,24.026315789473685,0.9,0.10144927536231885,0.9816702490995595,0.9
gemma-3-12b-it,summarization,1,0.3412862718105316,20.81578947368421,0.13432835820895522,0.05555555555555555,0.03257807321009862,0.7272727272727273
gemma-3-12b-it,summarization,4,0.29484695196151733,20.44736842105263,0.16923076923076924,0.0410958904109589,0.1111675663716064,0.7272727272727273
gemma-3-12b-it,summarization,16,0.3190341889858246,21.894736842105264,0.1875,0.07042253521126761,0.28464431808356067,0.7272727272727273
gemma-3-12b-it,summarization,all,0.5340922474861145,23.55263157894737,0.7272727272727273,0.07042253521126761,0.9734176344004896,0.7272727272727273
Qwen1.5-14B-Chat,verse,1,0.27812331914901733,20.3125,0.1347517730496454,0.0457516339869281,0.1908006594234036,0.8823529411764706
Qwen1.5-14B-Chat,verse,4,0.28401851654052734,16.675,0.23076923076923078,0.02564102564102564,0.3894533760096588,0.8823529411764706
Qwen1.5-14B-Chat,verse,16,0.33077776432037354,16.5375,0.391304347826087,0.02564102564102564,0.6635434808672098,0.8823529411764706
Qwen1.5-14B-Chat,verse,all,0.3715539276599884,17.0875,0.8823529411764706,0.03225806451612903,0.9769606808741743,0.8823529411764706
Qwen1.5-14B-Chat,summarization,1,0.29458776116371155,25.9375,0.03896103896103896,0.059602649006622516,-0.045290849267878755,0.8390804597701149
Qwen1.5-14B-Chat,summarization,4,0.25659605860710144,22.825,0.0457516339869281,0.0457516339869281,0.12465293745572723,0.8390804597701149
Qwen1.5-14B-Chat,summarization,16,0.27969273924827576,22.9,0.08843537414965986,0.05263157894736842,0.2446617661603543,0.8390804597701149
Qwen1.5-14B-Chat,summarization,all,0.3662334680557251,17.9,0.8390804597701149,0.08108108108108109,0.977506564650406,0.8390804597701149
Falcon3-10B-Instruct,verse,1,0.30440554022789,17.375,0.23076923076923078,0.02127659574468085,0.3431408122431086,0.8461538461538461
Falcon3-10B-Instruct,verse,4,0.3322119116783142,16.083333333333332,0.3333333333333333,0.02127659574468085,0.5615853367419129,0.8461538461538461
Falcon3-10B-Instruct,verse,16,0.3568388521671295,15.916666666666666,0.8461538461538461,0.043478260869565216,0.8529568270695618,0.8461538461538461
Falcon3-10B-Instruct,verse,all,0.3486576974391937,15.833333333333334,0.8461538461538461,0.043478260869565216,0.9731434645208823,0.8461538461538461
Falcon3-10B-Instruct,summarization,1,0.31729546189308167,27.041666666666668,0.043478260869565216,0.0,0.03915511892290981,0.8461538461538461
Falcon3-10B-Instruct,summarization,4,0.2594643831253052,13.791666666666666,0.02127659574468085,0.02127659574468085,0.16688364985535017,0.8461538461538461
Falcon3-10B-Instruct,summarization,16,0.2941034734249115,15.208333333333334,0.45454545454545453,0.0,0.5661907323325714,0.8461538461538461
Falcon3-10B-Instruct,summarization,all,0.3290446400642395,12.541666666666666,0.8461538461538461,0.043478260869565216,0.9687669805632563,0.8461538461538461
OLMo-2-1124-13B-DPO,verse,1,0.24721099436283112,18.0625,0.14285714285714285,0.08108108108108109,0.2586777705597004,0.8604651162790697
OLMo-2-1124-13B-DPO,verse,4,0.27427536249160767,13.5375,0.21212121212121213,0.08108108108108109,0.36893518431082234,0.8604651162790697
OLMo-2-1124-13B-DPO,verse,16,0.29295045137405396,12.55,0.4953271028037383,0.03896103896103896,0.669357251219682,0.8604651162790697
