model,task,T,capture,mean_layer,jac_vs_LF,jac_vs_ST,rho_vs_LF,val_jaccard
gemma-3-12b-it,factual recall,1,0.3355529010295868,27.13157894736842,0.13432835820895522,0.02702702702702703,0.16571613433182494,0.5510204081632653
gemma-3-12b-it,factual recall,4,0.351156085729599,28.5,0.22580645161290322,0.08571428571428572,0.3434936995929287,0.5510204081632653
gemma-3-12b-it,factual recall,16,0.37286362051963806,25.342105263157894,0.38181818181818183,0.11764705882352941,0.6194162885970702,0.5510204081632653
gemma-3-12b-it,factual recall,all,0.3577871024608612,25.026315789473685,0.5510204081632653,0.0410958904109589,0.9134529288871407,0.5510204081632653
gemma-3-12b-it,persona,1,0.300393670797348,28.63157894736842,0.20634920634920634,0.07042253521126761,0.3523291627318704,0.9487179487179487
gemma-3-12b-it,persona,4,0.2863787114620209,28.763157894736842,0.1875,0.07042253521126761,0.49436699716460886,0.9487179487179487
gemma-3-12b-it,persona,16,0.32598942518234253,25.526315789473685,0.3103448275862069,0.05555555555555555,0.6779821287487942,0.9487179487179487
gemma-3-12b-it,persona,all,0.39261138439178467,22.5,0.9487179487179487,0.0410958904109589,0.991489415783219,0.9487179487179487
Qwen1.5-14B-Chat,bias,1,0.2881029546260834,20.075,0.03225806451612903,0.03225806451612903,0.03870951060666208,0.7391304347826086
Qwen1.5-14B-Chat,bias,4,0.2850792109966278,22.0875,0.05263157894736842,0.03896103896103896,0.031069342897263066,0.7391304347826086
Qwen1.5-14B-Chat,bias,16,0.2931560277938843,23.1125,0.1267605633802817,0.05263157894736842,0.27054800077675717,0.7391304347826086
Qwen1.5-14B-Chat,bias,all,0.38607293367385864,18.375,0.7391304347826086,0.0738255033557047,0.9613155407120862,0.7391304347826086
Qwen1.5-14B-Chat,factual recall,1,0.31221500039100647,24.5875,0.08108108108108109,0.059602649006622516,0.03437507256014808,0.6
Qwen1.5-14B-Chat,factual recall,4,0.30335158109664917,21.425,0.1347517730496454,0.06666666666666667,0.222249286360438,0.6
Qwen1.5-14B-Chat,factual recall,16,0.31517651677131653,20.675,0.25984251968503935,0.03225806451612903,0.5731266503613673,0.6
Qwen1.5-14B-Chat,factual recall,all,0.3277675211429596,17.625,0.6,0.059602649006622516,0.8225319828910052,0.6
OLMo-2-1124-13B-DPO,bias,1,0.29644694924354553,17.3125,0.0457516339869281,0.059602649006622516,0.04013403372580263,0.7582417582417582
OLMo-2-1124-13B-DPO,bias,4,0.27810198068618774,16.4375,0.06666666666666667,0.06666666666666667,0.19016084527605717,0.7582417582417582
OLMo-2-1124-13B-DPO,bias,16,0.24924904108047485,15.95,0.14285714285714285,0.05263157894736842,0.36834501437431594,0.7582417582417582
OLMo-2-1124-13B-DPO,bias,all,0.3600040674209595,10.9625,0.7582417582417582,0.06666666666666667,0.9359942644547825,0.7582417582417582
OLMo-2-1124-13B-DPO,persona,1,0.3407069146633148,15.8625,0.0738255033557047,0.06666666666666667,0.11649431991965623,0.6842105263157895
OLMo-2-1124-13B-DPO,persona,4,0.3217540383338928,16.2125,0.1678832116788321,0.0738255033557047,0.37238826487753635,0.6842105263157895
OLMo-2-1124-13B-DPO,persona,16,0.33780914545059204,17.2625,0.23076923076923078,0.06666666666666667,0.5547014940240211,0.6842105263157895
OLMo-2-1124-13B-DPO,persona,all,0.36992147564888,13.825,0.6842105263157895,0.06666666666666667,0.9278716287544485,0.6842105263157895
Qwen1.5-32B-Chat,bias,1,0.33294913172721863,41.9609375,0.07563025210084033,0.05785123966942149,0.17830367347760356,0.6410256410256411
Qwen1.5-32B-Chat,bias,4,0.3275946378707886,42.7578125,0.07563025210084033,0.04918032786885246,0.2010104841002299,0.6410256410256411
Qwen1.5-32B-Chat,bias,16,0.31491559743881226,43.5390625,0.13274336283185842,0.044897959183673466,0.3576284480161613,0.6410256410256411
Qwen1.5-32B-Chat,bias,all,0.31071263551712036,35.0546875,0.6410256410256411,0.06224066390041494,0.9173737271126337,0.6410256410256411
Qwen1.5-32B-Chat,factual recall,1,0.33568546175956726,41.4140625,0.08936170212765958,0.053497942386831275,0.0456650317579783,0.620253164556962
Qwen1.5-32B-Chat,factual recall,4,0.34028691053390503,36.25,0.15315315315315314,0.11304347826086956,0.25394919986470593,0.620253164556962
Qwen1.5-32B-Chat,factual recall,16,0.3257006108760834,36.515625,0.3544973544973545,0.08016877637130802,0.6811866504220763,0.620253164556962
Qwen1.5-32B-Chat,factual recall,all,0.3290582001209259,37.28125,0.620253164556962,0.06666666666666667,0.9107660566574438,0.620253164556962
Qwen1.5-32B-Chat,persona,1,0.34412357211112976,35.453125,0.14798206278026907,0.06224066390041494,0.0912307302144431,0.6842105263157895
Qwen1.5-32B-Chat,persona,4,0.3150670826435089,46.78125,0.1277533039647577,0.053497942386831275,0.2532710560996442,0.6842105263157895
Qwen1.5-32B-Chat,persona,16,0.3129546642303467,44.1875,0.23076923076923078,0.0847457627118644,0.5146439896287717,0.6842105263157895
Qwen1.5-32B-Chat,persona,all,0.33033397793769836,37.3046875,0.6842105263157895,0.08016877637130802,0.9417472597331192,0.6842105263157895
