model,task,group,n_units,probe_acc,control,excess
Qwen1.5-14B-Chat,verse,LF-only,75,1.0,1.0,0.0
Qwen1.5-14B-Chat,verse,ST-only,75,1.0,1.0,0.0
Qwen1.5-14B-Chat,summarization,LF-only,69,1.0,1.0,0.0
Qwen1.5-14B-Chat,summarization,ST-only,69,1.0,1.0,0.0
Qwen1.5-14B-Chat,bias,LF-only,68,1.0,0.9944444444444445,0.005555555555555536
Qwen1.5-14B-Chat,bias,ST-only,68,1.0,1.0,0.0
Qwen1.5-14B-Chat,factual recall,LF-only,73,0.8666666666666666,0.8638888888888889,0.002777777777777657
Qwen1.5-14B-Chat,factual recall,ST-only,73,0.9083333333333332,0.9027777777777777,0.005555555555555536
Qwen1.5-14B-Chat,persona,LF-only,68,1.0,1.0,0.0
Qwen1.5-14B-Chat,persona,ST-only,68,1.0,1.0,0.0
