model,task,group,n_units,probe_acc,control,excess
gemma-3-12b-it,verse,LF-only,31,1.0,1.0,0.0
gemma-3-12b-it,verse,ST-only,31,1.0,1.0,0.0
gemma-3-12b-it,summarization,LF-only,32,0.9916666666666668,0.9944444444444445,-0.002777777777777657
gemma-3-12b-it,summarization,ST-only,32,0.9916666666666668,0.9916666666666668,0.0
gemma-3-12b-it,bias,LF-only,31,0.975,0.9888888888888889,-0.01388888888888895
gemma-3-12b-it,bias,ST-only,31,1.0,1.0,0.0
gemma-3-12b-it,factual recall,LF-only,35,0.9916666666666668,0.9833333333333334,0.008333333333333415
gemma-3-12b-it,factual recall,ST-only,35,0.9833333333333332,0.9805555555555555,0.002777777777777657
gemma-3-12b-it,persona,LF-only,35,1.0,1.0,0.0
gemma-3-12b-it,persona,ST-only,35,1.0,1.0,0.0
