model,task,k,rank,n,r_over_n,d_L,d_S,n_collected,reps,rho1,rho_top5,floor,excess
gemma-3-12b-it,verse,0.05,2,64,0.0312,9120,9120,768,3,0.93119,0.727444,0.138765,0.588679
gemma-3-12b-it,verse,0.05,4,64,0.0625,9120,9120,768,3,0.977519,0.775356,0.185847,0.58951
gemma-3-12b-it,verse,0.05,8,64,0.125,9120,9120,768,3,0.98966,0.96143,0.406305,0.555125
gemma-3-12b-it,verse,0.05,16,64,0.25,9120,9120,768,3,0.996481,0.989518,0.726708,0.26281
gemma-3-12b-it,verse,0.05,24,64,0.375,9120,9120,768,3,0.999185,0.997244,0.903189,0.094055
gemma-3-12b-it,verse,0.05,32,64,0.5,9120,9120,768,3,1.0,0.999874,0.993628,0.006246
gemma-3-12b-it,verse,0.05,48,64,0.75,9120,9120,768,3,1.0,1.0,1.0,0.0
gemma-3-12b-it,verse,0.05,64,64,1.0,9120,9120,768,3,1.0,1.0,1.0,0.0
gemma-3-12b-it,verse,0.05,96,64,1.5,9120,9120,768,3,1.0,1.0,1.0,0.0
gemma-3-12b-it,verse,0.05,128,64,2.0,9120,9120,768,3,1.0,1.0,1.0,0.0
gemma-3-12b-it,verse,0.05,2,128,0.0156,9120,9120,768,3,0.944104,0.722406,0.086824,0.635583
gemma-3-12b-it,verse,0.05,4,128,0.0312,9120,9120,768,3,0.973434,0.667286,0.136522,0.530764
gemma-3-12b-it,verse,0.05,8,128,0.0625,9120,9120,768,3,0.989857,0.962003,0.296229,0.665774
gemma-3-12b-it,verse,0.05,16,128,0.125,9120,9120,768,3,0.995166,0.985275,0.524676,0.460599
gemma-3-12b-it,verse,0.05,24,128,0.1875,9120,9120,768,3,0.997282,0.991908,0.68326,0.308647
gemma-3-12b-it,verse,0.05,32,128,0.25,9120,9120,768,3,0.998201,0.995285,0.79241,0.202875
gemma-3-12b-it,verse,0.05,48,128,0.375,9120,9120,768,3,0.99958,0.998862,0.938456,0.060406
gemma-3-12b-it,verse,0.05,64,128,0.5,9120,9120,768,3,1.0,0.999975,0.998487,0.001488
gemma-3-12b-it,verse,0.05,96,128,0.75,9120,9120,768,3,1.0,1.0,1.0,0.0
gemma-3-12b-it,verse,0.05,128,128,1.0,9120,9120,768,3,1.0,1.0,1.0,0.0
gemma-3-12b-it,verse,0.05,2,256,0.0078,9120,9120,768,3,0.934536,0.724087,0.072747,0.65134
gemma-3-12b-it,verse,0.05,4,256,0.0156,9120,9120,768,3,0.9666,0.66696,0.101771,0.565189
gemma-3-12b-it,verse,0.05,8,256,0.0312,9120,9120,768,3,0.985455,0.953723,0.201681,0.752042
gemma-3-12b-it,verse,0.05,16,256,0.0625,9120,9120,768,3,0.992572,0.981211,0.369032,0.612179
gemma-3-12b-it,verse,0.05,24,256,0.0938,9120,9120,768,3,0.994581,0.988153,0.489872,0.498281
gemma-3-12b-it,verse,0.05,32,256,0.125,9120,9120,768,3,0.996491,0.992058,0.580779,0.41128
gemma-3-12b-it,verse,0.05,48,256,0.1875,9120,9120,768,3,0.998165,0.995466,0.722792,0.272674
gemma-3-12b-it,verse,0.05,64,256,0.25,9120,9120,768,3,0.998974,0.997482,0.82324,0.174242
gemma-3-12b-it,verse,0.05,96,256,0.375,9120,9120,768,3,0.999664,0.999256,0.953487,0.045769
gemma-3-12b-it,verse,0.05,128,256,0.5,9120,9120,768,3,1.0,0.999994,0.999595,0.000398
gemma-3-12b-it,verse,0.05,2,384,0.0052,9120,9120,768,3,0.952994,0.702054,0.050443,0.65161
gemma-3-12b-it,verse,0.05,4,384,0.0104,9120,9120,768,3,0.974586,0.652613,0.087798,0.564815
gemma-3-12b-it,verse,0.05,8,384,0.0208,9120,9120,768,3,0.985814,0.946207,0.171534,0.774672
gemma-3-12b-it,verse,0.05,16,384,0.0417,9120,9120,768,3,0.993717,0.979933,0.301792,0.67814
