model_id,task,method,ablation,eval_variant,steer_variant,rf_mode,topk,max_accuracy,best_steering_factor
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,single,single,wo_rf,0.01,0.02,10.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,single,single,wo_rf,0.03,1.0,8.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,single,single,wo_rf,0.05,1.0,8.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,single,single,wo_rf,0.07,1.0,5.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,single,single,wo_rf,0.09,0.92,2.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,single,single,wo_rf,0.1,1.0,2.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,single,single,wo_rf,0.5,0.0,10.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,single,single,wo_rf,1.0,0.0,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,single,single,wo_rf,0.01,1.0,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,single,single,wo_rf,0.03,1.0,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,single,single,wo_rf,0.05,1.0,6.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,single,single,wo_rf,0.07,1.0,5.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,single,single,wo_rf,0.09,1.0,4.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,single,single,wo_rf,0.1,1.0,4.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,single,single,wo_rf,0.5,1.0,2.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,single,single,wo_rf,1.0,1.0,1.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,single,single,wo_rf,0.01,0.0,10.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,single,single,wo_rf,0.03,0.04,2.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,single,single,wo_rf,0.05,0.56,2.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,single,single,wo_rf,0.07,0.42,1.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,single,single,wo_rf,0.09,0.98,1.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,single,single,wo_rf,0.1,1.0,1.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,single,single,wo_rf,0.5,0.0,10.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,single,single,wo_rf,1.0,0.0,10.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,single,long,wo_rf,0.01,0.0,10.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,single,long,wo_rf,0.03,1.0,8.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,single,long,wo_rf,0.05,1.0,6.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,single,long,wo_rf,0.07,1.0,5.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,single,long,wo_rf,0.09,0.34,2.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,single,long,wo_rf,0.1,0.88,2.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,single,long,wo_rf,0.5,0.0,10.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,single,long,wo_rf,1.0,0.0,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,single,long,wo_rf,0.01,1.0,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,single,long,wo_rf,0.03,1.0,8.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,single,long,wo_rf,0.05,1.0,6.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,single,long,wo_rf,0.07,1.0,8.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,single,long,wo_rf,0.09,1.0,4.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,single,long,wo_rf,0.1,1.0,5.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,single,long,wo_rf,0.5,1.0,2.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,single,long,wo_rf,1.0,1.0,1.0
