model_id,method,ablation,task,steering_factor,topk,accuracy
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,10,0.01,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,10,0.03,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,10,0.05,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,10,0.07,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,10,0.09,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,10,0.1,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,10,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,10,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,8,0.01,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,8,0.03,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,8,0.05,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,8,0.07,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,8,0.09,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,8,0.1,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,8,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,8,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,6,0.01,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,6,0.03,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,6,0.05,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,6,0.07,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,6,0.09,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,6,0.1,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,6,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,6,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,5,0.01,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,5,0.03,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,5,0.05,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,5,0.07,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,5,0.09,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,5,0.1,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,5,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,5,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,4,0.01,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,4,0.03,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,4,0.05,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,4,0.07,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,4,0.09,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,4,0.1,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,4,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,4,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,2,0.01,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,2,0.03,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,2,0.05,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,2,0.07,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-long_to_non-sycophantic,2,0.09,0.0
