model,source,steer,topk,N,w,wo,task
OLMo-2-1124-13B-DPO,paragraph-long,paragraph-long,0.01,10,0.16,0.16,paragraph
OLMo-2-1124-13B-DPO,paragraph-long,paragraph-long,0.03,5,0.2,0.2,paragraph
OLMo-2-1124-13B-DPO,paragraph-long,paragraph-long,0.05,5,0.22,0.22,paragraph
OLMo-2-1124-13B-DPO,paragraph-long,paragraph-long,0.07,10,0.34,0.34,paragraph
OLMo-2-1124-13B-DPO,paragraph-long,paragraph-long,0.09,10,0.38,0.38,paragraph
OLMo-2-1124-13B-DPO,paragraph-long,paragraph-long,0.1,10,0.26,0.26,paragraph
OLMo-2-1124-13B-DPO,paragraph-long,paragraph-long,0.5,5,0.66,0.7,paragraph
OLMo-2-1124-13B-DPO,paragraph-long,paragraph-long,1.0,4,0.7,1.0,paragraph
OLMo-2-1124-13B-DPO,paragraph-long,paragraph-single,0.01,6,0.02,0.02,paragraph
OLMo-2-1124-13B-DPO,paragraph-long,paragraph-single,0.03,1,0.0,0.0,paragraph
OLMo-2-1124-13B-DPO,paragraph-long,paragraph-single,0.05,2,0.02,0.02,paragraph
OLMo-2-1124-13B-DPO,paragraph-long,paragraph-single,0.07,2,0.04,0.04,paragraph
OLMo-2-1124-13B-DPO,paragraph-long,paragraph-single,0.09,10,0.1,0.12,paragraph
OLMo-2-1124-13B-DPO,paragraph-long,paragraph-single,0.1,10,0.18,0.26,paragraph
OLMo-2-1124-13B-DPO,paragraph-long,paragraph-single,0.5,6,0.16,0.32,paragraph
OLMo-2-1124-13B-DPO,paragraph-long,paragraph-single,1.0,5,0.08,0.56,paragraph
OLMo-2-1124-13B-DPO,paragraph-single,paragraph-long,0.01,5,0.1,0.1,paragraph
OLMo-2-1124-13B-DPO,paragraph-single,paragraph-long,0.03,4,0.08,0.08,paragraph
OLMo-2-1124-13B-DPO,paragraph-single,paragraph-long,0.05,2,0.06,0.06,paragraph
OLMo-2-1124-13B-DPO,paragraph-single,paragraph-long,0.07,8,0.08,0.08,paragraph
OLMo-2-1124-13B-DPO,paragraph-single,paragraph-long,0.09,8,0.08,0.1,paragraph
OLMo-2-1124-13B-DPO,paragraph-single,paragraph-long,0.1,10,0.12,0.14,paragraph
OLMo-2-1124-13B-DPO,paragraph-single,paragraph-long,0.5,6,0.66,0.96,paragraph
OLMo-2-1124-13B-DPO,paragraph-single,paragraph-long,1.0,4,0.7,1.0,paragraph
OLMo-2-1124-13B-DPO,paragraph-single,paragraph-single,0.01,10,0.08,0.08,paragraph
OLMo-2-1124-13B-DPO,paragraph-single,paragraph-single,0.03,6,0.1,0.1,paragraph
OLMo-2-1124-13B-DPO,paragraph-single,paragraph-single,0.05,10,0.28,0.38,paragraph
OLMo-2-1124-13B-DPO,paragraph-single,paragraph-single,0.07,8,0.16,0.44,paragraph
OLMo-2-1124-13B-DPO,paragraph-single,paragraph-single,0.09,8,0.5,0.8,paragraph
