layer,neuron,value
8,3,2.5233178
9,5,1.504942
10,2,1.2781836
10,5,1.639668
10,9,2.643772
11,9,1.3482822
12,0,1.3005676
12,1,1.8120679
12,5,1.2698548
12,7,1.7445434
12,10,1.399668
14,2,1.6336328
14,5,1.638324
15,0,1.0662793
15,11,1.9647943
16,2,5.5417933
16,5,1.5988183
16,7,1.3762354
16,8,1.4118713
17,4,6.1596875
17,6,2.8398485
17,10,1.9166894
18,1,1.8824072
18,2,1.129311
18,4,7.1961718
18,5,2.1777296
18,7,1.1776766
18,10,1.1134143
19,2,2.1555164
20,2,5.2894607
20,4,1.7319874
20,10,2.2983656
21,2,1.1069702
22,9,1.2045497
23,2,4.3235545
24,0,1.2799317
24,2,1.1808838
24,6,2.0321949
28,7,1.5858814
33,11,1.9870431
34,4,3.4944336
38,2,1.0923389
39,2,9.634844
