layer,neuron,value
4,0,1.4785888
5,7,1.2639557
5,9,0.9735498
5,10,1.355835
7,0,3.8584766
7,3,2.5704248
7,10,5.5971484
8,3,1.4776697
8,4,1.3351276
8,6,3.1711743
8,8,1.0403442
8,10,1.9637989
9,8,7.153818
10,3,1.0133796
10,6,1.7626709
10,8,1.8085865
11,3,1.873551
12,0,1.2614063
12,3,2.5733228
12,9,1.4362048
13,7,1.4060082
13,8,6.881699
14,0,0.9541168
14,3,11.999454
14,8,3.572074
15,2,1.0270687
16,2,2.808091
16,5,1.2425439
17,1,3.205752
17,4,5.8274217
17,5,7.9692187
17,9,4.1996484
18,4,6.214922
18,5,1.5310327
18,9,1.2378693
20,2,1.1051489
20,3,1.5806543
23,2,1.8119665
24,2,1.538523
24,3,1.515625
24,6,2.4505677
25,8,2.6743653
30,5,0.9286426
31,4,0.96289533
31,5,1.9217578
32,3,0.96293944
39,0,0.9920679
39,1,2.2283595
