model,family,task,localization,eval_mode,metric,arm,seed,method,topk,accuracy,best_steering_factor
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,0.01,0.44,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,0.03,0.64,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,0.05,0.58,10.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,0.07,0.66,10.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,0.09,0.6,10.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,0.1,0.58,10.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,0.5,0.72,2.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,1.0,0.76,1.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.01,0.3,15.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.03,0.48,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.05,0.48,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.07,0.48,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.09,0.48,10.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.1,0.6,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.5,0.5,2.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,1.0,0.78,1.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.01,0.38,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.03,0.52,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.05,0.64,15.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.07,0.62,15.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.09,0.64,15.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.1,0.62,10.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.5,0.52,2.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,1.0,0.78,1.0
