layer,neuron,value
0,1,0.0052205087
0,6,0.12186657
0,8,0.040432893
0,10,0.0064699557
1,2,0.07821625
1,3,0.026917916
1,5,0.0040667723
1,6,0.044907685
1,7,0.033096466
1,9,0.0093999095
2,0,0.007921033
2,3,0.0071118926
2,6,0.013115845
2,8,0.07173675
2,9,0.028938636
2,10,0.07025177
2,11,0.027403183
3,1,0.048520662
3,2,0.009269901
3,3,0.033241346
3,4,0.11294327
3,6,0.004722867
3,7,0.016518993
3,9,0.0041413116
3,11,0.052809328
4,3,0.05021248
4,4,0.021957627
4,6,0.025423355
4,7,0.012542343
4,8,0.008273964
4,10,0.029978486
5,0,0.009642334
5,1,0.0342231
5,5,0.009281232
5,7,0.08865662
5,8,0.039465636
5,9,0.018422851
5,10,0.17915894
6,1,0.05205429
6,2,0.020574264
6,3,0.106931455
6,4,0.033235017
6,6,0.09016433
6,10,0.269261
6,11,0.10941833
7,0,0.15498413
7,1,0.23930389
7,5,0.04965454
7,7,0.03381607
7,9,0.005483398
7,10,0.1556158
7,11,0.1704239
8,0,0.060770262
8,2,0.015025634
8,3,0.06916534
8,4,0.060760424
8,5,0.012413635
8,6,0.24428803
9,2,0.24503632
9,3,0.069708556
9,4,0.02085083
9,8,0.51952714
9,10,0.06945038
9,11,0.16613068
10,0,0.11579113
10,1,0.09879639
10,4,0.3249765
10,5,0.07578781
10,6,0.07237411
10,7,0.13652435
10,8,0.24798112
10,10,0.09448059
10,11,0.07131355
11,0,0.18921544
11,3,0.3619934
11,5,0.14306305
11,6,0.0053663636
11,7,0.04769989
11,8,0.07935669
11,9,0.038090058
11,10,0.07880035
12,0,0.20775712
12,3,0.091759585
12,6,0.28481567
12,7,0.22077957
12,8,0.005144577
12,9,0.12310883
12,10,0.26730996
13,2,0.07176438
13,3,0.40281007
13,4,0.0065394975
13,6,0.08181171
13,8,0.12097515
13,9,0.051924706
13,11,0.29934815
14,0,0.16249329
14,3,0.22997925
14,4,0.22460343
14,5,0.16143265
14,7,0.11975891
14,8,0.06288422
14,9,0.1597952
14,10,0.20202515
14,11,0.4031534
15,1,0.2764087
15,4,0.31091797
15,5,0.1641005
15,6,0.26710388
15,7,0.24506469
15,8,0.012419433
16,1,0.4747516
16,2,0.06361366
16,4,0.5075046
16,5,0.10764145
16,6,0.06922745
16,7,0.039116822
16,8,0.14618996
16,9,0.032883912
16,10,0.23779419
16,11,0.06067871
17,2,0.68159914
17,4,0.2804135
17,5,0.4559781
17,7,0.38033202
17,8,0.04303467
17,11,0.10467529
18,2,0.53436583
18,4,0.1610403
18,5,0.3005365
18,6,0.058980636
18,7,0.29091063
18,8,0.2508232
18,11,0.01854889
19,0,0.17091827
19,2,0.059662245
19,3,0.049060516
19,4,0.0883432
19,6,0.12904365
19,8,0.099406816
19,11,0.54340637
20,0,0.055317707
20,2,0.008146668
20,4,0.01416214
20,7,0.011836357
20,8,0.15199769
20,11,0.30458468
21,1,0.17645875
21,2,0.7370856
21,3,0.074151
21,6,0.019935302
21,7,0.021258468
21,8,0.027571525
21,9,0.33380798
21,10,1.1383338
21,11,0.066620484
22,2,0.067808226
22,4,0.01775352
22,6,0.14681579
22,9,0.044950258
23,0,0.051793367
23,2,0.13604736
23,5,0.018803049
23,6,0.07541458
23,7,0.02801529
23,10,0.11609162
23,11,0.012123032
24,2,0.039719943
24,5,0.019974442
24,6,0.025890809
24,7,0.0075778486
24,11,0.010359695
25,0,0.05470123
25,1,0.03631237
25,3,0.005175667
25,5,0.08119126
25,6,0.027283931
25,7,0.5526874
25,8,0.03235649
25,9,0.2984961
25,10,0.0380645
26,2,0.011873398
26,6,0.022149792
26,7,0.035074767
26,9,0.575224
26,10,0.007981395
27,3,0.008658065
27,4,0.0655085
27,5,0.04509773
27,6,0.009813432
27,7,0.19926529
27,11,0.01268425
28,0,0.046318587
28,5,0.06090256
28,7,0.284653
28,9,0.009449615
29,0,0.6913809
29,2,0.5162282
29,4,0.0085066985
29,8,0.03483362
29,10,0.15355834
30,0,0.088532105
30,2,0.01142067
30,3,0.0050172806
30,8,0.004574051
30,11,0.0070119477
31,2,0.0202462
31,3,0.06469669
31,5,0.007827301
31,6,0.01916485
32,5,0.033347398
33,0,0.033408716
33,2,0.22103241
33,3,0.02699959
33,4,0.010411434
34,0,0.020907668
34,6,0.023462467
34,7,0.014236279
34,10,0.093587644
34,11,0.13399154
35,5,0.011935661
35,6,0.024229296
35,10,0.0076073455
36,2,0.011955394
36,6,0.024428368
36,8,0.006056833
36,11,0.004776566
37,1,0.006279211
37,2,0.007354021
37,3,0.08696289
37,4,0.14227661
38,7,0.0037786507
38,9,0.011431274
38,10,0.014699364
39,0,0.013735848
39,2,0.05988469
39,4,0.0980846
39,5,0.009159412
39,6,0.45754272
39,9,0.031048078
39,10,0.018614197
