layer,neuron,value
0,6,2.030381
4,1,1.1336377
4,3,0.8982996
4,5,1.008681
6,7,0.7672266
6,10,0.95489746
7,0,1.1342212
8,2,0.7709509
8,10,2.0932763
10,4,1.7349182
10,6,1.5872339
10,8,2.895835
10,10,1.3636048
11,0,0.79756105
11,3,1.0659759
12,0,2.364386
12,5,1.136316
13,8,4.872655
14,2,0.79822296
14,3,3.7764673
14,8,6.546158
15,2,1.8617932
15,4,1.457295
15,8,2.0755322
15,10,1.3626648
15,11,0.7767218
16,2,2.648357
16,5,1.2476147
16,7,0.71795166
16,9,0.7290991
16,11,1.9301367
17,4,6.1359572
17,8,4.053203
17,9,2.3356788
18,4,4.6208787
18,5,0.9145093
18,8,0.7356946
18,9,0.9867895
19,0,7.38457
19,2,6.229385
19,10,0.9604675
23,2,2.6406007
24,2,1.9761719
24,8,0.8631372
37,6,0.98884857
39,2,2.1133666
39,6,0.7216846
39,7,0.6972754
