layer,neuron,value
0,0,0.03106327
0,3,0.31578368
0,5,0.030453034
0,6,0.27338287
1,2,0.1042775
1,4,0.06580246
1,6,0.031138133
1,11,0.03803085
2,3,0.06797142
2,5,0.02266264
2,6,0.06587629
2,7,0.03225601
2,9,0.019497834
3,1,0.039320793
3,2,0.1348182
3,3,0.047356263
3,4,0.17344116
3,7,0.110461734
3,10,0.033371583
4,0,0.11684059
4,3,0.075570285
4,4,0.020929642
4,5,0.023800746
4,6,0.025982399
4,8,0.038248595
4,10,0.040134486
5,4,0.017168961
5,8,0.1421701
6,1,0.030528564
6,2,0.09269691
6,4,0.05534546
6,5,0.17540161
6,6,0.14125244
6,7,0.018211823
6,9,0.030539855
6,10,0.2519513
7,0,0.24313751
7,1,0.8508435
7,4,0.32890442
7,6,0.05454273
7,7,0.020429688
7,10,0.1528949
7,11,0.12041321
8,3,0.5913696
8,6,0.4645804
8,8,0.025888672
8,9,0.12048561
8,10,0.17295837
8,11,0.3027475
9,2,0.16207986
9,5,0.27074647
9,7,0.08104767
9,8,0.276297
9,9,0.028301086
10,0,0.043746337
10,2,0.23552124
10,3,0.14100708
10,5,0.54158205
10,6,0.050515138
10,7,0.015397301
10,8,0.023553314
10,11,0.51493347
11,0,0.6394141
11,1,0.10859223
11,3,0.27113822
11,5,0.052084196
11,8,0.56047004
11,9,0.22208297
11,10,0.22997132
11,11,0.46663323
12,0,0.37273926
12,1,0.26109496
12,3,0.18255432
12,4,0.40414062
12,5,0.20910233
12,6,0.3145569
12,7,0.22788285
12,8,0.29228637
12,9,0.105220035
12,11,0.35612306
13,1,0.19667359
13,2,0.14551346
13,3,0.22759399
13,4,0.39686888
13,5,0.25737977
13,6,0.0630896
13,7,0.11560154
13,8,0.13204499
13,9,0.045485534
13,11,1.0074036
14,1,0.07960083
14,2,0.18079285
14,3,0.18656738
14,4,0.20876327
14,5,0.14705352
14,7,0.64662904
14,8,0.057834357
14,10,1.1595508
14,11,0.17026001
15,0,0.22539611
15,2,0.63861936
15,4,1.6297668
15,5,0.027476424
15,6,0.05886692
15,8,0.09916527
15,10,0.8137683
15,11,0.26830566
16,0,0.21684448
16,1,0.9074475
16,2,1.3770173
16,4,1.19172
16,5,0.061677247
16,6,0.13231811
16,8,0.5718994
16,9,0.25838378
16,10,1.2030237
16,11,1.4661865
17,0,0.09006958
17,2,1.7235907
17,4,0.37446535
17,5,0.88995194
17,7,0.43605775
17,8,1.239039
17,9,0.21100159
17,10,0.4066565
17,11,0.20899475
18,0,0.08875611
18,2,0.55861574
18,4,0.124003604
18,7,1.1906409
18,8,0.57782364
18,9,0.4593943
18,10,0.22015075
18,11,0.5442175
19,3,0.42599097
19,4,0.6245105
19,10,0.38188255
19,11,1.7723688
20,0,0.042574156
20,3,0.10657593
20,7,0.10177658
20,8,0.028197326
20,11,1.10969
21,0,1.019873
21,1,0.06819336
21,2,2.2086816
21,3,0.046748046
21,4,0.2257318
21,6,0.1745874
21,9,0.6918506
21,10,2.3007226
21,11,0.36134583
22,1,0.03530594
22,2,0.30153197
22,4,0.025509186
22,5,0.056425896
22,8,0.3106739
22,9,0.041725006
22,11,0.36588654
23,0,0.39158684
23,5,0.16101898
23,7,0.017404174
23,8,0.19496375
24,2,0.1545459
24,5,0.2193158
24,6,0.07216659
24,8,0.14455803
24,9,0.072219655
24,11,0.022533054
25,0,0.2076036
25,3,0.11512512
25,6,0.54193455
25,7,1.3517352
25,9,0.917677
26,1,0.063189544
26,5,0.4124646
26,7,0.6118079
26,9,1.2506152
26,11,0.15516846
27,0,0.10272339
27,4,0.08428223
27,5,0.21112
27,7,0.3579136
28,0,0.13929169
28,5,0.09824646
28,6,0.19675416
28,7,1.7960035
28,9,0.3712027
28,10,0.1193161
29,0,1.4265397
29,2,0.69292295
29,4,0.48221084
29,7,0.031434786
29,8,0.05863968
29,10,0.23737991
30,0,0.20061813
30,1,0.22758758
30,3,0.033218995
30,4,0.14458375
30,5,0.39502466
30,6,0.017552642
30,10,0.17748351
30,11,0.20242637
31,2,0.13736512
31,4,0.32311952
31,5,0.25551546
32,0,0.079403765
32,2,0.05036873
32,4,0.48248276
32,5,0.17857666
32,7,0.37350264
32,9,0.20402344
33,0,1.0432618
33,2,1.4358789
33,7,0.037767638
33,8,0.82740754
34,0,0.17858368
34,1,0.07174652
34,3,0.12716705
34,5,0.06837235
34,6,0.113617875
34,8,0.0655875
34,10,0.020682372
34,11,0.5513788
35,6,0.055444792
36,0,0.034536894
36,1,0.01912941
36,2,0.02717678
36,9,0.018421173
37,3,1.2075391
37,4,1.748794
38,1,0.091361634
38,3,0.015958443
38,6,0.068891905
38,8,0.08073654
38,10,0.1066024
39,2,0.07684311
39,3,0.2649048
39,4,1.016753
39,6,2.7262793
