model,family,task,localization,eval_mode,metric,arm,seed,method,topk,accuracy,best_steering_factor
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,long,w_rf,real,,atp,0.01,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,long,w_rf,real,,atp,0.03,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,long,w_rf,real,,atp,0.05,0.14,20.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,long,w_rf,real,,atp,0.07,0.44,20.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,long,w_rf,real,,atp,0.09,0.7,20.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,long,w_rf,real,,atp,0.1,0.8,20.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,long,w_rf,real,,atp,0.5,0.04,2.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,long,w_rf,real,,atp,1.0,0.88,1.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,long,w_rf,uniform,0.0,random-s0,0.01,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,long,w_rf,uniform,0.0,random-s0,0.03,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,long,w_rf,uniform,0.0,random-s0,0.05,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,long,w_rf,uniform,0.0,random-s0,0.07,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,long,w_rf,uniform,0.0,random-s0,0.09,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,long,w_rf,uniform,0.0,random-s0,0.1,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,long,w_rf,uniform,0.0,random-s0,0.5,0.02,2.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,long,w_rf,uniform,0.0,random-s0,1.0,0.88,1.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,long,w_rf,layer-matched,0.0,randomlayer-s0,0.01,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,long,w_rf,layer-matched,0.0,randomlayer-s0,0.03,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,long,w_rf,layer-matched,0.0,randomlayer-s0,0.05,0.24,20.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,long,w_rf,layer-matched,0.0,randomlayer-s0,0.07,0.6,20.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,long,w_rf,layer-matched,0.0,randomlayer-s0,0.09,0.88,20.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,long,w_rf,layer-matched,0.0,randomlayer-s0,0.1,0.96,20.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,long,w_rf,layer-matched,0.0,randomlayer-s0,0.5,0.02,1.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,long,w_rf,layer-matched,0.0,randomlayer-s0,1.0,0.9,1.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.01,0.02,4.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.03,0.12,20.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.05,0.14,20.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.07,0.32,20.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.09,0.56,20.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.1,0.52,20.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.5,0.24,2.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,1.0,0.34,1.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.01,0.0,1.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.03,0.04,8.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.05,0.04,20.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.07,0.02,5.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.09,0.18,20.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.1,0.3,20.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.5,0.2,2.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,1.0,0.34,1.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.01,0.0,1.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.03,0.14,20.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.05,0.24,20.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.07,0.54,20.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.09,0.74,20.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.1,0.62,20.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.5,0.14,1.0
Falcon3-10B-Instruct,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,1.0,0.34,1.0
Falcon3-10B-Instruct,verse,from_verse-single_to_prose,single-token,long,w_rf,real,,atp,0.01,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-single_to_prose,single-token,long,w_rf,real,,atp,0.03,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-single_to_prose,single-token,long,w_rf,real,,atp,0.05,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-single_to_prose,single-token,long,w_rf,real,,atp,0.07,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-single_to_prose,single-token,long,w_rf,real,,atp,0.09,0.02,1.0
Falcon3-10B-Instruct,verse,from_verse-single_to_prose,single-token,long,w_rf,real,,atp,0.1,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-single_to_prose,single-token,long,w_rf,real,,atp,0.5,0.02,2.0
Falcon3-10B-Instruct,verse,from_verse-single_to_prose,single-token,long,w_rf,real,,atp,1.0,0.88,1.0
Falcon3-10B-Instruct,verse,from_verse-single_to_prose,single-token,long,w_rf,uniform,0.0,random-s0,0.01,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-single_to_prose,single-token,long,w_rf,uniform,0.0,random-s0,0.03,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-single_to_prose,single-token,long,w_rf,uniform,0.0,random-s0,0.05,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-single_to_prose,single-token,long,w_rf,uniform,0.0,random-s0,0.07,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-single_to_prose,single-token,long,w_rf,uniform,0.0,random-s0,0.09,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-single_to_prose,single-token,long,w_rf,uniform,0.0,random-s0,0.1,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-single_to_prose,single-token,long,w_rf,uniform,0.0,random-s0,0.5,0.02,2.0
Falcon3-10B-Instruct,verse,from_verse-single_to_prose,single-token,long,w_rf,uniform,0.0,random-s0,1.0,0.88,1.0
Falcon3-10B-Instruct,verse,from_verse-single_to_prose,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.01,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-single_to_prose,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.03,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-single_to_prose,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.05,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-single_to_prose,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.07,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-single_to_prose,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.09,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-single_to_prose,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.1,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-single_to_prose,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.5,0.04,1.0
Falcon3-10B-Instruct,verse,from_verse-single_to_prose,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,1.0,0.9,1.0
