layer,neuron,value
0,31,3.1982775
2,7,1.3753394
2,38,1.4420068
2,39,2.50576
4,34,1.3630542
7,9,2.25883
9,7,1.2536865
9,13,2.5983863
9,15,1.8790241
9,26,1.54234
9,32,1.3332238
10,1,1.307204
10,10,2.7166407
10,20,1.2376962
10,23,2.391847
11,12,1.2067407
11,13,1.9490051
11,15,3.326897
12,6,2.72937
12,14,6.3719053
12,18,2.48782
12,31,1.208921
12,39,4.420624
13,0,1.5943909
13,5,7.1940823
13,10,1.3075982
13,12,2.427207
13,15,1.570573
13,16,4.0254493
13,26,2.8273828
14,0,17.404375
14,5,4.6846876
14,6,2.190874
14,8,1.7023059
14,28,3.4676611
14,29,2.5023315
14,35,1.9869019
14,37,1.9183338
14,38,1.5835364
15,5,5.1218357
15,7,4.5359254
15,9,7.676621
15,10,6.1932373
15,15,1.5178491
15,26,1.1218091
15,27,1.5042652
15,30,4.382559
15,33,1.5090381
16,7,9.371016
16,14,1.9262341
16,15,5.115132
16,22,1.9333056
16,23,8.948008
17,0,1.3750135
17,6,3.2712867
17,24,1.9484717
17,33,4.709629
17,35,5.41918
18,17,1.1579003
18,20,2.7114794
18,22,5.5046873
18,39,5.5840917
19,2,1.3434265
19,4,2.9621437
19,30,1.1540674
19,31,1.3449048
20,7,2.406218
21,26,6.397871
21,31,2.439356
22,2,4.6044436
22,9,1.2477417
22,22,2.11427
23,10,1.13406
23,17,1.3566955
25,1,1.326919
26,19,2.5669494
28,0,1.6646255
28,14,1.2176269
34,33,1.1485547
38,31,2.1637037
