layer,neuron,value
0,1,0.048261717
0,4,0.12547314
0,10,0.38321716
0,11,0.012489319
0,14,0.01092781
0,15,0.008259125
0,17,0.006011119
0,19,0.3973816
0,22,0.012127381
0,27,0.08370484
0,28,0.093434446
0,31,1.4041028
0,32,0.030749358
0,34,0.18136139
0,35,0.002577721
0,36,0.007452698
0,37,0.016808195
0,38,0.18854858
1,2,0.15375489
1,4,0.22364563
1,6,0.019942626
1,7,0.005150757
1,8,0.03307869
1,9,0.2491925
1,14,0.022563476
1,15,0.18466842
1,16,0.023756256
1,20,0.010554809
1,22,0.05517822
1,24,0.56425595
1,25,0.0327005
1,27,0.31691527
1,31,0.0970488
1,34,0.016550751
1,36,0.07545365
1,38,0.010087128
2,0,0.037730712
2,1,0.10461662
2,3,0.13456298
2,7,0.346167
2,11,0.08779823
2,13,0.14689727
2,16,0.11665283
2,21,0.28554198
2,22,0.122323
2,23,0.12652832
2,24,0.69231385
2,26,0.20648727
2,28,0.06801224
2,30,0.055894166
2,31,0.03608551
2,32,0.015604706
2,33,0.10968994
2,34,0.007048359
2,35,0.13771911
2,37,0.005571289
2,38,0.22555816
2,39,0.768313
3,1,0.011285935
3,3,0.05637024
3,9,0.047337342
3,14,0.13141541
3,15,0.3827426
3,17,0.023083497
3,18,0.121604
3,20,0.08206146
3,22,0.16779968
3,23,0.3360959
3,24,0.15813355
3,26,0.049070816
3,38,0.12693222
3,39,0.27564555
4,0,0.16536133
4,1,0.08989044
4,2,0.012452812
4,4,0.044479676
4,5,0.2552408
4,6,0.4266594
4,9,0.015734483
4,13,0.06495972
4,15,0.34375793
4,16,0.059359055
4,17,0.03828575
4,19,0.53063846
4,20,0.08905655
4,25,0.2611133
4,26,0.029562987
4,27,0.029903794
4,28,0.07281525
4,30,0.58307374
4,32,0.21518509
4,38,0.06440186
4,39,0.16802368
5,0,0.014278603
5,1,0.031245403
5,4,0.01781128
5,7,0.2177066
5,8,0.18398255
5,9,0.44864014
5,10,0.11251099
5,11,0.28324097
5,13,0.0023773194
5,15,0.014094848
5,18,0.3327649
5,24,0.4424835
5,25,0.16668747
5,27,0.051776122
5,29,0.17604664
5,30,0.8288843
5,32,0.012032471
5,36,0.5979608
5,38,0.20989257
6,1,0.004456177
6,3,0.42401
6,6,0.30273193
6,8,0.13789673
6,9,0.054882918
6,14,0.19148193
6,15,0.049830932
6,17,0.31138092
6,20,0.71227175
6,22,0.19418946
6,25,0.026697693
6,27,0.01658413
6,28,0.042746734
6,29,0.1144458
6,32,0.0145594785
6,33,0.5109522
6,35,0.04497467
6,39,0.06411011
7,0,1.0060315
7,1,0.09780304
7,2,0.048389893
7,3,0.38769898
7,6,1.1968896
7,7,0.46196824
7,8,0.22947387
7,9,0.8050549
7,11,1.2023225
7,13,0.21931885
7,14,0.02337246
7,19,1.1535474
7,21,0.011674499
7,22,0.14172669
7,23,0.014584961
7,25,0.018675538
7,26,0.3964514
7,27,0.7371129
7,28,0.027385864
7,29,0.3147525
7,30,0.21597962
7,32,0.2074237
7,34,0.2226172
