layer,neuron,value
0,3,0.0004964232
0,4,-6.294251e-07
0,5,1.3290346e-05
0,6,-6.3805282e-06
0,9,6.734489e-05
0,10,0.00393095
0,11,0.00045653223
0,12,0.0013941568
0,13,-9.511085e-06
0,15,0.0001509422
0,16,0.009631935
0,17,7.1484e-05
0,19,0.0004117218
0,21,0.00040882974
0,22,0.00019157618
0,24,1.1952221e-06
0,25,0.007542679
0,27,0.0001905313
0,28,0.0018180823
0,29,0.00032211066
0,30,0.004326067
0,31,0.0016228986
0,32,0.00024828257
0,33,6.228209e-05
0,35,-1.1918694e-06
0,36,-8.956343e-06
0,38,8.912981e-06
0,39,0.0001486206
1,1,0.000552423
1,5,0.0020153045
1,6,0.0036792564
1,8,6.983042e-05
1,9,0.00034921645
1,10,0.0006077218
1,11,0.0010830116
1,13,0.0025869107
1,14,0.016125366
1,15,0.00064854143
1,16,0.00034288407
1,18,0.000501709
1,19,0.00018249273
1,20,7.282496e-05
1,22,0.0027735997
1,24,0.0007476616
1,27,0.0045498945
1,29,0.0071547246
1,30,0.010442534
1,31,0.009194395
1,32,0.00753067
1,33,0.00017714023
1,35,0.0012206018
1,36,0.0016204929
1,39,0.010137997
2,0,1.9857884e-05
2,1,3.829688e-05
2,3,0.0032137847
2,4,0.0065695667
2,5,0.0014608431
2,6,9.866953e-05
2,8,0.0013686037
2,12,0.0021342062
2,16,0.0002549547
2,18,0.0006241703
2,20,0.00094586256
2,21,0.0005639589
2,23,0.00080309866
2,24,0.006892471
2,25,0.00062378886
2,26,0.0033077383
2,27,3.1749532e-05
2,28,0.00034148752
2,29,0.008391824
2,30,0.0031388341
2,31,0.00025635242
2,32,0.00021549746
2,34,0.000724118
2,35,0.00039278806
2,38,0.01258137
2,39,0.00020051774
3,1,1.4173985e-05
3,3,0.0025443889
3,4,0.00013002749
3,6,0.00026396275
3,8,0.001913929
3,9,0.004156289
3,10,0.0016087055
3,12,0.00196105
3,15,0.012955656
3,16,0.00620759
3,17,0.003603115
3,19,0.0004885101
3,20,0.006307888
3,21,0.0031261062
3,23,0.0010535526
3,30,0.000106943546
3,32,0.0011050034
3,34,0.00020668983
3,36,0.0060951803
3,37,0.0007373428
3,38,0.0009881174
4,0,0.008312511
4,1,0.0029717493
4,2,0.00054426177
4,3,0.0015122128
4,6,0.008493109
4,7,0.0014936441
4,8,0.0023193955
4,9,4.3195487e-05
4,11,0.00045691372
4,12,0.0013800198
4,13,0.032948915
4,14,0.00040371658
4,16,0.00021454126
4,18,0.0019864272
4,21,0.00048370362
4,26,0.00049829663
4,28,0.0012700271
4,30,0.0009607172
4,33,4.238695e-05
4,34,0.027290802
4,38,0.0010009527
5,0,6.658942e-05
5,2,0.00024206877
5,4,0.0024272776
5,6,0.00094460964
5,7,0.00027815343
5,11,0.0006354642
5,13,4.865408e-05
5,14,0.0019107056
5,16,0.002821045
5,17,0.00016070843
5,19,0.0025759698
5,20,0.0040592863
5,21,-3.1788647e-06
5,22,0.0012018776
5,23,0.0003523731
5,25,0.010199432
5,27,0.0003337884
5,28,0.022934303
5,30,0.0119386865
5,32,0.0003452611
5,38,0.04637806
6,0,0.015314684
6,1,0.0014758683
6,3,0.006185956
6,4,0.000118578675
6,5,0.001551814
6,6,0.0016412258
6,7,0.0006119895
6,11,0.00022953987
6,13,0.0014515328
6,16,0.0016552663
6,18,0.0010794199
6,19,0.0020310069
6,20,0.008293896
6,22,0.000116258336
6,25,0.0028497314
6,26,0.009755249
6,28,0.00033133687
6,30,9.634495e-05
6,33,0.00060112
6,34,0.0004970074
6,35,0.00013873815
6,38,0.00028568684
7,1,0.01032671
7,4,0.005172663
7,5,0.0076851654
7,6,0.025706511
7,9,0.0066631795
7,10,0.002659408
7,14,0.00046132563
7,15,0.0047735963
7,16,0.0007019919
7,17,0.0040566158
7,18,0.0042663813
7,20,0.003904078
7,21,0.00010258198
7,23,0.024038678
7,25,0.00026195458
7,26,0.0044550155
7,29,0.0012328554
7,31,0.0012922776
7,32,0.00021348476
7,36,0.0064894105
7,37,0.0020298671
8,0,0.004514141
8,1,0.0027474212
8,7,0.00032372386
8,9,3.7794114e-05
8,10,0.0005972648
8,12,0.0006210423
8,13,0.0041228295
8,14,0.035251997
8,15,0.0012643815
8,18,0.002237935
8,19,0.001047988
8,20,0.00276186
8,21,0.0013577056
8,24,0.00016244336
8,27,0.030658731
8,29,0.00053992984
8,30,0.0050362777
8,31,0.0007503091
9,0,0.026124114
9,1,0.007513771
9,2,0.005743904
9,3,0.0017937279
9,6,0.0039522736
9,7,0.0037317753
9,12,0.006403992
9,13,0.054859087
9,14,0.0049886466
9,17,0.0018257678
9,22,0.0007760942
9,23,0.01099544
9,26,0.010579186
9,28,0.0013234806
9,32,0.0022798157
9,38,0.001085594
9,39,0.0021144408
10,0,0.031485632
10,2,0.0006652832
10,3,0.0101395035
10,4,0.0016289711
10,6,0.00064010144
10,7,0.011746621
10,12,0.0001579094
10,13,2.019182e-05
10,20,0.0028296185
10,21,0.0026962566
10,23,0.0007410336
10,24,0.02466097
10,25,0.011635875
10,26,0.0056189727
10,28,0.0024861384
10,29,0.0015471411
10,32,0.002179246
11,1,0.0044971253
11,2,0.0060214614
11,3,0.053483926
11,5,0.0047875787
11,6,0.0032097434
11,8,0.025617829
11,10,0.014891748
11,14,0.005290097
11,16,0.0034884834
11,20,0.017298164
11,21,0.03593689
11,22,0.00020470619
11,23,0.00030540465
11,24,0.006941452
11,26,0.026076999
11,27,0.0034251022
11,28,0.004799557
11,30,0.01242692
11,33,0.0029487943
11,35,0.002639988
11,37,0.00044282197
12,0,0.012059145
12,1,0.01213377
12,2,0.10428391
12,3,0.035745926
12,6,0.0041705323
12,7,0.0023999119
12,9,0.079892695
12,11,0.0016215515
12,15,0.016555633
12,17,0.002962203
12,18,0.02703949
12,19,0.038683053
12,20,0.0019178772
12,22,0.0005224514
12,23,0.0034122563
12,26,0.0055961274
12,28,0.0052472115
12,30,0.0024521446
12,31,0.0029960347
12,33,0.019568862
12,34,0.02214222
13,0,0.0016753697
13,2,0.14083481
13,3,0.004065328
13,7,0.000583322
13,12,0.0015356684
13,14,0.0009243107
13,15,0.0008033657
13,18,0.0011469269
13,23,0.00508477
13,24,0.014295139
13,26,0.056774978
13,27,0.0016511917
13,30,0.0009567177
13,33,0.054332532
13,34,0.0014222241
13,36,0.0032013888
14,0,0.011648732
14,1,0.003917637
14,2,0.0014397812
14,3,0.0025686885
14,5,0.06452431
14,9,0.0014577437
14,13,0.0001363504
14,14,0.0733255
14,18,0.0064981077
14,19,0.00065288425
14,20,0.0030478097
14,23,0.048951644
14,24,0.010047607
14,25,0.020419158
14,28,0.008593922
14,29,0.03954498
14,33,0.0027774477
14,34,0.17076546
14,36,0.037537232
14,39,0.0010784006
15,2,0.005990648
15,3,0.004627143
15,5,0.011880283
15,6,0.00049160776
15,7,0.09083282
15,9,0.06067108
15,10,0.0064343475
15,14,0.059431456
15,17,0.023257112
15,19,0.004579654
15,21,0.00072504045
15,22,0.048105314
15,24,0.00018381044
15,25,0.0026376056
15,26,0.0018784618
15,27,0.012973785
15,29,0.008937573
15,30,0.013913193
15,31,0.0010734415
15,33,0.029955197
15,34,0.035203323
15,36,2.62928e-05
16,0,0.005988159
16,1,0.003100438
16,4,0.004419336
16,5,0.09947601
16,6,0.026984481
16,14,0.022163553
16,17,0.0016463661
16,19,0.058677845
16,21,0.0019067383
16,23,0.2996234
16,27,0.09620003
16,32,0.00024415017
16,33,0.024379693
16,34,0.010000096
16,36,0.010929153
16,39,0.05692337
17,0,0.00017275334
17,1,0.0045497944
17,4,0.0024996377
17,6,0.009019161
17,7,0.0003151715
17,9,0.00023016066
