layer,neuron,value
0,10,3.0910304
2,39,1.4086243
6,6,1.7318115
7,9,2.0536304
7,15,2.1826026
8,1,2.6361425
8,20,1.4361206
9,21,2.0609326
9,23,2.1028564
10,9,1.9613281
10,10,4.8925
10,17,2.9166405
10,22,2.1685157
11,18,2.4033887
12,10,1.5133814
12,15,1.4758203
12,18,1.7307348
12,19,2.0590453
12,20,2.2217274
12,21,1.9419775
12,22,1.886875
12,39,6.997539
13,12,1.6809473
13,20,1.372583
13,22,3.535078
13,25,3.4626563
13,29,2.6865919
14,5,4.245547
14,8,3.8583984
14,13,8.7025
14,30,1.4859155
15,17,6.5090623
16,1,6.62125
16,15,10.853437
16,22,2.3865309
16,28,3.8314843
17,31,3.3538916
18,17,1.6448065
18,20,1.8523182
18,22,1.5661914
18,39,5.2653127
20,5,1.3922522
21,3,2.8829687
21,31,2.8927147
22,9,1.5672388
22,33,1.7240192
38,1,1.4353125
38,31,1.517135
