layer,neuron,value
3,3,0.14800051
4,8,0.16651855
5,8,0.28459853
5,28,0.12220886
5,36,0.260495
6,19,0.42447633
6,36,0.113496855
7,0,0.2523001
7,9,0.18984497
8,23,0.108760074
9,0,0.28647888
9,9,1.9855566
9,13,0.31397033
9,23,0.14037947
9,36,0.15659171
10,7,0.13149247
10,24,0.10126495
11,0,0.11715637
11,5,0.14897706
11,6,0.48643225
11,7,0.11942367
11,18,0.11902422
11,20,0.4732013
11,21,0.12378311
11,29,0.18235672
11,31,0.1299488
12,3,0.23354919
12,9,0.28955817
12,10,0.13853943
12,12,0.2820463
12,19,0.20683105
12,30,0.32776773
12,39,0.40294006
13,5,0.20008248
13,12,0.17999725
13,14,0.16234757
13,15,0.21256989
13,20,0.10156921
13,21,0.17017227
13,24,0.20745316
13,32,0.12926117
13,33,0.13025773
14,5,0.19765808
14,14,0.099024504
14,18,0.34521353
14,23,0.2728534
14,27,0.1318509
15,3,0.117978364
15,7,0.15164764
15,14,0.30536544
15,17,0.27182555
15,22,0.10682266
15,29,0.18742676
15,30,0.122090146
15,38,0.12409534
16,2,0.10758972
16,5,0.8056946
16,11,0.10589302
16,14,0.2703
16,15,0.12891342
16,27,0.23283333
16,39,0.17459306
17,20,2.635779
17,35,0.20181862
17,38,2.286992
18,5,0.112018436
18,38,0.11071266
19,30,0.7320728
20,27,1.6762669
22,6,0.14045258
22,18,0.30561647
23,18,1.3353516
23,21,0.55268884
24,31,0.6922803
25,1,0.1278028
27,17,0.105854794
27,26,0.17010269
33,31,0.16447876
34,17,0.18807137
35,1,0.14424133
