layer,neuron,value
0,16,2.3346179
6,19,2.1387892
6,31,1.1517017
7,9,2.0137599
8,14,1.4551513
8,30,2.0759375
9,0,1.6539062
9,9,1.8859717
10,4,1.2186725
11,4,1.334787
11,18,1.1644373
11,20,2.1854103
11,24,1.2378174
11,25,1.6271386
11,29,2.4090772
12,18,4.3430715
12,20,1.1694564
12,35,1.2753125
12,39,1.8241724
13,0,1.49375
13,4,1.6059363
13,27,2.1093554
13,33,1.1573962
14,0,1.5225854
14,5,2.3043165
14,13,5.825
14,14,1.4304833
14,23,1.8166308
14,28,1.9776251
14,29,1.4103223
15,7,1.352218
15,17,7.6659374
15,30,2.9854395
16,1,5.6785545
16,3,2.013484
16,4,1.2080176
16,10,1.3155811
16,15,3.4692578
16,38,1.3475293
17,6,3.200459
17,16,1.3023975
17,26,2.1145117
18,18,2.3051562
18,22,1.2892456
18,39,4.8490624
19,10,1.5051758
19,30,1.8015577
21,26,1.8461425
