layer,neuron,value
0,23,0.039696395
0,25,0.03136856
1,12,0.021213036
2,18,0.05005274
2,24,0.027060013
3,17,0.022560935
3,19,0.06183441
3,36,0.03937128
4,0,0.040345993
4,34,0.10828523
5,9,0.06517006
5,25,0.029893704
5,30,0.022992678
6,14,0.024744214
6,16,0.023416938
6,19,0.038689192
6,30,0.040251542
6,31,0.020775985
7,0,0.077292785
7,1,0.033956107
7,3,0.028971959
7,9,0.32288688
7,18,0.02289091
7,30,0.07178406
8,14,0.093189165
8,26,0.023700256
8,27,0.022586975
8,30,0.32854584
8,39,0.021290483
9,0,0.03572714
9,1,0.029075585
9,3,0.03535019
9,6,0.044284765
9,13,0.22759826
9,14,0.04516247
9,16,0.06680694
9,23,0.06463354
9,32,0.16545166
10,0,0.119823605
10,1,0.02317563
10,5,0.074021265
10,7,0.02850067
10,8,0.057715006
10,23,0.020530958
10,24,0.07968208
10,26,0.23063508
11,2,0.020047493
11,3,0.23315369
11,8,0.21028648
11,9,0.050659407
11,10,0.09141693
11,17,0.115317844
11,21,0.02821579
11,24,0.02585106
11,26,0.031567704
11,28,0.022264404
11,29,0.29688781
12,0,0.36666274
12,1,0.048723906
12,2,0.037714843
12,3,0.057509154
12,9,0.33042344
12,10,0.2227032
12,18,0.043824654
12,21,0.09572265
12,26,0.035557557
12,30,0.02012413
12,33,0.03476055
12,34,0.05817444
12,38,0.024747506
13,2,0.4238318
13,6,0.059923552
13,9,0.21501267
13,12,0.06623749
13,14,0.06398871
13,15,0.047964383
13,21,0.021459827
13,23,0.022758102
13,26,0.046768665
13,32,0.06512131
13,33,0.12068512
14,0,0.03258537
14,5,0.42331162
14,8,0.028639888
14,9,0.025613556
14,10,0.027225208
14,13,0.05837457
14,14,0.07627579
14,18,0.07509056
14,23,0.057142716
14,28,0.07583595
14,29,0.23644501
14,32,0.23389572
14,34,0.18709975
14,36,0.030232888
14,37,0.07147316
15,2,0.11263428
15,5,0.03603424
15,7,0.30336457
15,10,0.026069412
15,14,0.042195205
15,15,0.13663986
15,17,0.18664871
15,22,0.06009468
15,25,0.033598173
15,27,0.18420212
15,29,0.031416703
15,30,0.17597008
15,33,0.03820297
15,34,0.03129492
15,38,0.021246262
16,3,0.07865738
16,5,0.58833635
16,11,0.046541687
16,14,0.1517813
16,15,0.02955101
16,19,0.070545234
16,27,0.18167222
16,33,0.039393663
16,38,0.022612095
16,39,0.17312744
17,2,0.07208559
17,5,0.11618324
17,6,0.053037643
17,8,0.034534704
17,12,0.02159214
17,18,0.027410602
17,20,1.1517115
17,35,0.18016647
17,38,0.7698743
18,13,0.026901245
18,18,0.0623642
19,30,0.52866745
20,0,0.029457206
20,3,0.031369362
20,19,0.02604742
20,22,0.12180908
20,27,0.9165991
21,20,0.023778152
22,2,0.034803525
22,18,0.2008364
23,15,0.024769517
23,18,1.0616174
23,21,0.2797461
24,9,0.07038373
24,31,0.25849396
25,1,0.11435383
27,15,0.025218964
27,17,0.09143822
27,21,0.039898306
27,26,0.11672828
29,39,0.052214243
31,1,0.10507988
32,35,0.03919052
33,30,0.05099538
33,31,0.103364564
34,17,0.15118961
35,1,0.25755525
37,21,0.27753663
38,18,0.02613701
