model,localization,layer,head,eigval_real,eigval_imag,eigval_mag,is_real,concentration
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,16,15,1.2162023782730103,0.0626194179058075,1.2178133726119995,False,0.02325139008462429
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,12,38,-0.8015490770339966,0.062297724187374115,0.8039663434028625,False,0.029087934643030167
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,0,14,-0.8261651396751404,0.0,0.8261651396751404,True,0.23465615510940552
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,12,37,2.004570722579956,0.0,2.004570722579956,True,0.16012145578861237
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,12,16,-1.219138741493225,0.0,1.219138741493225,True,0.034388814121484756
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,12,13,-1.9965208768844604,0.0,1.9965208768844604,True,0.015367002226412296
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,16,30,1.773347020149231,0.08035106956958771,1.7751665115356445,True,0.017639784142374992
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,12,34,-0.4936017394065857,0.6715466380119324,0.8334372043609619,False,0.028116116300225258
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,12,14,-3.080512523651123,0.0,3.080512523651123,True,0.038378313183784485
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,12,33,1.313991665840149,-0.016366664320230484,1.3140934705734253,True,0.0158305075019598
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,14,12,2.208531141281128,0.0,2.208531141281128,True,0.047208357602357864
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,16,37,-1.3993334770202637,0.0,1.3993334770202637,True,0.0163009874522686
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,0,30,-3.0062711238861084,0.0,3.0062711238861084,True,0.6650057435035706
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,1,28,-2.034747838973999,0.0,2.034747838973999,True,0.3678925931453705
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,14,18,-0.8397303223609924,-0.26172128319740295,0.8795709609985352,False,0.02307606302201748
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,18,24,-2.222533941268921,0.0,2.222533941268921,True,0.0530526302754879
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,18,1,-0.14515139162540436,1.1327570676803589,1.1420191526412964,False,0.030367908999323845
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,16,19,1.474080204963684,-0.07016132026910782,1.4757490158081055,True,0.013252043165266514
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,17,7,0.6711599230766296,0.10888545960187912,0.679935097694397,False,0.027546849101781845
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,17,24,0.6362839341163635,0.006580440793186426,0.6363179087638855,True,0.02744714729487896
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,16,14,1.6712956428527832,0.0,1.6712956428527832,True,0.015506337396800518
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,16,29,-1.367739200592041,0.0,1.367739200592041,True,0.022890634834766388
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,15,12,-0.6265767812728882,-0.8790553212165833,1.07950758934021,False,0.027844250202178955
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,20,24,-1.3095828294754028,0.2958418130874634,1.342583179473877,False,0.06137087941169739
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,14,14,1.5542689561843872,0.0,1.5542689561843872,True,0.024792028591036797
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,20,33,1.2993156909942627,0.024172905832529068,1.299540400505066,True,0.020444586873054504
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,14,21,-0.7421074509620667,0.0,0.7421074509620667,True,0.028145253658294678
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,17,3,-0.5308234691619873,0.42750969529151917,0.6815703511238098,False,0.03610415384173393
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,17,35,2.3554389476776123,0.0,2.3554389476776123,True,0.028679680079221725
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,16,26,-2.3497703075408936,0.040348343551158905,2.350116491317749,True,0.01336114201694727
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,17,24,0.6362839341163635,0.006580440793186426,0.6363179087638855,True,0.02744714729487896
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,14,20,3.2463979721069336,0.04422052949666977,3.246699094772339,True,0.0731680765748024
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,14,31,-0.3247813284397125,0.5780969262123108,0.6630829572677612,False,0.032863810658454895
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,16,1,1.3518732786178589,-0.04548488184809685,1.3526382446289062,True,0.036248888820409775
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,18,4,-1.384280800819397,0.0643341988325119,1.385775089263916,True,0.0255661029368639
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,14,18,-0.8397303223609924,-0.26172128319740295,0.8795709609985352,False,0.02307606302201748
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,24,14,-1.403180718421936,-0.06966964155435562,1.4049092531204224,True,0.025326047092676163
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,21,33,-1.7864258289337158,0.0,1.7864258289337158,True,0.012604259885847569
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,11,18,-0.853065550327301,0.5813138484954834,1.032301664352417,False,0.023692309856414795
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,17,36,2.1256589889526367,0.0,2.1256589889526367,True,0.015702731907367706
