model,localization,steer_variant,steering_factor,topk,n_items,avg_jaccard
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,10,0.01,50,0.11099413577951489
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,10,0.03,50,0.1158660258391369
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,10,0.05,50,0.12280712150522595
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,10,0.07,50,0.1209479312557642
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,10,0.09,50,0.12265237822728167
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,10,0.1,50,0.12313432205206563
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,10,0.5,50,0.04844743288588004
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,10,1.0,50,0.009603547977612205
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,8,0.01,50,0.10606964101771393
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,8,0.03,50,0.1191339591229959
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,8,0.05,50,0.13828529629486466
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,8,0.07,50,0.13920391808367938
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,8,0.09,50,0.13239207276247694
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,8,0.1,50,0.12725574806502266
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,8,0.5,50,0.059776541862445444
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,8,1.0,50,0.003957546531746898
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,6,0.01,50,0.10775813502741471
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,6,0.03,50,0.11966050961039187
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,6,0.05,50,0.14095975644455466
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,6,0.07,50,0.13969263233710638
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,6,0.09,50,0.14448448631000418
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,6,0.1,50,0.14099984602562576
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,6,0.5,50,0.053169641583485375
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,6,1.0,50,0.043532842737659685
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,5,0.01,50,0.10633642442596176
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,5,0.03,50,0.11839135501150569
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,5,0.05,50,0.14073779340019052
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,5,0.07,50,0.1529018315195192
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,5,0.09,50,0.14948751198905844
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,5,0.1,50,0.15047761101248733
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,5,0.5,50,0.0716085800600441
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,5,1.0,50,0.05729790913518591
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,4,0.01,50,0.10927280213419863
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,4,0.03,50,0.12297531371834719
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,4,0.05,50,0.13274979729143055
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,4,0.07,50,0.14931659852413579
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,4,0.09,50,0.15665777120857416
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,4,0.1,50,0.1690838415185481
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,4,0.5,50,0.08028679359723288
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,4,1.0,50,0.06233999596105467
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,2,0.01,50,0.10663621830913851
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,2,0.03,50,0.11199946103621515
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,2,0.05,50,0.11712234709301272
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,2,0.07,50,0.12339981467392086
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,2,0.09,50,0.1359664967999435
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,2,0.1,50,0.13398270612051794
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,2,0.5,50,0.1814705556498719
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,2,1.0,50,0.12302200615910394
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,1,0.01,50,0.10747618900560024
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,1,0.03,50,0.11189296541287992
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,1,0.05,50,0.11186357522684803
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,1,0.07,50,0.11290759006002654
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,1,0.09,50,0.11591388339967129
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,1,0.1,50,0.11514502319164117
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,1,0.5,50,0.17911023630868403
OLMo-2-1124-13B-DPO,from_verse-long_to_prose,verse-long_steer,1,1.0,50,0.17958847465249508
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,10,0.01,50,0.1121097318842972
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,10,0.03,50,0.1118747833389745
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,10,0.05,50,0.11088448418083606
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,10,0.07,50,0.10981498765159993
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,10,0.09,50,0.11645647514772105
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,10,0.1,50,0.10977362275254
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,10,0.5,50,0.04545687425278065
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,10,1.0,50,0.0025675675675675674
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,8,0.01,50,0.11066215362206566
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,8,0.03,50,0.11448015850136041
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,8,0.05,50,0.11097115581916402
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,8,0.07,50,0.11340507142122074
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,8,0.09,50,0.12135832621753206
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,8,0.1,50,0.11562529413901991
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,8,0.5,50,0.05392944713346811
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,8,1.0,50,0.03570153031182538
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,6,0.01,50,0.10974818646348483
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,6,0.03,50,0.11245336425894088
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,6,0.05,50,0.11413751270759287
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,6,0.07,50,0.11671505253156775
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,6,0.09,50,0.11511326688255798
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,6,0.1,50,0.11630725252473333
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,6,0.5,50,0.058314467680545184
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,6,1.0,50,0.05084272807774873
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,5,0.01,50,0.10904939413645724
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,5,0.03,50,0.11380857580632955
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,5,0.05,50,0.10560039269620952
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,5,0.07,50,0.11251317685075833
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,5,0.09,50,0.11135584388448302
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,5,0.1,50,0.11639525188379815
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,5,0.5,50,0.067105507024409
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,5,1.0,50,0.06282305829232607
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,4,0.01,50,0.10794707162131965
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,4,0.03,50,0.10993924699851088
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,4,0.05,50,0.10853469045150799
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,4,0.07,50,0.11020119566019432
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,4,0.09,50,0.10815977899730851
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,4,0.1,50,0.11135725067172525
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,4,0.5,50,0.12219042483859979
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,4,1.0,50,0.06648514606797239
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,2,0.01,50,0.10836456234885286
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,2,0.03,50,0.10870980850817202
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,2,0.05,50,0.10772061269271395
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,2,0.07,50,0.1090316878008777
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,2,0.09,50,0.1085364635659019
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,2,0.1,50,0.11060760332985486
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,2,0.5,50,0.12741198724206546
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,2,1.0,50,0.12407221656945869
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,1,0.01,50,0.10880960951512927
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,1,0.03,50,0.10914346343195871
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,1,0.05,50,0.11000532358866746
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,1,0.07,50,0.10956334377752765
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,1,0.09,50,0.11037858970175847
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,1,0.1,50,0.10914330642852083
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,1,0.5,50,0.11322791563078889
OLMo-2-1124-13B-DPO,from_verse-single_to_prose,verse-single_steer,1,1.0,50,0.1586640760971765
