model,family,task,localization,eval_mode,metric,arm,seed,method,topk,accuracy,best_steering_factor
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,long,w_rf,real,,atp,0.01,0.12,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,long,w_rf,real,,atp,0.03,0.08,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,long,w_rf,real,,atp,0.05,0.24,6.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,long,w_rf,real,,atp,0.07,0.44,5.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,long,w_rf,real,,atp,0.09,0.52,4.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,long,w_rf,real,,atp,0.1,0.62,4.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,long,w_rf,real,,atp,0.5,0.68,2.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,long,w_rf,real,,atp,1.0,0.48,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,long,w_rf,uniform,0.0,random-s0,0.01,0.1,10.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,long,w_rf,uniform,0.0,random-s0,0.03,0.14,8.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,long,w_rf,uniform,0.0,random-s0,0.05,0.1,5.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,long,w_rf,uniform,0.0,random-s0,0.07,0.1,2.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,long,w_rf,uniform,0.0,random-s0,0.09,0.44,10.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,long,w_rf,uniform,0.0,random-s0,0.1,0.22,8.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,long,w_rf,uniform,0.0,random-s0,0.5,0.44,4.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,long,w_rf,uniform,0.0,random-s0,1.0,0.48,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,long,w_rf,layer-matched,0.0,randomlayer-s0,0.01,0.12,8.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,long,w_rf,layer-matched,0.0,randomlayer-s0,0.03,0.1,4.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,long,w_rf,layer-matched,0.0,randomlayer-s0,0.05,0.1,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,long,w_rf,layer-matched,0.0,randomlayer-s0,0.07,0.16,8.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,long,w_rf,layer-matched,0.0,randomlayer-s0,0.09,0.38,4.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,long,w_rf,layer-matched,0.0,randomlayer-s0,0.1,0.2,8.0
