model,localization,steer_variant,steering_factor,topk,n_items,avg_jaccard
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,10,0.01,50,0.173508385414692
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,10,0.03,50,0.09981973398514546
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,10,0.05,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,10,0.07,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,10,0.09,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,10,0.1,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,10,0.5,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,10,1.0,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,8,0.01,50,0.1687414667634712
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,8,0.03,50,0.15850666891782406
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,8,0.05,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,8,0.07,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,8,0.09,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,8,0.1,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,8,0.5,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,8,1.0,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,6,0.01,50,0.16222476411343106
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,6,0.03,50,0.20093089513797968
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,6,0.05,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,6,0.07,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,6,0.09,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,6,0.1,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,6,0.5,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,6,1.0,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,5,0.01,50,0.15497777754102393
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,5,0.03,50,0.20216446856617434
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,5,0.05,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,5,0.07,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,5,0.09,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,5,0.1,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,5,0.5,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,5,1.0,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,4,0.01,50,0.1537097256445569
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,4,0.03,50,0.19291292910194374
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,4,0.05,50,0.047609197061277614
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,4,0.07,50,0.00044444444444444447
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,4,0.09,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,4,0.1,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,4,0.5,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,4,1.0,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,2,0.01,50,0.14862587704303903
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,2,0.03,50,0.1545417496024915
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,2,0.05,50,0.1760937298602947
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,2,0.07,50,0.1883030320946396
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,2,0.09,50,0.19195303760630442
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,2,0.1,50,0.05374774115203463
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,2,0.5,50,0.0016411203297726565
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,2,1.0,50,0.0
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,1,0.01,50,0.15018024873219857
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,1,0.03,50,0.14802461466502975
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,1,0.05,50,0.15296899438026718
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,1,0.07,50,0.1594919129330936
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,1,0.09,50,0.16963130518438416
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,1,0.1,50,0.16831381990365663
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,1,0.5,50,0.0004572461896150865
Qwen1.5-14B-Chat,from_verse-long_to_prose,verse-long_steer,1,1.0,50,0.002688658405252211
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,10,0.01,50,0.15554815189754662
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,10,0.03,50,0.1900199326995483
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,10,0.05,50,0.19425399964605267
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,10,0.07,50,0.19280221277755744
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,10,0.09,50,0.08319477180104226
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,10,0.1,50,0.07919192030164904
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,10,0.5,50,0.0
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,10,1.0,50,0.0
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,8,0.01,50,0.15060138259673186
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,8,0.03,50,0.1774525621680556
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,8,0.05,50,0.19529534832885184
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,8,0.07,50,0.20401684101445738
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,8,0.09,50,0.19391770144066808
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,8,0.1,50,0.18852669442019032
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,8,0.5,50,0.0
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,8,1.0,50,0.0
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,6,0.01,50,0.15028150581260427
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,6,0.03,50,0.1675531140708377
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,6,0.05,50,0.18368417732723075
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,6,0.07,50,0.20034635706912363
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,6,0.09,50,0.19949473735371817
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,6,0.1,50,0.19831325401446254
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,6,0.5,50,0.0
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,6,1.0,50,0.0
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,5,0.01,50,0.1510994538227689
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,5,0.03,50,0.16237594309914843
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,5,0.05,50,0.17812603041189987
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,5,0.07,50,0.1974743661803085
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,5,0.09,50,0.1881466231776142
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,5,0.1,50,0.1918864134437343
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,5,0.5,50,0.0
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,5,1.0,50,0.0
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,4,0.01,50,0.14640809501049687
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,4,0.03,50,0.15883348861334348
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,4,0.05,50,0.16903194047492717
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,4,0.07,50,0.18176993185452348
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,4,0.09,50,0.17450657914877124
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,4,0.1,50,0.17608260438285486
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,4,0.5,50,0.0
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,4,1.0,50,0.0
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,2,0.01,50,0.14661192488713984
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,2,0.03,50,0.14868335786532536
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,2,0.05,50,0.15386704143750493
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,2,0.07,50,0.1619061701872069
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,2,0.09,50,0.16096200506428068
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,2,0.1,50,0.15778000201240006
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,2,0.5,50,0.0
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,2,1.0,50,0.0
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,1,0.01,50,0.14497866273149942
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,1,0.03,50,0.1463604071153264
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,1,0.05,50,0.14613370239909218
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,1,0.07,50,0.14827244294895459
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,1,0.09,50,0.14516150273480188
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,1,0.1,50,0.14757657033166263
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,1,0.5,50,0.0
Qwen1.5-14B-Chat,from_verse-single_to_prose,verse-single_steer,1,1.0,50,0.0
