loc,topk,pair,n,heads_jaccard,chance,layers_jaccard
verse-long,0.01,bq-sq vs bq-sr,16,0.0,0.005,0.125
verse-long,0.01,bq-sq vs br-sq,16,0.0667,0.005,0.1667
verse-long,0.01,bq-sq vs br-sr,16,0.0667,0.005,0.2
verse-long,0.01,bq-sr vs br-sq,16,0.0,0.005,0.3077
verse-long,0.01,bq-sr vs br-sr,16,0.1034,0.005,0.5
verse-long,0.01,br-sq vs br-sr,16,0.0323,0.005,0.1667
verse-long,0.03,bq-sq vs bq-sr,48,0.0549,0.0152,0.4118
verse-long,0.03,bq-sq vs br-sq,48,0.1163,0.0152,0.5294
verse-long,0.03,bq-sq vs br-sr,48,0.0909,0.0152,0.4286
verse-long,0.03,bq-sr vs br-sq,48,0.0213,0.0152,0.6471
verse-long,0.03,bq-sr vs br-sr,48,0.2632,0.0152,0.5714
verse-long,0.03,br-sq vs br-sr,48,0.1294,0.0152,0.6
verse-long,0.05,bq-sq vs bq-sr,80,0.1034,0.0256,0.4737
verse-long,0.05,bq-sq vs br-sq,80,0.0959,0.0256,0.6
verse-long,0.05,bq-sq vs br-sr,80,0.1348,0.0256,0.4118
verse-long,0.05,bq-sr vs br-sq,80,0.0191,0.0256,0.6
verse-long,0.05,bq-sr vs br-sr,80,0.25,0.0256,0.6
verse-long,0.05,br-sq vs br-sr,80,0.1765,0.0256,0.5556
verse-long,0.07,bq-sq vs bq-sr,112,0.1667,0.0363,0.5714
verse-long,0.07,bq-sq vs br-sq,112,0.1606,0.0363,0.6364
verse-long,0.07,bq-sq vs br-sr,112,0.2108,0.0363,0.4211
verse-long,0.07,bq-sr vs br-sq,112,0.0275,0.0363,0.625
verse-long,0.07,bq-sr vs br-sr,112,0.2948,0.0363,0.5789
verse-long,0.07,br-sq vs br-sr,112,0.2308,0.0363,0.5
verse-long,0.09,bq-sq vs bq-sr,144,0.1803,0.0471,0.6667
verse-long,0.09,bq-sq vs br-sq,144,0.2101,0.0471,0.6154
verse-long,0.09,bq-sq vs br-sr,144,0.2,0.0471,0.5
verse-long,0.09,bq-sr vs br-sq,144,0.0511,0.0471,0.7692
verse-long,0.09,bq-sr vs br-sr,144,0.3211,0.0471,0.6087
verse-long,0.09,br-sq vs br-sr,144,0.2522,0.0471,0.56
verse-long,0.1,bq-sq vs bq-sr,160,0.1985,0.0526,0.75
verse-long,0.1,bq-sq vs br-sq,160,0.2167,0.0526,0.6923
verse-long,0.1,bq-sq vs br-sr,160,0.2121,0.0526,0.4783
verse-long,0.1,bq-sr vs br-sq,160,0.0631,0.0526,0.7778
verse-long,0.1,bq-sr vs br-sr,160,0.3734,0.0526,0.5833
verse-long,0.1,br-sq vs br-sr,160,0.2549,0.0526,0.5385
verse-single,0.01,bq-sq vs bq-sr,16,0.0667,0.005,0.3125
verse-single,0.01,bq-sq vs br-sq,16,0.0323,0.005,0.2941
verse-single,0.01,bq-sq vs br-sr,16,0.1429,0.005,0.5
verse-single,0.01,bq-sr vs br-sq,16,0.0,0.005,0.4
verse-single,0.01,bq-sr vs br-sr,16,0.0667,0.005,0.4167
verse-single,0.01,br-sq vs br-sr,16,0.0667,0.005,0.3846
verse-single,0.03,bq-sq vs bq-sr,48,0.0549,0.0152,0.5217
verse-single,0.03,bq-sq vs br-sq,48,0.0787,0.0152,0.5238
verse-single,0.03,bq-sq vs br-sr,48,0.0909,0.0152,0.5263
verse-single,0.03,bq-sr vs br-sq,48,0.0105,0.0152,0.5417
verse-single,0.03,bq-sr vs br-sr,48,0.1163,0.0152,0.5455
verse-single,0.03,br-sq vs br-sr,48,0.1163,0.0152,0.6316
verse-single,0.05,bq-sq vs bq-sr,80,0.0811,0.0256,0.6429
verse-single,0.05,bq-sq vs br-sq,80,0.1111,0.0256,0.5714
verse-single,0.05,bq-sq vs br-sr,80,0.0959,0.0256,0.5417
verse-single,0.05,bq-sr vs br-sq,80,0.0063,0.0256,0.6552
verse-single,0.05,bq-sr vs br-sr,80,0.1111,0.0256,0.64
verse-single,0.05,br-sq vs br-sr,80,0.1594,0.0256,0.625
verse-single,0.07,bq-sq vs bq-sr,112,0.0874,0.0363,0.6765
verse-single,0.07,bq-sq vs br-sq,112,0.12,0.0363,0.625
verse-single,0.07,bq-sq vs br-sr,112,0.12,0.0363,0.5333
verse-single,0.07,bq-sr vs br-sq,112,0.0136,0.0363,0.6857
verse-single,0.07,bq-sr vs br-sr,112,0.1429,0.0363,0.6562
verse-single,0.07,br-sq vs br-sr,112,0.2308,0.0363,0.5484
verse-single,0.09,bq-sq vs bq-sr,144,0.112,0.0471,0.7222
verse-single,0.09,bq-sq vs br-sq,144,0.1163,0.0471,0.6857
verse-single,0.09,bq-sq vs br-sr,144,0.1339,0.0471,0.6176
verse-single,0.09,bq-sr vs br-sq,144,0.0141,0.0471,0.75
verse-single,0.09,bq-sr vs br-sr,144,0.1474,0.0471,0.6389
verse-single,0.09,br-sq vs br-sr,144,0.2687,0.0471,0.6
verse-single,0.1,bq-sq vs bq-sr,160,0.1111,0.0526,0.75
verse-single,0.1,bq-sq vs br-sq,160,0.1228,0.0526,0.6857
verse-single,0.1,bq-sq vs br-sr,160,0.1268,0.0526,0.6111
verse-single,0.1,bq-sr vs br-sq,160,0.0159,0.0526,0.7778
verse-single,0.1,bq-sr vs br-sr,160,0.1636,0.0526,0.75
verse-single,0.1,br-sq vs br-sr,160,0.2648,0.0526,0.6389
