loc,topk,pair,n,heads_jaccard,chance,layers_jaccard
verse-long,0.01,bq-sq vs bq-sr,16,0.3333,0.005,0.5333
verse-long,0.01,bq-sq vs br-sq,16,0.3333,0.005,0.6667
verse-long,0.01,bq-sq vs br-sr,16,0.3333,0.005,0.5714
verse-long,0.01,bq-sr vs br-sq,16,0.28,0.005,0.5833
verse-long,0.01,bq-sr vs br-sr,16,0.6,0.005,0.75
verse-long,0.01,br-sq vs br-sr,16,0.3913,0.005,0.8
verse-long,0.03,bq-sq vs bq-sr,48,0.28,0.0152,0.5652
verse-long,0.03,bq-sq vs br-sq,48,0.2308,0.0152,0.5455
verse-long,0.03,bq-sq vs br-sr,48,0.2152,0.0152,0.5455
verse-long,0.03,bq-sr vs br-sq,48,0.2152,0.0152,0.7
verse-long,0.03,bq-sr vs br-sr,48,0.4545,0.0152,0.7895
verse-long,0.03,br-sq vs br-sr,48,0.5238,0.0152,0.8824
verse-long,0.05,bq-sq vs bq-sr,80,0.3223,0.0256,0.6
verse-long,0.05,bq-sq vs br-sq,80,0.28,0.0256,0.6333
verse-long,0.05,bq-sq vs br-sr,80,0.2698,0.0256,0.6333
verse-long,0.05,bq-sr vs br-sq,80,0.25,0.0256,0.6207
verse-long,0.05,bq-sr vs br-sr,80,0.4159,0.0256,0.6786
verse-long,0.05,br-sq vs br-sr,80,0.5534,0.0256,0.7143
verse-long,0.07,bq-sq vs bq-sr,112,0.3176,0.0363,0.7429
verse-long,0.07,bq-sq vs br-sq,112,0.2874,0.0363,0.6857
verse-long,0.07,bq-sq vs br-sr,112,0.3023,0.0363,0.6389
verse-long,0.07,bq-sr vs br-sq,112,0.2174,0.0363,0.6316
verse-long,0.07,bq-sr vs br-sr,112,0.3913,0.0363,0.8235
verse-long,0.07,br-sq vs br-sr,112,0.5034,0.0363,0.7143
verse-long,0.09,bq-sq vs bq-sr,144,0.3091,0.0471,0.7436
verse-long,0.09,bq-sq vs br-sq,144,0.3211,0.0471,0.8378
verse-long,0.09,bq-sq vs br-sr,144,0.3272,0.0471,0.6923
verse-long,0.09,bq-sr vs br-sq,144,0.2203,0.0471,0.7
verse-long,0.09,bq-sr vs br-sr,144,0.3913,0.0471,0.7838
verse-long,0.09,br-sq vs br-sr,144,0.5484,0.0471,0.7838
verse-long,0.1,bq-sq vs bq-sr,160,0.3061,0.0526,0.7949
verse-long,0.1,bq-sq vs br-sq,160,0.3333,0.0526,0.8462
verse-long,0.1,bq-sq vs br-sr,160,0.3333,0.0526,0.8
verse-long,0.1,bq-sr vs br-sq,160,0.2075,0.0526,0.8
verse-long,0.1,bq-sr vs br-sr,160,0.3974,0.0526,0.8462
verse-long,0.1,br-sq vs br-sr,160,0.5166,0.0526,0.9474
verse-single,0.01,bq-sq vs bq-sr,16,1.0,0.005,1.0
verse-single,0.01,bq-sq vs br-sq,16,1.0,0.005,1.0
verse-single,0.01,bq-sq vs br-sr,16,1.0,0.005,1.0
verse-single,0.01,bq-sr vs br-sq,16,1.0,0.005,1.0
verse-single,0.01,bq-sr vs br-sr,16,1.0,0.005,1.0
verse-single,0.01,br-sq vs br-sr,16,1.0,0.005,1.0
verse-single,0.03,bq-sq vs bq-sr,48,0.9592,0.0152,0.9545
verse-single,0.03,bq-sq vs br-sq,48,0.9592,0.0152,0.9545
verse-single,0.03,bq-sq vs br-sr,48,0.9592,0.0152,0.9545
verse-single,0.03,bq-sr vs br-sq,48,0.92,0.0152,1.0
verse-single,0.03,bq-sr vs br-sr,48,0.9592,0.0152,1.0
verse-single,0.03,br-sq vs br-sr,48,0.9592,0.0152,1.0
verse-single,0.05,bq-sq vs bq-sr,80,0.9512,0.0256,0.963
verse-single,0.05,bq-sq vs br-sq,80,0.9512,0.0256,1.0
verse-single,0.05,bq-sq vs br-sr,80,0.9753,0.0256,1.0
verse-single,0.05,bq-sr vs br-sq,80,0.9048,0.0256,0.963
verse-single,0.05,bq-sr vs br-sr,80,0.9512,0.0256,0.963
verse-single,0.05,br-sq vs br-sr,80,0.9512,0.0256,1.0
verse-single,0.07,bq-sq vs bq-sr,112,0.9145,0.0363,1.0
verse-single,0.07,bq-sq vs br-sq,112,0.9478,0.0363,1.0
verse-single,0.07,bq-sq vs br-sr,112,0.9649,0.0363,1.0
verse-single,0.07,bq-sr vs br-sq,112,0.8983,0.0363,1.0
verse-single,0.07,bq-sr vs br-sr,112,0.9145,0.0363,1.0
verse-single,0.07,br-sq vs br-sr,112,0.9478,0.0363,1.0
verse-single,0.09,bq-sq vs bq-sr,144,0.8947,0.0471,1.0
verse-single,0.09,bq-sq vs br-sq,144,0.9329,0.0471,1.0
verse-single,0.09,bq-sq vs br-sr,144,0.9726,0.0471,1.0
verse-single,0.09,bq-sr vs br-sq,144,0.8462,0.0471,1.0
verse-single,0.09,bq-sr vs br-sr,144,0.9073,0.0471,1.0
verse-single,0.09,br-sq vs br-sr,144,0.92,0.0471,1.0
verse-single,0.1,bq-sq vs bq-sr,160,0.8935,0.0526,1.0
verse-single,0.1,bq-sq vs br-sq,160,0.9048,0.0526,1.0
verse-single,0.1,bq-sq vs br-sr,160,0.9512,0.0526,1.0
verse-single,0.1,bq-sr vs br-sq,160,0.8286,0.0526,1.0
verse-single,0.1,bq-sr vs br-sr,160,0.8713,0.0526,1.0
verse-single,0.1,br-sq vs br-sr,160,0.9394,0.0526,1.0
