layer,neuron,value
0,1,2.0382032
0,2,1.5819458
0,3,0.018666906
0,4,1.1004199
0,6,0.13157608
0,8,0.7677942
0,9,0.6488367
0,11,0.6890063
0,12,0.24910156
0,14,0.008282241
0,15,0.020761719
0,16,0.06254402
0,17,0.02276718
0,21,1.230151
0,23,0.778667
0,24,0.44888002
0,25,0.06719593
0,26,0.045106582
0,29,0.31894165
0,31,0.11894043
0,32,0.18361618
0,34,0.70701903
0,36,0.12741898
0,38,0.33225617
1,3,0.057809904
1,4,0.2842936
1,7,0.07623026
1,8,0.24029124
1,11,0.3290675
1,13,0.5757324
1,15,0.055513915
1,17,0.0046069147
1,18,0.18263274
1,20,0.10217686
1,21,0.007972184
1,23,0.110315554
1,24,0.19436462
1,30,0.15921886
1,31,0.17845254
1,33,0.04257034
1,36,0.6412237
1,39,0.025357246
2,0,0.09082024
2,3,0.31698486
2,6,0.12697922
2,7,0.0945842
2,8,0.081296995
2,9,0.3216876
2,10,0.38211364
2,11,0.009547272
2,12,0.3910083
2,15,0.15890205
2,16,0.023809433
2,17,1.5996155
2,18,0.5522507
2,22,0.08723648
2,23,0.13076423
2,24,0.05819664
2,25,0.035693265
2,27,0.391557
2,30,0.33927947
2,32,0.00699234
2,33,0.0077593992
2,34,0.44420564
2,35,0.117060855
2,36,0.034325104
2,39,0.114309385
3,2,0.06787178
3,4,0.38275513
3,6,0.05043438
3,7,0.4164844
3,8,0.12385464
3,12,0.080428734
3,16,0.07935265
3,17,0.028671876
3,18,0.0824338
3,23,0.031321105
3,27,0.15974884
3,28,0.018790588
3,29,0.21469642
3,30,0.09799194
3,31,0.01522377
3,32,0.5288652
3,34,0.861799
3,36,0.38905334
3,37,1.8918213
4,0,0.18819672
4,1,0.0061595915
4,2,0.028388977
4,3,0.05446106
4,4,0.038048897
4,5,0.057179566
4,6,0.03886833
4,7,0.36246705
4,14,0.027548218
4,15,0.39990234
4,19,0.8228296
4,20,0.08485168
4,22,0.10905426
4,25,0.5618469
4,27,0.12847565
4,29,0.006469574
5,0,0.21757141
5,1,0.008491822
5,3,0.050388087
5,4,0.1217025
5,5,0.024566956
5,6,0.07122833
5,7,0.05267147
5,9,0.18863037
5,10,0.1550145
5,11,0.074024655
5,14,0.008053284
5,15,0.5061713
5,16,0.047844697
5,22,0.2835266
5,23,1.176275
5,24,0.39324707
5,31,0.25452843
5,33,0.1580722
5,35,0.0030499268
5,36,0.5422052
6,3,0.2276239
6,6,1.2137458
6,7,0.013749694
6,8,0.102507554
6,10,0.0951123
6,11,0.4333728
6,12,0.36280945
6,15,0.13322388
6,16,0.5636585
6,17,0.24173717
6,18,0.09826172
6,21,0.15571655
6,22,0.07671219
6,23,0.44621825
6,24,0.0076428987
6,25,0.4436133
6,27,0.036289502
6,30,0.22884415
6,31,0.023788529
6,32,0.32605958
6,34,0.043282013
6,37,0.34801146
7,0,1.1659538
7,1,0.0047885133
7,5,0.1996756
7,6,0.7662109
7,7,0.5669812
7,8,0.43437135
7,10,0.052994385
7,12,0.82060945
7,16,0.03057129
7,17,0.22516899
7,19,0.17843078
7,22,2.56245
7,23,0.2761387
7,26,0.12733856
7,28,0.19938354
7,32,0.64315003
7,34,0.8025098
7,37,0.39356515
7,38,0.30643037
8,3,0.10809357
8,5,0.19805664
8,6,1.7397571
8,7,0.14756103
8,9,1.8203906
8,15,0.14535782
8,21,0.62202454
8,22,0.07037552
8,23,4.178506
8,24,0.15117538
8,26,0.32096374
8,27,0.041974794
8,33,0.17948517
8,34,0.9169775
8,36,0.19113739
8,37,0.0027038574
8,38,0.2144574
8,39,0.042342834
9,0,0.009303055
9,1,0.60565674
9,4,0.022911072
9,6,0.062676296
9,7,0.60770476
9,10,1.9296728
9,11,0.01790783
9,14,2.2039697
9,15,0.28427094
9,16,0.3722412
9,18,1.1761909
9,19,0.0025728608
9,20,0.31938294
9,21,0.27046174
9,27,0.19598679
9,29,0.8964478
9,30,0.030041542
9,37,1.0158899
10,0,0.25429198
10,3,0.032425042
10,6,0.035261
10,11,1.3469831
10,13,5.7489843
10,15,0.3517816
10,17,0.023843154
10,19,0.14914948
10,21,0.18852119
10,22,0.934043
10,23,0.2548297
10,25,0.1747406
10,29,0.0104335025
10,31,1.0906128
10,36,0.12816375
10,37,0.06384308
10,38,0.32288942
11,2,0.09965942
11,3,0.4814209
11,4,0.079673156
11,5,4.0415235
11,8,1.1322052
11,11,1.8492956
11,13,0.26964843
11,15,0.5710443
