layer,neuron,value
1,13,0.7648602
3,7,0.8745654
8,25,0.622594
9,9,0.8338707
9,14,0.6694287
10,13,1.116272
10,22,2.559043
10,27,2.801106
10,30,1.3541138
10,34,0.6357785
11,19,0.6120535
11,23,0.9568677
11,27,0.9353662
11,28,0.69615114
11,34,0.70722747
12,1,3.345547
12,20,0.98413575
12,37,1.1693823
13,0,3.919082
13,4,2.0842578
13,6,1.0734326
13,10,4.442383
13,22,0.97492677
13,26,1.9048401
13,27,3.6636267
13,30,0.7830566
13,37,0.7140576
14,1,1.0378234
14,5,1.5173901
14,7,0.87023985
14,9,0.61186033
14,16,0.73641753
14,17,1.6095154
14,20,0.70279783
14,25,0.70999146
14,34,1.8665185
14,37,0.83132356
15,3,2.33359
15,10,3.6187012
15,13,1.5586988
15,16,1.6979773
15,17,2.9520922
15,20,1.7007568
15,25,1.0566919
15,31,0.6605823
16,2,0.7166309
16,5,2.6625025
16,7,1.5269433
16,15,4.0639057
16,18,1.932832
16,20,0.8146594
16,35,0.6395686
16,38,1.1719133
17,2,1.2133179
17,3,2.520105
17,10,2.6805909
17,11,0.8681885
17,13,0.60460204
17,14,2.7187436
17,16,1.9271092
17,23,1.9576586
17,33,0.9199078
17,34,2.319884
17,36,1.6177661
17,38,0.80782837
18,14,2.0584228
18,16,1.1982068
18,17,2.1201234
18,23,0.98276246
18,29,1.75719
18,33,2.2175097
18,36,3.6680908
19,0,1.1961426
19,3,15.095078
19,7,2.2410522
19,9,2.787174
19,16,2.3114502
19,20,1.527666
19,21,1.6804252
19,27,4.8843946
19,30,1.3958545
19,36,3.4338965
19,38,3.8842847
20,17,10.646523
20,18,1.2987695
20,20,1.5456592
20,21,5.4392185
20,23,3.1913476
20,24,4.282539
20,25,2.9391992
20,26,1.3296301
20,27,2.8654296
20,31,2.025
20,38,1.0368701
21,0,1.137389
21,5,0.6499133
21,9,1.6848031
21,10,1.3068615
21,14,2.2461329
21,17,1.059441
21,19,4.535885
21,21,1.3230249
21,22,2.530874
21,29,3.2738183
21,31,0.9357703
21,33,4.583008
21,34,2.3302393
21,38,12.625781
22,2,15.89375
22,3,2.34937
22,4,1.6086633
22,7,0.92415285
22,9,1.1653125
22,21,0.73562807
22,27,2.8678155
22,35,4.0080376
22,36,4.2999806
23,0,1.1834717
23,3,1.2860281
23,8,1.2226416
23,11,0.97042966
23,26,4.0654297
23,28,2.5086842
23,29,1.2500707
23,30,1.1756811
23,33,0.7773734
23,34,0.9361411
23,37,1.1412011
24,8,0.8501239
24,20,4.442383
24,33,2.248052
24,36,1.630708
25,4,0.7719496
25,7,0.6953186
25,32,1.9789258
25,38,1.9626676
26,1,0.8365918
26,12,2.1673267
26,16,1.3861004
26,37,0.8370392
27,25,2.4082422
27,28,0.9338992
27,31,0.631825
27,33,2.2238085
27,37,1.5566397
28,3,0.930531
28,26,1.0771314
28,34,3.7127345
29,4,0.7569024
29,34,0.84752077
30,0,1.7037915
30,7,1.0329388
30,16,0.82484865
32,3,0.71778685
37,15,1.6989453
37,34,0.67748904
38,12,0.79045683
39,13,0.7650793
39,20,1.0259937
39,29,0.7042297
