layer,neuron,value
0,0,0.0041635702
0,1,0.0666394
0,3,0.008833113
0,4,0.013284454
0,5,0.023706054
0,6,0.03254982
0,8,0.05187012
0,9,0.26409972
0,11,0.16164368
0,12,0.16413884
0,13,0.056122743
0,14,0.007924804
0,15,0.005174713
0,16,0.0030223085
0,19,0.0007714939
0,21,0.093750305
0,22,0.024880828
0,23,0.007384949
0,24,0.061992798
0,25,0.024932442
0,26,0.0193293
0,27,0.09327877
0,29,0.043303832
0,31,0.044960547
0,34,0.15439862
0,35,0.05640793
0,39,0.00088668824
1,4,0.056430664
1,6,0.030694619
1,7,0.010158915
1,8,0.0036172867
1,9,0.016682778
1,13,0.10241181
1,15,0.0140855145
1,16,-0.0028227805
1,19,0.047793884
1,21,0.0122332815
1,23,0.041538086
1,24,0.019278564
1,25,0.03281784
1,27,0.0037045288
1,30,0.03562416
1,31,0.01921257
1,32,0.023579387
1,33,-0.0031759643
1,34,0.008807526
1,35,0.0020169448
1,36,0.005271759
1,37,0.010087395
1,39,0.012406158
2,2,0.0060484316
2,7,0.0027293395
2,8,0.07221649
2,9,0.026730651
2,12,0.050186463
2,18,0.067543335
2,21,-0.0017321777
2,22,0.018374633
2,23,0.00665638
2,25,0.0040120697
2,26,0.008443265
2,27,0.007045746
2,29,0.03212143
2,31,0.017819442
2,34,0.05757843
2,35,0.05637619
2,36,0.0139791295
2,37,0.09712768
2,38,0.0019268799
3,2,-0.0022424983
3,8,0.0105624385
3,12,0.0017488289
3,13,0.002852893
3,16,0.0673172
3,18,0.04506096
3,19,0.08930847
3,21,0.006693497
3,22,0.10703918
3,23,0.0015410662
3,26,0.0006165266
3,27,0.0057184603
3,28,0.013481512
3,29,0.014716301
3,30,0.041158903
3,31,0.040168036
3,32,0.044854738
3,33,0.0467252
3,34,0.15735169
3,36,0.045666657
3,37,0.051112402
4,0,0.07090588
4,2,0.23216277
4,3,0.30269653
4,4,0.0134191895
4,5,0.03385956
4,6,0.00077702524
4,7,-0.003152466
4,10,0.0019120788
4,11,0.067640685
4,13,0.037593365
4,16,0.02945364
4,22,0.18435699
4,23,0.0018722344
4,29,0.004268818
4,31,0.09623184
4,33,0.027215004
4,34,0.15257813
4,35,0.002913971
4,38,0.012023377
5,0,0.02579958
5,4,0.040963747
5,5,0.025784263
5,10,0.072207905
5,12,0.031608544
5,13,0.09885315
5,14,0.030945282
5,15,0.15460998
5,19,0.105272524
5,22,0.11690476
5,23,0.016477661
5,24,-0.0017352295
5,25,0.022666167
5,27,0.00048069
5,31,0.1647467
5,33,0.042159155
5,35,0.058601454
5,37,0.0076093865
6,5,0.027817735
6,7,0.013833618
6,8,0.045595206
6,13,-0.0020184326
6,16,0.11981689
6,17,0.043831863
6,18,0.03741333
6,19,0.5937637
6,20,0.011300278
6,25,0.07571465
6,32,0.05692444
6,33,0.053362772
6,34,0.021894379
6,36,0.015668582
6,38,-0.0035174561
6,39,0.2137941
7,4,0.01275032
7,5,0.01626465
7,10,0.023425598
7,11,0.01066576
7,12,0.15313484
7,13,0.055818863
7,14,0.072829746
7,18,0.12213561
7,20,0.040685426
7,23,0.07110777
7,24,0.07815323
7,26,0.09512696
7,28,0.034503404
7,31,0.012610474
7,36,0.05632126
8,2,0.20163895
8,4,0.20801087
8,5,0.066422425
8,7,0.026502533
8,8,0.034867782
8,9,0.051858902
8,10,0.038567353
8,13,0.010098725
8,15,0.014978332
8,19,0.11155014
8,22,0.0312014
8,23,0.025581054
8,25,0.007860107
8,26,0.46639404
8,28,0.16243419
8,29,0.27884296
8,30,0.06584335
8,32,0.054842833
8,33,0.05016159
8,38,-0.0020407485
9,0,-0.003366585
9,7,0.050942916
9,9,0.5394031
9,10,0.040737305
9,11,0.016573448
9,12,0.017511902
9,14,0.29116905
9,15,0.008028469
9,16,0.17332642
9,17,0.039006423
9,18,0.12529312
9,20,0.008237305
9,26,0.53458863
9,27,0.19351597
9,28,-0.0026046752
9,35,-0.003086319
9,38,0.10743622
10,0,0.0027154542
10,2,0.05766113
10,7,0.09310181
10,8,0.055140685
10,9,0.03862747
10,10,0.13940033
10,12,-0.0027819825
10,13,0.028012848
10,15,0.07456619
10,17,0.031535722
10,20,0.0602956
10,22,0.476029
10,24,0.07952843
10,25,0.050809328
10,27,0.15825805
10,28,0.033279493
10,30,0.3272217
10,34,0.07886223
10,35,-0.0014633179
10,38,0.01989975
11,0,0.020315628
11,2,0.05432907
11,3,0.0015761566
11,4,0.034520265
11,5,0.2072377
11,7,0.13002564
11,8,0.011553344
11,10,0.4412474
11,11,0.086535566
11,12,0.0141394045
11,13,0.28098556
11,16,0.2188124
11,17,0.0440152
11,20,0.5215596
11,24,0.054320756
11,25,0.39880982
11,27,0.05228073
11,28,0.7430885
11,29,0.062120363
11,32,0.17032959
11,34,0.17676422
11,36,0.008293534
11,38,0.15818024
11,39,0.28013793
12,1,0.72514987
12,2,0.13931793
12,3,0.23132919
12,5,0.07824463
12,8,0.20588806
12,10,1.2810984
12,13,0.35457763
12,20,0.5845573
12,24,0.3749951
12,25,0.011217041
12,26,0.0503537
12,27,0.027202493
12,29,0.25567994
12,30,0.1837915
12,31,0.01969041
12,32,0.116853334
12,36,0.256221
12,38,0.11650413
13,0,0.16615173
13,2,0.4651384
13,3,0.026675414
13,4,0.40211946
13,5,0.29435387
13,9,0.5551448
13,10,0.06344391
13,11,0.6211002
13,13,0.16401
