layer,neuron,value
0,1,0.025209779
0,6,0.0011071968
0,9,0.007429619
0,11,0.0010293149
0,14,0.0006899938
0,15,0.008109665
0,16,0.0005172481
0,17,0.00017754495
0,18,0.010377102
0,21,0.0054832078
0,29,0.0023128414
0,33,0.009352245
0,34,0.0005961746
0,39,0.0011524868
1,0,0.0002180624
1,4,0.00079880713
1,7,0.0004162097
1,9,0.002350918
1,10,0.0011050535
1,13,0.00090067147
1,18,0.00033914804
1,24,0.0010934792
1,31,0.0011392438
1,32,0.00021479308
1,33,0.0002492118
1,36,0.002094257
1,38,0.00048034667
2,1,0.00026786505
2,5,0.0015067238
2,7,0.0004932821
2,9,0.002191838
2,11,0.0003948355
2,14,0.0022220684
2,17,0.00035119057
2,18,0.0016553142
2,20,0.00086197583
2,22,0.00043719768
2,23,0.00019761562
2,24,0.00047550647
2,27,0.00025490404
2,29,0.0050139762
2,30,0.004781678
2,34,0.00033871533
2,35,0.0009794164
2,37,0.0038953496
2,38,0.00043852685
2,39,0.00020583392
3,2,0.0003563392
3,3,0.0005678761
3,4,0.0003152418
3,5,0.0022037458
3,6,0.0071961675
3,7,0.005108726
3,9,0.0032588113
3,10,0.000763092
3,12,0.0007074118
3,13,0.0028144182
3,15,0.00018129326
3,19,0.00026294083
3,21,0.00018394887
3,22,0.0047075367
3,23,0.0003536673
3,24,0.004818735
3,26,0.0002017951
3,27,0.00027883827
3,29,0.001959262
3,30,0.0018627894
3,33,0.0030721582
3,35,0.0057010558
3,36,0.00060190976
3,37,0.008026844
3,38,0.015174256
3,39,0.0011856795
4,2,0.000516417
4,4,0.0004229387
4,9,0.0031902492
4,11,0.0033857394
4,13,0.00017955065
4,17,0.0012135935
4,19,0.0053394283
4,20,0.00053394673
4,21,0.0013100671
4,22,0.006163788
4,24,0.008203878
4,29,0.00045030474
4,30,0.006995325
4,32,0.0008224076
4,33,0.0015513992
4,34,0.009708586
4,37,0.00047797084
4,38,0.0002572727
4,39,0.0040651606
5,1,0.001040287
5,2,0.001252451
5,3,0.00019177317
5,4,0.0034060127
5,5,0.0032400466
5,7,0.0028536462
5,14,0.0009412432
5,16,0.00032482625
5,18,0.0008142686
5,20,0.0031235456
5,21,0.0015679812
5,22,0.0013540364
5,23,0.00904948
5,28,0.0018706631
5,29,0.00031117751
6,2,0.0033694743
6,4,0.008191967
6,6,0.0019596792
6,7,0.0020747185
6,8,0.002283657
6,9,0.0026740264
6,11,0.007183442
6,12,0.0020201134
6,14,0.0006370068
6,16,0.009833356
6,17,0.0026151848
6,18,0.00073850394
6,19,0.005897419
6,26,0.0050346707
6,27,0.00051526097
6,28,0.0003998518
6,34,0.001426897
6,36,0.0006121254
6,38,0.0036429786
6,39,0.0014285767
7,1,0.00034236908
7,2,0.0025996184
7,3,0.000994246
7,5,0.003292167
7,8,0.0020257998
7,11,0.00024013162
7,14,0.00032879054
7,18,0.005973606
7,20,0.0026915872
7,24,0.0018746448
7,25,0.0006782758
7,26,0.0002092123
7,27,0.001351192
7,29,0.003085327
7,30,0.003987881
7,32,0.0014549041
7,36,0.0020727825
7,38,0.00017757236
7,39,0.00047310413
8,2,0.0015987015
8,3,0.00061062915
8,7,0.00046808063
8,9,0.0011707926
8,11,0.00030220748
8,20,0.0022364997
8,23,0.0006218016
8,27,0.00036569595
8,31,0.00048929633
8,33,0.00229553
8,34,0.0054441453
8,38,0.0030482912
9,0,0.00042466045
9,1,0.019131385
9,2,0.005108657
9,8,0.00057068584
9,9,0.025829315
9,11,0.0027252268
9,13,0.004197293
9,14,0.012209206
9,15,0.0020497781
9,16,0.015289308
9,19,0.006463213
9,22,0.0015940141
9,23,0.0035058975
9,25,0.0011032772
9,27,0.0031516266
9,28,0.012083931
9,29,0.014802861
9,37,0.0009998018
9,38,0.0008128214
10,0,0.021524258
10,1,0.0007434368
10,8,0.0077161025
10,11,0.00073042454
10,12,0.0035845183
10,14,0.001287756
10,15,0.0042635966
10,17,0.0019942475
10,18,0.009748077
10,19,0.00057120324
10,22,0.007113347
10,23,0.0042050863
10,26,0.001293596
10,27,0.0008748102
10,28,0.0028720188
10,32,0.0014812279
10,33,0.003775822
10,35,0.0006300044
11,3,0.0019758963
11,6,0.0015678883
11,7,0.004660206
11,10,0.0030604647
11,12,0.0006634426
11,13,0.0037549308
11,14,0.0024103855
11,18,0.003978996
11,20,0.09821463
11,24,0.0005604172
11,27,0.0018361282
11,28,0.013221455
11,29,0.005502765
11,31,0.0014183798
11,33,0.00078619004
11,35,0.00031790018
11,37,0.027381133
12,0,0.02912444
12,1,0.0053086425
12,2,0.005247469
12,7,0.015966378
12,10,0.008381004
12,11,0.0106003955
12,13,0.0069445227
12,16,0.0036073495
12,22,0.007289133
12,23,0.0027649999
12,25,0.0012791526
12,27,0.003794744
12,29,0.0030034566
12,31,0.0022213173
12,32,0.035076447
12,33,0.0395887
12,34,0.002995248
12,35,0.0003278327
12,36,0.013246145
12,38,0.0025857103
13,1,0.013120041
13,3,0.00067771913
13,4,0.0053879167
13,6,0.004247551
13,7,0.029400844
13,8,0.001976576
13,9,0.004079089
13,13,0.02435873
13,14,0.008748741
13,15,0.0052179145
13,17,0.0032146024
13,20,0.00095189834
13,21,0.001205349
13,22,0.024630966
13,23,0.0005600977
13,24,0.00030157686
13,25,0.005679264
13,27,0.0027749634
13,30,0.000695858
13,32,0.00047675133
13,34,0.0026698255
13,36,0.0066408156
13,37,0.00229228
13,38,0.019519996
14,0,0.014653874
14,1,0.066031344
14,2,0.001180861
14,3,0.00026682377
14,5,0.010725212
14,6,0.057998583
14,7,0.035017155
14,9,0.013839054
14,11,0.0029264642
14,12,0.008895561
14,15,0.0046825265
14,22,0.040457305
14,23,0.00088408473
14,24,0.005031433
14,26,0.007824135
14,27,0.0032174778
14,28,0.00081627205
14,30,0.009700737
14,31,0.01950451
14,32,0.029746933
14,34,0.005112381
14,35,0.00024521648
14,36,0.016752167
15,0,0.051021405
15,2,0.017712874
15,3,0.017935028
15,6,0.006245885
15,7,0.008607779
15,9,0.026766319
15,12,0.010242806
15,14,0.060035974
15,16,0.0423645
15,20,0.04681259
15,24,0.10468247
15,25,0.051658858
15,27,0.0036943818
15,28,0.018603297
15,31,0.002053132
15,35,0.013815207
15,36,0.025637016
15,37,0.25748077
16,0,0.01199604
16,2,0.009850988
16,5,0.041949462
16,6,0.00989994
16,8,0.07635254
16,10,0.015363038
16,12,0.08997993
16,13,0.018515358
16,14,0.10399765
16,16,0.0029118347
16,17,0.013871477
16,21,0.027858157
16,22,0.037631072
16,23,0.14368896
16,24,0.00032342912
16,25,0.007986841
16,30,0.017409135
16,32,0.017100783
16,33,0.0019185782
16,34,0.028628387
16,37,0.020324593
16,38,0.010653155
17,2,0.026481552
17,3,0.023167556
17,4,0.01686081
17,5,0.14273693
17,6,0.01001215
17,7,0.04913318
17,8,0.0570224
17,9,0.017376557
17,10,0.046290893
17,11,0.011005783
17,14,0.059716873
17,15,0.0050069047
17,16,0.027300395
17,17,0.0045434856
17,19,0.012708835
17,21,0.27557805
17,25,0.00079940795
17,27,0.07802193
17,30,0.019991187
17,32,0.04451931
17,33,0.04027568
17,35,0.0034783173
17,36,0.0066502187
17,38,0.008954163
18,0,0.028871346
18,3,0.18333755
18,4,0.029824963
18,6,0.06696528
18,12,0.3165497
18,13,0.03200485
18,15,0.096152134
18,16,0.0041374206
18,17,0.0371451
18,18,0.041010782
18,19,0.013863697
18,20,0.046315614
18,21,0.04255457
18,23,0.026139079
18,24,0.09301384
18,25,0.00845665
18,28,0.0016458607
18,30,0.04111551
18,31,0.0519833
18,32,0.030210571
18,33,0.013723297
18,34,0.00062016485
18,36,0.023517475
18,39,0.0007567787
19,0,0.03401016
19,1,0.08078411
19,4,0.0022945404
19,5,0.21490997
19,6,0.0032524872
19,8,0.1379178
19,9,0.008017158
19,11,0.024311237
19,12,0.108320385
19,14,0.15861587
19,16,0.10984039
19,17,0.08957733
19,18,0.051204644
19,21,0.023134843
19,23,0.000897094
19,24,0.0017067146
19,28,0.002074127
19,30,0.19915386
19,31,0.002085991
19,32,0.02951643
19,36,0.0049108886
19,38,0.031577226
19,39,0.030898819
20,3,0.010769349
20,4,0.024817733
20,8,0.0028665161
20,9,0.020284595
20,12,0.16100006
20,15,0.019971352
20,16,0.05968765
20,17,0.019373989
20,18,0.27868682
20,19,0.028539734
20,22,0.04870634
20,23,0.008926506
20,26,0.08402725
20,29,0.0055263327
20,30,0.12017471
20,31,0.09486465
20,32,0.033889007
20,33,0.014396057
20,36,0.049582213
20,37,0.013201389
20,38,0.0044569112
20,39,0.053619996
21,0,0.23651397
21,1,0.029871674
21,5,0.021332854
21,7,0.007522106
21,8,0.0058075855
21,9,0.02316227
21,10,0.067352064
21,11,0.030037003
21,12,0.22021836
21,13,0.032414015
21,17,0.36916322
21,18,0.11417267
21,20,0.0045498274
21,22,0.032726545
21,26,0.011209335
21,28,0.032046814
21,29,0.022584533
21,31,0.090017036
21,32,0.6222488
21,35,0.03256912
21,36,0.045684967
21,37,0.012391529
21,38,0.03952156
21,39,0.03791771
22,1,0.09674103
22,2,0.031542283
22,3,0.048083495
22,5,0.071139984
22,6,0.0029393076
22,11,0.058724433
22,12,0.063663594
22,13,0.42623398
22,14,0.5796332
22,16,0.06637293
22,17,0.05908573
22,19,0.16998963
22,20,0.013545666
22,21,0.15947983
22,25,0.019004907
22,26,0.6621619
22,28,0.0007365644
22,31,0.025188522
22,32,0.0057556154
22,33,0.05313965
22,34,0.01971892
22,35,0.07621788
22,36,0.1968274
22,38,0.095499575
22,39,0.026008682
23,0,0.98823243
23,2,0.03613599
23,3,0.080335386
23,4,0.11071116
23,7,2.3917382
23,8,0.060817413
23,15,0.0021656447
23,19,0.0016304016
23,21,0.016626049
23,22,0.0016610718
23,23,0.0038168097
23,28,0.012555933
23,29,0.0014832687
23,32,0.009093578
23,33,0.010624685
23,34,0.5041417
