layer,neuron,value
0,11,0.5311328
0,12,0.632168
0,27,0.8031311
3,37,0.7483057
4,11,0.7146274
6,38,0.63999057
8,16,6.967969
8,26,0.7608618
9,2,0.78085905
9,5,0.6345972
9,26,1.3588476
10,30,1.0303955
10,39,0.5801868
11,25,1.647488
11,26,1.520166
11,28,0.99198365
11,29,0.6674472
11,32,0.7735144
12,0,0.91717774
12,10,0.94031495
12,20,0.5612866
12,33,1.5038366
13,11,0.637785
13,22,1.5977184
13,37,1.1500449
14,4,1.7217861
14,9,1.0167725
14,10,0.78414184
14,15,5.101201
14,36,0.9986548
15,9,1.6618335
15,11,0.73789823
15,17,0.6445203
15,26,0.7597046
15,29,1.7070459
15,30,7.1296096
15,32,0.91900027
16,0,0.6919348
16,2,0.89734924
16,13,1.1704708
16,15,4.6182866
16,17,1.0863706
16,20,1.3320361
16,21,3.3926172
16,24,0.7750128
16,34,0.60741943
17,1,1.8545129
17,2,2.109785
17,8,1.6370922
17,23,0.7917676
17,28,0.806156
17,30,2.719961
17,34,1.668407
17,36,0.9005603
17,38,1.089198
18,0,6.718672
18,2,0.90803957
18,3,1.0750854
18,5,1.3624512
18,7,2.159335
18,12,2.5949023
18,20,0.71252805
18,27,1.0364596
18,30,0.6609619
18,31,0.64898103
18,36,0.6516522
18,38,4.8553123
18,39,2.3072252
19,1,1.0053052
19,3,15.55625
19,5,1.1150393
19,8,0.9469275
19,9,2.6209252
19,12,1.2116113
19,14,1.1594446
19,16,2.689121
19,17,0.760647
19,29,12.75811
19,38,1.0689899
20,1,1.7997192
20,3,2.8526886
20,12,1.0026795
20,17,18.4075
20,20,0.9203322
20,21,1.450625
20,24,2.169624
20,28,0.6823273
21,10,6.7553515
21,13,3.170576
21,14,1.1064306
21,21,3.218545
21,22,1.0487671
21,24,5.068203
21,34,6.5086718
21,36,0.73445374
22,2,2.6838868
22,3,7.6322656
22,7,1.26354
22,9,0.7912439
22,18,1.2409863
22,25,0.8953247
22,27,1.647788
22,35,1.9241503
23,11,1.483634
23,12,0.7887085
23,13,4.3425
23,15,0.76894224
23,26,4.266035
24,8,0.5803876
24,20,2.6357617
24,31,0.57374084
24,36,1.3619689
25,4,2.3524392
25,6,1.0810938
25,30,2.2777147
25,31,3.8221095
25,32,0.59888613
26,1,1.9237744
26,2,1.3414203
26,12,0.82353514
26,16,2.0753765
26,23,0.65616137
26,24,1.0789038
26,32,1.0315485
26,34,1.5194507
26,37,0.69811434
27,6,0.7106555
27,25,1.7325097
27,28,2.077334
27,33,4.394453
28,1,0.75369143
28,14,0.867439
28,20,0.842334
28,34,2.0030541
29,34,0.53833616
30,5,1.4357727
32,11,0.6797864
32,26,0.973833
33,11,0.97119814
36,33,1.1416333
37,15,1.7860694
38,1,0.9499463
38,11,1.4915643
38,12,1.2623438
