layer,neuron,value
12,33,3.4146874
13,4,2.7602856
14,9,7.1284375
14,22,2.3878906
15,3,12.462812
15,11,1.6604493
15,30,9.065312
16,1,3.9972363
16,3,2.2643409
16,5,3.4152343
16,15,3.9375196
16,19,2.9389184
17,8,2.2934644
17,30,14.976993
17,34,7.2210546
18,0,5.9976172
18,16,2.6788867
18,21,4.5870705
18,28,1.9548438
18,37,2.5379686
18,38,2.3219385
19,0,3.1597462
19,8,4.453945
19,9,2.3377426
19,15,2.5727136
19,29,9.397031
19,38,3.6561134
20,0,3.4733496
20,3,1.8930273
20,16,2.3551905
20,17,2.275011
20,24,4.6759324
20,27,2.6558886
20,33,5.07375
21,4,5.049175
21,34,8.48875
21,35,2.7884083
21,38,2.3612745
22,2,2.1963642
22,9,1.9590222
22,17,2.4324439
22,36,3.592666
23,15,2.0161035
23,33,2.3375463
24,16,3.4942932
25,38,1.7072492
26,23,1.8483282
30,21,2.148169
