model,localization,layer,head,eigval_real,eigval_imag,eigval_mag,is_real,concentration
Qwen1.5-32B-Chat,from_verse-long_to_prose,41,38,0.8557090759277344,0.0,0.8557090759277344,True,0.024735141545534134
Qwen1.5-32B-Chat,from_verse-long_to_prose,41,9,1.3964446783065796,0.0,1.3964446783065796,True,0.10895434767007828
Qwen1.5-32B-Chat,from_verse-long_to_prose,46,26,-0.5242537260055542,0.0,0.5242537260055542,True,0.0339953787624836
Qwen1.5-32B-Chat,from_verse-long_to_prose,44,17,0.7609614133834839,0.05448899790644646,0.7629097700119019,False,0.06502417474985123
Qwen1.5-32B-Chat,from_verse-long_to_prose,45,17,0.5404555201530457,0.042248375713825226,0.5421043038368225,False,0.033562012016773224
Qwen1.5-32B-Chat,from_verse-long_to_prose,43,17,1.2054566144943237,0.0,1.2054566144943237,True,0.06309981644153595
Qwen1.5-32B-Chat,from_verse-long_to_prose,46,17,0.4670809209346771,0.47436219453811646,0.6657207012176514,False,0.02770797163248062
Qwen1.5-32B-Chat,from_verse-long_to_prose,43,14,1.0570318698883057,0.06548207998275757,1.0590581893920898,False,0.03177080303430557
Qwen1.5-32B-Chat,from_verse-long_to_prose,41,11,0.838683009147644,0.0,0.838683009147644,True,0.022214947268366814
Qwen1.5-32B-Chat,from_verse-long_to_prose,41,24,1.0012750625610352,0.0,1.0012750625610352,True,0.040472764521837234
Qwen1.5-32B-Chat,from_verse-long_to_prose,38,6,1.3305988311767578,0.011645074002444744,1.330649733543396,True,0.01744117960333824
Qwen1.5-32B-Chat,from_verse-long_to_prose,41,28,0.3940364718437195,-0.11411043256521225,0.4102266728878021,False,0.027035238221287727
Qwen1.5-32B-Chat,from_verse-long_to_prose,41,35,-0.7028647065162659,0.11870485544204712,0.7128180265426636,False,0.022867176681756973
Qwen1.5-32B-Chat,from_verse-long_to_prose,44,7,-0.6090836524963379,0.0,0.6090836524963379,True,0.024254918098449707
Qwen1.5-32B-Chat,from_verse-long_to_prose,41,18,-2.546738624572754,0.0,2.546738624572754,True,0.08314236253499985
Qwen1.5-32B-Chat,from_verse-long_to_prose,41,22,-1.3853849172592163,0.0,1.3853849172592163,True,0.04015274718403816
Qwen1.5-32B-Chat,from_verse-long_to_prose,38,24,0.7265494465827942,-0.09996132552623749,0.7333937287330627,False,0.024554327130317688
Qwen1.5-32B-Chat,from_verse-long_to_prose,41,0,1.1514004468917847,0.0,1.1514004468917847,True,0.04460893198847771
Qwen1.5-32B-Chat,from_verse-long_to_prose,41,7,1.7026287317276,0.0,1.7026287317276,True,0.052609920501708984
Qwen1.5-32B-Chat,from_verse-long_to_prose,42,24,0.82912677526474,0.0,0.82912677526474,True,0.03689129278063774
Qwen1.5-32B-Chat,from_verse-single_to_prose,41,24,1.0012750625610352,0.0,1.0012750625610352,True,0.040472764521837234
Qwen1.5-32B-Chat,from_verse-single_to_prose,41,21,0.5938524007797241,-0.1354912966489792,0.6091129183769226,False,0.03487246856093407
Qwen1.5-32B-Chat,from_verse-single_to_prose,39,7,0.5981078147888184,-0.031372953206300735,0.5989300608634949,False,0.0314105860888958
Qwen1.5-32B-Chat,from_verse-single_to_prose,40,28,0.4719887375831604,0.0,0.4719887375831604,True,0.044055741280317307
Qwen1.5-32B-Chat,from_verse-single_to_prose,38,0,1.116633653640747,0.0,1.116633653640747,True,0.05536452308297157
Qwen1.5-32B-Chat,from_verse-single_to_prose,41,14,-0.966594934463501,0.0,0.966594934463501,True,0.03987175598740578
Qwen1.5-32B-Chat,from_verse-single_to_prose,19,12,0.6442854404449463,0.0,0.6442854404449463,True,0.04026433080434799
Qwen1.5-32B-Chat,from_verse-single_to_prose,40,0,0.7720149159431458,0.6211794018745422,0.9908940196037292,False,0.10104639828205109
Qwen1.5-32B-Chat,from_verse-single_to_prose,38,9,1.1366336345672607,0.0,1.1366336345672607,True,0.027637165039777756
Qwen1.5-32B-Chat,from_verse-single_to_prose,38,16,-0.36352917551994324,0.6073132157325745,0.707801342010498,False,0.07726822048425674
Qwen1.5-32B-Chat,from_verse-single_to_prose,38,13,0.6632664203643799,0.0,0.6632664203643799,True,0.05489029362797737
Qwen1.5-32B-Chat,from_verse-single_to_prose,43,6,-1.0730773210525513,0.0,1.0730773210525513,True,0.03032568097114563
Qwen1.5-32B-Chat,from_verse-single_to_prose,39,30,0.9182539582252502,0.0,0.9182539582252502,True,0.09278836101293564
Qwen1.5-32B-Chat,from_verse-single_to_prose,39,27,-1.6467828750610352,0.0,1.6467828750610352,True,0.021120747551321983
Qwen1.5-32B-Chat,from_verse-single_to_prose,39,31,0.8470900654792786,0.0,0.8470900654792786,True,0.045103926211595535
Qwen1.5-32B-Chat,from_verse-single_to_prose,40,12,0.7999663352966309,0.0,0.7999663352966309,True,0.02083083987236023
Qwen1.5-32B-Chat,from_verse-single_to_prose,41,19,-0.36556488275527954,0.260669082403183,0.448983371257782,False,0.035761233419179916
Qwen1.5-32B-Chat,from_verse-single_to_prose,39,36,1.7054405212402344,0.0,1.7054405212402344,True,0.015324685722589493
Qwen1.5-32B-Chat,from_verse-single_to_prose,43,14,1.0570318698883057,0.06548207998275757,1.0590581893920898,False,0.03177080303430557
Qwen1.5-32B-Chat,from_verse-single_to_prose,41,15,-0.06071339547634125,0.45465031266212463,0.45868614315986633,False,0.02484719082713127
