layer,neuron,value
0,0,0.00095410645
0,2,0.0014197683
0,3,3.6851765e-05
0,4,0.0009510398
0,6,0.009153962
0,9,0.00022444248
0,11,0.0019071532
0,16,0.00051811396
0,17,0.00033051491
0,18,0.013655024
0,19,0.000109385845
0,25,0.0013157773
0,26,0.0034494412
0,33,0.014913998
0,36,0.0002830714
0,39,0.0020737397
1,1,0.002048567
1,3,0.0018075227
1,4,0.00233147
1,6,0.00025005697
1,8,0.0012666845
1,11,0.006329858
1,13,0.0018879795
1,14,0.00015934616
1,16,0.0007869649
1,17,0.00051066634
1,18,0.00710071
1,19,2.584219e-05
1,20,0.0010791862
1,21,0.00073308824
1,23,0.0012459421
1,25,0.0050431695
1,30,0.0067757247
1,31,0.0034846473
1,34,0.00070237904
1,35,0.00042906523
1,38,0.00058717787
1,39,0.0019883537
2,0,-6.0892107e-06
2,1,0.0004029548
2,3,0.0019162464
2,4,0.012060737
2,6,0.00082313776
2,11,0.0018157768
2,12,0.014437587
2,13,0.0048419954
2,14,0.0031711268
2,19,0.0026353835
2,21,0.011424942
2,24,0.0012529301
2,29,0.0057614897
2,30,0.0025225924
2,31,0.0017842687
2,32,0.0011480435
2,35,0.0016464425
2,37,0.008461304
3,0,0.0024749904
3,2,0.00038346887
3,7,0.008638764
3,8,4.5194625e-05
3,10,0.0075718975
3,11,0.0032528685
3,14,0.006917229
3,18,0.0032417392
3,20,0.00080621004
3,22,0.01544012
3,23,0.0006517291
3,24,0.009944934
3,26,0.0015390086
3,27,0.00031076194
3,29,7.193685e-05
3,30,0.0108647635
3,32,0.0012353134
3,33,0.00056987285
3,35,0.091329426
3,36,0.012925854
4,1,0.00042309283
4,2,0.008320923
4,3,0.03148079
4,7,0.014579865
4,8,0.012348847
4,9,0.00300035
4,11,0.00019377231
4,12,0.006262913
4,14,0.0061178063
4,19,9.413615e-05
4,20,0.0039213086
4,21,0.043030586
4,23,0.00025175273
4,25,0.008154335
4,26,0.007512703
4,28,0.004625099
4,31,0.009408045
4,35,0.00058860483
4,38,0.0015688955
4,39,0.0015743216
5,1,0.00022689819
5,2,0.004206805
5,3,0.00089300424
5,4,0.0016514397
5,5,0.0011844253
5,9,0.008140746
5,12,0.003565222
5,13,0.004328525
5,15,0.00994709
5,17,0.00388237
5,19,0.0016606998
5,20,7.900462e-05
5,21,0.0003819704
5,23,0.0017885542
5,24,0.0008834499
5,25,0.0020638548
5,27,0.00093689444
5,28,0.007909241
5,32,0.010893402
5,33,0.00079125405
5,34,0.0029040242
5,36,0.0029557908
5,37,0.0019381815
5,39,0.0014976597
6,0,0.0015208345
6,1,0.00036559702
6,2,0.0008066374
6,3,0.0028057767
6,11,0.008762512
6,13,0.0014418006
6,16,0.060072288
6,17,0.0033171605
6,18,0.00044821738
6,19,0.0066397856
6,20,0.0102686025
6,21,0.0012324422
6,22,0.00050245284
6,24,0.0016340566
6,27,0.004848237
6,28,0.0040070484
6,29,0.001723504
6,33,0.00796146
6,34,0.005093226
6,37,0.007305094
6,39,0.04035526
7,1,0.005422573
7,4,0.0010498523
7,9,0.0072480775
7,10,0.0004251456
7,13,0.0005700767
7,14,0.00798094
7,15,0.000869025
7,16,0.04205681
7,18,0.003289411
7,20,0.0070248414
7,21,0.022964248
7,22,0.008069954
7,23,0.0030515671
7,26,0.0052342033
7,28,0.0010260725
7,32,0.047148973
7,33,0.0016544247
7,34,0.00087431667
7,37,0.015634717
7,38,0.0023750425
8,1,0.02016368
8,3,0.0008522081
8,4,0.025177907
8,5,0.00828125
8,6,0.0031358146
8,11,0.0005185008
8,12,8.9335444e-05
8,17,0.0022478795
8,18,0.001955719
8,19,0.0036209058
8,24,0.0038293481
8,25,0.002677269
8,26,0.014742298
8,27,0.005346441
8,32,0.005324173
8,34,0.00067985535
8,36,0.0014874362
8,37,0.0072720707
9,1,0.00093528745
9,2,0.00028773784
9,8,0.010914365
9,9,0.013452415
9,11,0.0033832456
9,13,0.0009539485
9,14,9.0093614e-05
9,15,0.0053004264
9,16,9.0038775e-05
9,20,0.01842371
9,22,0.005399208
9,23,0.0049370574
9,24,0.0009506887
9,25,0.00014225482
9,26,0.041519586
9,29,0.05288212
9,30,0.00176548
9,33,0.008143578
9,34,0.0053450824
9,35,0.06993744
9,37,0.001772747
9,38,0.00041092874
10,3,0.007866249
10,5,0.0041061495
10,7,0.007820501
10,8,0.011110511
10,11,0.003019867
10,13,0.00826046
10,15,0.007916651
10,22,0.0002985406
10,24,0.0037362492
10,26,0.011898141
10,27,0.01095263
10,28,0.012660895
10,29,0.0014103573
10,31,0.0012663269
10,34,0.008123989
10,35,0.0020658015
10,38,0.004935112
11,1,0.021554966
11,3,0.07322172
11,5,0.002975049
11,8,0.004005737
11,9,0.0010025979
11,10,0.006454358
11,11,0.15915726
11,12,0.00034917594
11,13,0.0030517578
11,14,0.0013443518
11,15,0.017859936
11,19,0.003595295
11,20,0.0012973499
11,21,0.0033927173
11,22,0.021319123
11,23,0.0055622864
11,26,0.00414608
11,27,0.009818096
11,30,0.0038386346
11,32,0.022444077
11,36,0.009854753
11,38,0.037268315
12,0,0.010970993
12,1,0.01041224
12,5,0.0005713177
12,6,0.004882983
12,7,0.0057365084
12,10,0.0018875194
12,12,0.0018477726
12,15,0.00070062163
12,18,0.008030052
12,19,0.002787156
12,21,0.009374848
12,22,0.08403883
12,24,0.002369008
12,28,0.000540452
12,29,0.07885176
12,32,0.09353294
12,33,0.0286156
12,34,0.010290832
12,37,0.01627059
12,38,0.05220068
13,0,0.027088966
13,3,0.03585129
13,4,0.0015823746
13,7,0.012347908
13,8,0.009743319
13,9,0.005557785
13,10,0.03955351
13,11,0.037798956
13,16,0.00018634558
13,19,0.0031183672
13,21,0.0013660718
13,22,0.002320862
13,23,0.0025653457
13,24,0.06709788
13,26,0.0008656311
13,27,0.007692194
13,28,0.017874127
13,30,0.0035894013
13,31,0.019791307
13,32,0.003006401
14,1,0.0075351857
14,4,0.01037754
14,5,0.001664381
14,8,0.013701353
14,9,0.0064317705
14,10,0.050683327
14,11,0.012422218
14,12,0.0064896084
14,15,0.01686264
14,16,0.01405209
14,17,0.039868783
14,19,0.008370262
14,21,0.009139232
14,23,0.019433212
14,25,0.0034219073
14,28,0.0059930347
14,29,0.012587433
14,31,0.0068197343
14,32,0.0583617
14,34,0.0029716205
14,35,0.005840764
14,36,0.0031245565
14,37,0.0054731355
15,2,0.030004451
15,3,0.02050478
15,4,0.0056874226
15,6,0.06944545
15,7,0.0037319732
15,9,0.0152990725
