layer,neuron,value
0,0,-0.0008383656
0,1,-0.0008087206
0,2,0.0035978889
0,3,5.644858e-06
0,4,0.0017449975
0,5,0.008580904
0,6,-0.00016378165
0,7,-8.157492e-06
0,8,-0.0007918453
0,9,-0.0027962113
0,10,0.00089639454
0,11,0.005203054
0,12,0.0015420341
0,13,0.0004827747
0,14,-0.0002600333
0,15,-0.0027276897
0,16,4.3010714e-06
0,17,-0.00046507298
0,18,0.001658386
0,19,-0.00019263521
0,20,0.00088424206
0,21,-0.013276444
0,22,-0.0012615233
0,23,0.001762379
0,24,0.00016493797
0,25,0.0022916985
0,26,0.0024979115
0,27,-0.0003971529
0,28,0.0012890956
0,29,0.023104524
0,30,3.5429e-06
0,31,0.0013161385
0,32,-0.0019183493
0,33,0.014201789
0,34,-0.0005296564
0,35,0.00017792388
0,36,-0.00068993936
0,37,0.001984315
0,38,0.0062902737
0,39,0.0011162591
1,0,0.0006011123
1,1,0.00105905
1,2,-0.00015178151
1,3,-0.00013003945
1,4,0.0039979983
1,5,-4.550934e-05
1,6,0.00052853586
1,7,-0.00043508588
1,8,2.6208163e-05
1,9,-0.00032156467
1,10,-0.0025211668
1,11,-0.0036255217
1,12,5.8295132e-05
1,13,-0.0019354379
1,14,1.3465881e-05
1,15,0.0005590129
1,16,0.00073351443
1,17,-0.00047625066
1,18,0.0011322534
1,19,0.0061890124
1,20,-0.0010708005
1,21,0.00039783955
1,22,0.0013384133
1,23,-0.0011604142
1,24,0.004555343
1,25,0.00083322707
1,26,0.00088008883
1,27,0.004407885
1,28,-0.0020563412
1,29,-0.0014259267
1,30,-0.00047552347
1,31,0.00077731046
1,32,0.0010297841
1,33,0.0009431326
1,34,0.0023306098
1,35,0.0005794239
1,36,0.002040628
1,37,0.0011335224
1,38,0.001994977
1,39,0.012840195
2,0,-0.00043061734
2,1,-0.0008352068
2,2,-0.0027321149
2,3,0.00077129365
2,4,0.0035890578
2,5,0.0039086007
2,6,-0.0017896676
2,7,-0.0026670361
2,8,0.0015452766
2,9,0.0011152696
2,10,-0.004104097
2,11,0.00046889426
2,12,-0.0015927887
2,13,-0.0023343468
2,14,0.002368908
2,15,-0.0075887106
2,16,-0.0016928816
2,17,0.008182469
2,18,-0.0044200514
2,19,-0.034198456
2,20,0.0027817155
2,21,-0.02937622
2,22,-0.00238945
2,23,0.0010324481
2,24,0.0045718215
2,25,2.8882027e-05
2,26,0.0005176157
2,27,-0.004179497
2,28,0.00058309437
2,29,0.0007962704
2,30,0.010596199
2,31,-0.00015802383
2,32,-0.0039649103
2,33,-0.0014217758
2,34,0.0054052044
2,35,0.0009537113
2,36,0.002399075
2,37,-0.12651825
2,38,-0.0011125564
2,39,-0.0062889196
3,0,-0.0032942272
3,1,-0.0024649191
3,2,-0.0005720258
3,3,0.0017580562
3,4,0.0119303325
3,5,-0.0030777324
3,6,0.008876457
3,7,-0.0014122415
3,8,-0.007879477
3,9,-0.0044492437
3,10,-0.0062386417
3,11,0.026210174
3,12,0.0005957508
3,13,-0.00024678707
3,14,-0.0007334614
3,15,-0.0019441211
3,16,-0.0022012042
3,17,0.0011763573
3,18,0.008456039
3,19,0.004894295
3,20,-0.005217838
3,21,0.0005841875
3,22,-0.015467415
3,23,0.0016689169
3,24,0.027582474
3,25,-0.001941433
3,26,0.00010243654
3,27,-0.006679058
3,28,0.002352535
3,29,-0.00562665
3,30,0.0022873401
3,31,-0.0006385422
3,32,0.04982008
3,33,-0.010928879
3,34,0.0020396805
3,35,-0.010438328
3,36,0.026138764
3,37,8.446217e-05
3,38,0.022797698
3,39,0.00046853066
4,0,0.0036522865
4,1,0.00035098076
4,2,-0.0012752104
4,3,-0.011031456
4,4,0.0024916506
4,5,-0.0070996094
4,6,-0.00028719186
