layer,neuron,value
0,1,0.0022937881
0,4,0.0010146654
0,5,0.0026751894
0,6,0.00040818215
0,8,0.00039896937
0,9,0.00097596407
0,11,0.00349432
0,12,0.0004939067
0,15,0.0013907799
0,20,0.0007218605
0,21,0.021518463
0,26,0.0005762112
0,32,0.0020078158
0,33,0.020908613
0,38,0.002112903
1,1,0.0010158104
1,9,0.003404131
1,11,0.001262815
1,12,0.00038553597
1,14,0.000482589
1,23,0.0006981641
1,31,0.0011092663
1,36,0.00090162246
2,0,0.0009488106
2,2,0.0062635136
2,5,0.0016969251
2,10,0.0028412724
2,13,0.00049466133
2,15,0.00068611593
2,18,0.0035961533
2,23,0.00046292215
2,26,0.0006729627
2,33,0.00074442505
2,34,0.00029769898
2,36,0.002291462
2,37,0.0073171807
3,0,0.0014936829
3,4,0.000838089
3,7,0.0009984889
3,9,0.0024236513
3,12,0.0016389656
3,15,0.0015092349
3,17,0.00079254986
3,19,0.00072757126
3,20,0.0013048482
3,21,0.00793336
3,22,0.008138447
3,23,0.0006881876
3,27,0.0008699037
3,34,0.00030287504
3,37,0.0004315652
4,3,0.0061218906
4,4,0.00066999433
4,5,0.21627243
4,11,0.0011311435
4,17,0.0030627633
4,20,0.0023009682
4,21,0.0030910731
4,30,0.0005589986
4,31,0.004480145
4,33,0.0017974502
4,35,0.002464633
4,36,0.0012120819
4,39,0.0019850773
5,0,0.0057737376
5,3,0.00039056301
5,4,0.0006683278
5,8,0.008855934
5,9,0.01837861
5,11,0.0005947065
5,15,0.03376564
5,17,0.006408546
5,18,0.000302248
5,20,0.0048785117
5,22,0.0041918014
5,25,0.00045949937
5,27,0.00028185488
5,29,0.0054678037
5,31,0.005065937
5,34,0.01236084
5,36,0.0039695315
5,37,0.00025835037
6,0,0.00876791
6,2,0.005456705
6,3,0.01651867
6,4,0.004016352
6,7,0.0043485705
6,9,0.01042862
6,10,0.0031502533
6,11,0.0034164237
6,13,0.0053890417
6,17,0.052658495
6,18,0.00083878456
6,21,0.002846023
6,22,0.0005792916
6,23,0.015573418
6,24,0.0018723428
6,26,0.00071821065
6,29,0.0040061655
6,30,0.0013865494
6,32,0.020005317
6,33,0.0068260576
6,35,0.000928092
6,38,0.0036412
6,39,0.0030181408
7,0,0.0030282973
7,1,0.003451724
7,7,0.036062136
7,8,0.0030417347
7,9,0.0023118115
7,11,0.008941403
7,12,0.0008722413
7,13,0.0025686694
7,15,0.008663893
7,17,0.004797902
7,18,0.0024459565
7,19,0.003573246
7,22,0.02024021
7,23,0.0023458814
7,26,0.0010103607
7,27,0.0016589415
7,28,0.0074318503
7,30,0.00406445
7,31,0.009811478
7,33,0.004349279
7,34,0.00064455986
7,36,0.0033360529
7,37,0.09718952
8,0,0.000439384
8,1,0.0018318177
8,2,0.0013583088
8,4,0.016449137
8,5,0.011901122
8,8,0.0030929423
8,12,0.0014934808
8,13,0.0009213829
8,14,0.0038077116
8,16,0.009313965
8,17,0.0069874097
8,19,0.017366275
8,21,0.046517916
8,22,0.00035615562
8,26,0.0043090056
8,27,0.0052567865
8,30,0.0048925746
8,32,0.0082798675
8,33,0.00057229516
8,34,0.0011440539
8,38,0.005710825
8,39,0.00035950512
9,3,0.00244606
9,8,0.0022895562
9,10,0.00393734
9,11,0.0051137926
9,13,0.008918744
9,15,0.0012679625
9,20,0.027428092
9,22,0.008293476
9,23,0.0019267607
9,25,0.0016703367
9,26,0.01400197
9,27,0.0006926823
9,28,0.00089530885
9,29,0.0023324203
9,30,0.0018991184
9,32,0.005277996
9,34,0.04767021
9,35,0.0011252308
9,39,0.0023904038
10,0,0.0019376373
10,1,0.001667955
10,2,0.0036484457
10,5,0.00958559
10,6,0.001647749
10,7,0.016383529
10,8,0.0073989485
10,10,0.0002997935
10,12,0.018359527
10,15,0.008230781
10,16,0.0020323468
10,17,0.012608591
10,19,0.0044909837
10,20,0.008283808
10,21,0.0048306463
10,23,0.0014128112
10,26,0.011158712
10,27,0.030955048
10,28,0.0013360691
10,29,0.0035401506
10,30,0.004422226
10,31,0.006556392
10,32,0.0016439616
10,37,0.011174011
11,0,0.005543406
11,3,0.041051425
11,4,0.003193779
11,6,0.012159691
11,7,0.019054957
11,9,0.0013401652
11,10,0.020891896
11,15,0.0042339754
11,16,0.0010822201
11,19,0.01659797
11,21,0.0033734846
11,24,0.007795639
11,26,0.0010085535
11,27,0.0030093957
11,30,0.008007102
11,33,0.0037739181
12,0,0.007475413
12,2,0.010264444
12,4,0.0037523366
12,6,0.0025064468
12,7,0.007911219
12,8,0.00084309577
12,9,0.007878799
12,10,0.010924568
12,11,0.0010610437
12,13,0.015333099
12,14,0.0063822363
12,16,0.012412719
12,19,0.0019070483
12,22,0.008530178
12,25,0.0035808228
12,26,0.0008103561
12,29,0.0025496483
12,30,0.0027325917
12,33,0.10022568
12,36,0.037418593
12,37,0.00052476884
13,0,0.023467055
13,1,0.0027520084
13,3,0.0046296692
13,4,0.034865417
13,6,0.0027166307
13,8,0.0033636212
13,9,0.009276829
13,12,0.0009746933
13,13,0.0017299664
13,14,0.0005810392
13,15,0.014493218
13,16,0.002019186
13,17,0.0036829377
13,20,0.0020811402
13,24,0.009153607
13,29,0.0037952233
13,30,0.03972231
13,32,0.021074152
13,34,0.0013401604
13,37,0.014822998
13,38,0.008836
14,0,0.0005963588
14,1,0.019801788
14,2,0.0529393
14,3,0.018094406
14,6,0.044729006
14,7,0.00025856018
14,9,0.040596694
14,10,0.03591675
14,11,0.009128456
14,15,0.0057512093
14,17,0.0021316195
14,18,0.011220961
14,20,0.004800072
14,22,0.0034158325
14,26,0.005416751
14,27,0.0027130723
14,28,0.0017171764
14,29,0.0046516703
14,33,0.008130911
14,37,0.005063419
14,38,0.00065503595
14,39,0.0075530913
15,1,0.0066284277
15,3,0.34373885
15,4,0.004423094
15,5,0.0005935669
15,6,0.008720283
15,8,0.016361475
15,9,0.009603005
15,11,0.009160424
15,12,0.02366169
15,15,0.023694992
15,17,0.0017319631
15,21,0.011365738
15,23,0.0033683872
15,25,0.05740116
15,26,0.0038059426
15,34,0.0024270331
15,36,0.002782501
15,38,0.025877418
16,5,0.06513506
16,6,0.0051268768
16,7,0.012811337
16,8,0.0075659943
16,12,0.00434124
16,15,0.17846692
16,17,0.01029541
16,18,0.06877854
16,20,0.0015106201
16,24,0.0022451973
16,27,0.0055513764
16,30,0.0034136581
16,32,0.012073116
16,34,0.031909674
16,38,0.09338608
17,1,0.006110096
17,4,0.0045606997
17,5,0.013545875
17,6,0.0070656394
17,8,0.0102804
17,9,0.0017435073
17,12,0.009748115
17,14,0.014149761
17,16,0.02454689
17,17,0.0076191425
17,19,0.011941089
17,21,0.06054308
17,22,0.08056296
17,23,0.0014330863
17,24,0.05042555
17,27,0.020783082
17,28,0.014838805
17,29,0.011900234
17,30,0.016181983
17,31,0.025464935
17,32,0.002865467
17,34,0.19851173
17,35,0.015121765
17,36,0.00086524966
17,38,0.012186966
17,39,0.005863526
18,0,0.025011368
18,1,0.0009870529
18,3,0.027208041
18,4,0.0025917983
18,9,0.0052723885
18,11,0.0138926795
18,13,0.003348236
18,15,0.050797578
18,16,0.0024858904
18,17,0.0016715097
18,19,0.004342842
18,20,0.027999459
18,22,0.029804816
18,24,0.022927247
18,26,0.0033387947
18,29,0.028137779
18,31,0.009867554
18,32,0.024119139
18,34,0.0016921759
18,35,0.0127245905
18,36,0.0365892
18,38,0.040889893
18,39,0.015940823
19,1,0.01983101
19,3,0.036756363
19,4,0.0049154568
19,5,0.12259834
19,6,0.018509198
19,8,0.021736508
19,9,0.07534775
19,11,0.02160676
19,16,0.003752365
19,17,0.09122967
19,22,0.0017755127
19,26,0.00932724
19,27,0.0038197327
19,28,0.07159157
19,29,0.18724175
19,30,0.048320808
19,33,0.0026615334
19,35,0.002131052
19,36,0.03840906
19,37,0.05345459
20,0,0.0076953126
20,1,0.022823334
20,4,0.0024182892
