model,localization,steer_variant,steering_factor,topk,n_items,avg_jaccard
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,10,0.01,50,0.13771308586530892
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,10,0.03,50,0.2009063945518748
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,10,0.05,50,0.2069321314661128
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,10,0.07,50,0.17016784167130564
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,10,0.09,50,0.0
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,10,0.1,50,0.0
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,10,0.5,50,0.0
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,10,1.0,50,0.0
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,8,0.01,50,0.13551234329987033
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,8,0.03,50,0.16316843174933093
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,8,0.05,50,0.21861336902018233
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,8,0.07,50,0.201384133946384
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,8,0.09,50,0.10292045360486596
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,8,0.1,50,0.02676813790195081
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,8,0.5,50,0.0
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,8,1.0,50,0.0
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,6,0.01,50,0.13083981458261296
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,6,0.03,50,0.14538529538063208
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,6,0.05,50,0.20654100980320256
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,6,0.07,50,0.20616691425595515
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,6,0.09,50,0.1940267038878146
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,6,0.1,50,0.18667238820567167
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,6,0.5,50,0.0
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,6,1.0,50,0.0
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,5,0.01,50,0.13097467581801026
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,5,0.03,50,0.13981038161491902
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,5,0.05,50,0.1810976473620539
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,5,0.07,50,0.2098489563039776
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,5,0.09,50,0.21369970703981664
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,5,0.1,50,0.21218052797909168
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,5,0.5,50,0.0
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,5,1.0,50,0.0
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,4,0.01,50,0.13368207654344733
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,4,0.03,50,0.13661508514371967
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,4,0.05,50,0.15481312749567724
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,4,0.07,50,0.1868228021611969
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,4,0.09,50,0.21797222368602415
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,4,0.1,50,0.21643855131407772
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,4,0.5,50,0.00016129032258064516
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,4,1.0,50,0.0
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,2,0.01,50,0.13254854642652078
